parking_id,inferred_type,confidence,method
209-2-000008,부설,0.9,"geom(T1=34,T2=0)"
209-2-000009,노상,0.9,"geom(T1=34,T2=0)"
209-2-000010,노상,0.9,"geom(T1=34,T2=0)"
209-2-000011,노외,0.95,name
209-2-000012,노외,0.95,name
209-2-000013,노상,0.9,"geom(T1=34,T2=0)"
209-2-000014,노상,0.9,"geom(T1=34,T2=0)"
209-2-000015,노상,0.9,"geom(T1=34,T2=0)"
209-2-000016,노상,0.9,"geom(T1=34,T2=0)"
209-2-000017,노상,0.5,"geom(T1=34,T2=0)"
209-2-000018,노외,0.95,name
209-2-000001,노상,0.9,"geom(T1=34,T2=0)"
209-2-000002,노외,0.95,name
209-2-000003,노외,0.95,name
209-2-000004,노상,0.9,"geom(T1=34,T2=0)"
209-2-000005,노외,0.95,name
209-2-000006,노외,0.95,name
209-2-000007,부설,0.9,"geom(T1=34,T2=0)"
208-2-000045,노상,0.5,"geom(T1=34,T2=0)"
208-2-000046,노상,0.9,"geom(T1=34,T2=0)"
208-2-000047,노상,0.9,"geom(T1=34,T2=0)"
208-2-000048,노상,0.9,"geom(T1=34,T2=0)"
208-2-000049,노상,0.9,"geom(T1=34,T2=0)"
208-2-000050,부설,0.9,"geom(T1=34,T2=0)"
209-1-000001,노상,0.95,name
209-1-000002,노상,0.95,name
209-1-000003,노상,0.95,name
209-1-000004,노상,0.95,name
209-1-000005,노상,0.95,name
209-1-000006,부설,0.9,"geom(T1=34,T2=0)"
209-1-000007,노상,0.95,name
209-1-000008,노상,0.95,name
209-1-000009,노상,0.95,name
209-1-000010,노상,0.95,name
209-1-000011,노상,0.95,name
209-1-000012,노상,0.95,name
209-1-000013,노상,0.9,"geom(T1=34,T2=0)"
209-1-000014,노상,0.95,name
208-2-000033,노상,0.9,"geom(T1=34,T2=0)"
208-2-000034,노상,0.9,"geom(T1=34,T2=0)"
208-2-000035,노상,0.9,"geom(T1=34,T2=0)"
208-2-000036,노상,0.9,"geom(T1=34,T2=0)"
208-2-000037,노상,0.9,"geom(T1=34,T2=0)"
208-2-000039,노상,0.9,"geom(T1=34,T2=0)"
208-2-000040,노상,0.5,"geom(T1=34,T2=0)"
208-2-000041,노상,0.9,"geom(T1=34,T2=0)"
208-2-000042,노상,0.9,"geom(T1=34,T2=0)"
208-2-000043,노상,0.9,"geom(T1=34,T2=0)"
208-2-000044,부설,0.9,"geom(T1=34,T2=0)"
208-2-000023,노외,0.95,name
208-2-000024,노외,0.95,name
208-2-000025,노상,0.9,"geom(T1=34,T2=0)"
208-2-000026,노상,0.9,"geom(T1=34,T2=0)"
208-2-000027,노상,0.9,"geom(T1=34,T2=0)"
208-2-000028,노외,0.95,name
208-2-000029,노상,0.9,"geom(T1=34,T2=0)"
208-2-000030,노상,0.9,"geom(T1=34,T2=0)"
208-2-000031,노상,0.9,"geom(T1=34,T2=0)"
208-2-000032,노상,0.9,"geom(T1=34,T2=0)"
209-2-000022,노상,0.5,"geom(T1=34,T2=0)"
209-2-000023,노상,0.9,"geom(T1=34,T2=0)"
209-2-000024,노외,0.95,name
208-2-000051,노외,0.5,"geom(T1=34,T2=0)"
208-2-000052,노상,0.9,"geom(T1=34,T2=0)"
208-2-000053,노상,0.9,"geom(T1=34,T2=0)"
208-1-000001,노상,0.95,name
208-1-000002,노상,0.95,name
208-1-000003,노상,0.95,name
208-1-000004,노상,0.9,"geom(T1=34,T2=0)"
208-1-000005,노상,0.9,"geom(T1=34,T2=0)"
208-1-000006,노상,0.95,name
208-1-000007,노상,0.95,name
208-1-000008,노상,0.95,name
208-1-000010,노상,0.95,name
208-1-000011,노상,0.95,name
208-1-000012,노상,0.95,name
208-1-000013,노상,0.95,name
208-1-000014,노상,0.9,"geom(T1=34,T2=0)"
208-1-000015,노상,0.95,name
208-1-000016,노상,0.95,name
208-2-000001,노외,0.95,name
208-2-000002,노외,0.95,name
208-2-000003,노외,0.95,name
208-2-000004,노외,0.95,name
208-2-000005,노상,0.9,"geom(T1=34,T2=0)"
208-2-000006,노외,0.95,name
208-2-000007,노외,0.95,name
208-2-000008,노상,0.9,"geom(T1=34,T2=0)"
208-2-000009,노상,0.9,"geom(T1=34,T2=0)"
208-2-000010,부설,0.9,"geom(T1=34,T2=0)"
208-2-000011,노상,0.9,"geom(T1=34,T2=0)"
208-2-000012,노상,0.9,"geom(T1=34,T2=0)"
208-2-000013,노외,0.95,name
208-2-000014,노외,0.95,name
208-2-000015,노외,0.5,"geom(T1=34,T2=0)"
208-2-000016,노상,0.9,"geom(T1=34,T2=0)"
208-2-000017,노상,0.9,"geom(T1=34,T2=0)"
208-2-000018,노외,0.5,"geom(T1=34,T2=0)"
208-2-000019,노상,0.9,"geom(T1=34,T2=0)"
208-2-000020,노외,0.95,name
208-2-000021,노외,0.95,name
208-2-000022,노외,0.95,name
209-2-000019,부설,0.9,"geom(T1=34,T2=0)"
209-2-000020,노상,0.9,"geom(T1=34,T2=0)"
209-2-000021,노외,0.95,name
208-2-000054,노외,0.95,name
208-2-000055,노외,0.95,name
