prk_center_id,name,cells,la,lo,klass,confidence,b_sig,p_sig,std_match
13910-11191-00001-00-1,삼막사노상,174,37.4356067014873,126.917068252393,비부설,0.9,False,True,True
13937-11191-00001-00-1,관양시장노상,27,37.4049319974661,126.957761932203,비부설,0.9,False,True,True
13938-11191-00001-00-1,관악노상2,126,37.4046917099738,126.964076212293,비부설,0.9,False,True,True
13943-11191-00001-00-1,인덕원노상2,58,37.4007473524975,126.977338867378,비부설,0.9,False,True,True
13946-11191-00001-00-1,관악노상1,85,37.4039532249655,126.964048441522,비부설,0.9,False,True,True
13950-11191-00001-00-1,관양2동복개,139,37.4022496050068,126.971424178186,비부설,0.9,False,False,True
13951-11191-00001-00-1,인덕원노상1,52,37.4011337474236,126.97615264591,비부설,0.9,False,True,True
13957-11191-00001-00-1,예술공원고가밑,88,37.4153112556157,126.917022857513,비부설,0.9,False,True,True
13987-11191-00001-00-1,박달시장노상,10,37.4045843998702,126.909481422432,비부설,0.9,False,True,True
13989-11191-00001-00-1,박달고가밑,56,37.4091525896272,126.91584872813,비부설,0.9,False,True,True
13992-11191-00001-00-1,안양역1노상,54,37.400587544214,126.921971976224,비부설,0.9,False,True,True
13992-11191-00002-00-1,안양역2노상,24,37.4007941732306,126.921736959009,비부설,0.9,False,True,False
13996-11191-00001-00-1,남부노상,55,37.3967085644661,126.926338307584,비부설,0.9,False,True,True
14006-11191-00001-00-1,안양3동노상,27,37.3999908895642,126.9186323069,비부설,0.9,False,True,True
14034-11191-00001-00-1,수리산2노상,61,37.3890334164837,126.931796483589,비부설,0.9,False,True,True
14035-11191-00001-00-1,문예노상,54,37.3858473342855,126.932944470333,비부설,0.9,False,True,True
14047-11191-00001-00-1,동안노상,95,37.3928386855043,126.953033629713,비부설,0.9,False,True,True
14066-11191-00001-00-1,평촌역노상,71,37.3936323068134,126.962638250282,비부설,0.9,False,True,True
14067-11191-00001-00-1,시청앞노상,69,37.3922851722217,126.956528293645,비부설,0.9,False,True,False
14072-11191-00001-00-1,범계역노상,168,37.3902260589152,126.952753738844,비부설,0.9,False,True,True
14086-11191-00001-00-1,덕천노상,42,37.3897541196523,126.934460945019,비부설,0.9,False,True,True
14089-11191-00001-00-1,수리산1노상,32,37.3883758255313,126.929602332751,비부설,0.9,False,True,True
14099-11191-00001-00-1,학원가노상,27,37.3829463382567,126.959057191141,비부설,0.9,False,True,True
14103-11191-00001-00-1,먹거리촌노상,57,37.3843378419508,126.960807982567,비부설,0.9,False,True,False
14119-11191-00001-00-1,호계고가밑,30,37.3690557755302,126.952098127928,비부설,0.9,False,True,True
13902-11291-00001-00-1,석수역 좌측,85,37.4336643502536,126.901961186128,애매,0.3,False,False,False
13908-11291-00001-00-1,한마음선원뒤,22,37.4223281568991,126.909466733225,비부설,0.9,False,False,True
13912-11291-00001-00-1,구)유유부지 뒤편,56,37.4183856197949,126.918314742485,비부설,0.9,False,False,True
13929-11291-00001-00-1,동편마을 지하,163,37.4078797819836,126.972434306822,비부설,0.9,False,False,True
13931-11291-00001-00-1,관양1동 주차타워,238,37.4064274707759,126.961055922733,비부설,0.9,True,False,True
13941-11291-00001-00-1,운동장파출소 뒤,27,37.4038385925151,126.950518258026,비부설,0.9,False,False,True
13951-11291-00001-00-1,관양2동 노외,203,37.3992251451263,126.974995410161,비부설,0.9,False,True,True
13960-11291-00002-00-1,관악역4환승,118,37.4197637165846,126.909045170679,비부설,0.9,False,True,True
13961-11291-00001-00-1,대림아파트 뒤,77,37.4149255166757,126.914103339817,부설,0.9,True,False,False
13964-11291-00001-00-1,석수역 우측,34,37.4138704877598,126.90936203333,애매,0.3,False,False,False
13980-11291-00001-00-1,정우아트빌라 뒤,6,37.4058107189801,126.908119151299,비부설,0.9,True,False,True
13984-11291-00001-00-1,박달1동 주민센터 앞,23,37.4036621688204,126.908032887384,비부설,0.9,False,True,True
13987-11291-00001-00-1,박달시장노외,18,37.4045902583133,126.909483787252,비부설,0.9,False,True,True
13991-11291-00001-00-1,청원노외,29,37.4044633747653,126.919154814989,비부설,0.9,False,True,True
13996-11291-00001-00-1,일번가노외,99,37.3982650273882,126.924824225031,비부설,0.9,False,True,True
14010-11291-00001-00-1,정우아파트옆,10,37.3989151777325,126.912840678619,비부설,0.9,True,False,True
14011-11291-00002-00-1,안양3동노외,47,37.395625823135,126.913214680675,비부설,0.9,False,True,True
