active_seq,parking_id,name,feed_status,live_ok,predict_ok,access_rule,weekday_access_start,weekday_access_end,weekend_access_start,weekend_access_end,fee_hours_source,note,saturday_access_start,saturday_access_end,sunday_access_start,sunday_access_end,weekday_access_status,saturday_access_status,sunday_access_status,enterable_status,enterable_note
1.0,10,인덕원환승,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,unknown,조사표에 없음
2.0,16,평촌지하,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,unknown,조사표에 없음
3.0,108,석수역좌우측노상,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,unknown,조사표에 없음
4.0,7,안양2동노외,ACTIVE,1,1,FIXED_ACCESS_10_22_DAILY,10:00,22:00,10:00,22:00,parking.db lots.wdays_*/wend_*,"매일 10:00~22:00만 입출차 가능, 그 외 출입불가(사용자 조사)",,,,,,,,fee_hours_only,매일 10:00-22:00만(확정)
5.0,112,원스퀘어임시,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,출입통제 없음
6.0,31,스마트스퀘어지하,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,출입통제 없음
7.0,12,관악역1환승,ACTIVE,1,1,ACCESS_24H_PAID_24H,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"24시간 운영·요금징수, 입출차 24시간 가능(사용자 조사)",,,,,,,,always,24시간 운영
8.0,13,관악역2환승,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,출입통제 없음
9.0,24,관악역3환승,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,출입통제 없음
10.0,25,관악역4환승,ACTIVE,1,1,FREE_AFTER_FEE,00:00,24:00,00:00,24:00,parking.db lots.wdays_*/wend_*,"운영/요금시간 외 무료개방, 입출차 가능(사용자 조사)",,,,,,,,always,출입통제 없음
