laeId,laeNm,pkplcId,pkplcNm,pkplcDivNm,pkplcTypeNm,latCrdn,lonCrdn,roadNmZip,roadNmAddr,lotnoAddr,pklotCnt,sbcmpctPklotCnt,pwdbsPrvusePklotCnt,femalePrfncPklotCnt,olmanPrfncPklotCnt,evPklotCnt,lndlvDivNm,wkdayOprtStartTime,wkdayOprtEndTime,satOprtStartTime,satOprtEndTime,hldyOprtStartTime,hldyOprtEndTime,parkingBscTime,parkingBscFare,addUnitTime,addUnitFare,ddPktckFareAplcnTime,ddPktckFare,mmCmmtktFare
31150,시흥시,00030,체육복개천,공영,기타,37.339632,126.75919,,경기도 시흥시 정왕동 2155,,242,,,,,,기타,09:00,18:00,09:00,18:00,09:00,18:00,30,300,10,200,,,
31150,시흥시,00031,뱀내공원주차장,공영,기타,37.442417,126.787469,,경기도 시흥시 뱀내장터로25번길 7,,59,,,,,,기타,08:00,20:00,08:00,20:00,08:00,20:00,30,300,10,200,,,
31240,화성시,00134,남양(노상),공영,노상,37.199317,126.825319,,,경기 화성시 남양읍 남양리 2405,0,,0,,,,1급지,10:00,23:00,10:00,23:00,10:00,23:00,90,0,10,300,,31200,0
31240,화성시,00135,화성방조제2,공영,노외,37.074495,126.733037,,,경기 화성시 우정읍 매향리 976,40,,0,,,,1급지,10:00,23:00,10:00,23:00,10:00,23:00,90,0,10,300,,0,0
31240,화성시,00139,향남읍사무소 부설주차장,공영,부설,37.131946,126.92041,,"경기 화성시 만세구 발안로 89 (향남읍,행정리,향남읍 행정복지센터,화성문화원사)","경기 화성시 만세구 발안로 89 (향남읍,행정리,향남읍 행정복지센터,화성문화원사)",73,,5,,,,1급지,10:00,18:00,00:00,00:00,00:00,00:00,59,0,10,0,,8000,0
31240,화성시,00133,남양택지내 나눔2,공영,노외,37.2002584,126.828749,,경기도 화성시 만세구 남양읍 남양리 2078-7,경기도 화성시 만세구 남양읍 남양리 2078-7,20,,0,,,,1급지,10:00,23:00,10:00,23:00,10:00,23:00,90,0,10,400,,0,0
31240,화성시,00130,화성방조제1,공영,노외,37.074002,126.7337179,,,경기 화성시 우정읍 매향리 976,40,,0,,,,1급지,10:00,23:00,10:00,23:00,10:00,23:00,90,0,10,300,,0,0
31240,화성시,00132,비봉지구 주4,공영,노외,37.2468149,126.8735656,,경기도 화성시 효행구 비봉면 구포리 1540,경기도 화성시 효행구 비봉면 구포리 1540,30,,0,,,,1급지,10:00,23:00,10:00,23:00,10:00,23:00,90,0,10,300,,0,60000
31050,부천시,00014,난장,공영,노외,37.511062,126.747084,14505,경기 부천시 원미구 길주로 1,경기 부천시 원미구 길주로 1,300,,0,,,,3급지,00:00,23:59,00:00,23:59,00:00,23:59,,400,10,200,,4000,60000
31050,부천시,00027,호수공원2,공영,노외,37.501728,126.745864,14592,경기 부천시 원미구 길주로 16,경기 부천시 원미구 길주로 16,85,,5,,,,3급지,00:00,23:59,00:00,23:59,00:00,23:59,,400,10,200,,4000,0
31050,부천시,00046,호수공원1,공영,노외,37.503536,126.746808,14592,경기 부천시 원미구 길주로 16,경기 부천시 원미구 길주로 16,232,,8,,,,3급지,00:00,23:59,00:00,23:59,00:00,23:59,,400,10,200,,4000,0
31050,부천시,00079,아인스월드,공영,노외,37.511228,126.744853,14505,경기 부천시 원미구 길주로 1,경기 부천시 원미구 길주로 1,262,,0,,,,3급지,00:00,23:59,00:00,23:59,00:00,23:59,,400,10,200,,4000,0
31130,남양주시,00006,오남 제1공영,공영,노상,37.69431,127.198285,12048,경기 남양주시 오남읍 오남리 862번지 일원 (오남체육공원 앞),경기 남양주시 오남읍 오남리 862번지 일원 (오남체육공원 앞),107,,6,,,1,1급지,08:00,20:00,08:00,20:00,08:00,20:00,30,600,10,300,,7000,70000
31130,남양주시,00054,진접 제2공영,공영,노상,37.745792,127.203325,,경기 남양주시 진접읍 팔야리 791-7 (진접농협 광릉점 뒤),경기 남양주시 진접읍 팔야리 791-7 (진접농협 광릉점 뒤),92,,3,,,5,1급지,08:00,20:00,08:00,20:00,08:00,20:00,30,600,10,300,,7000,70000
31130,남양주시,00056,진접 제2공영(대형차),공영,노상,37.745535,127.202824,,경기 남양주시 진접읍 팔야리 791-7 (진접농협 광릉점 뒤),,8,,0,,,0,1급지,08:00,20:00,08:00,20:00,08:00,20:00,30,600,10,300,,7000,140000
31130,남양주시,00057,오남 제1공영(캠핑카+화물차),공영,노상,37.693546,127.199981,12041,"경기 남양주시 양지로 176-9 (오남읍,오남리)","경기 남양주시 양지로 176-9 (오남읍,오남리)",16,,0,,,0,1급지,09:00,18:00,09:00,18:00,09:00,18:00,30,600,10,300,,7000,140000
31040,안양시,00004,안양6동2노외,공영,노외,37.390705,126.929179,,"경기 안양시 만안구 안양로 174 (안양동,안양 센트럴 헤센) 안 안양6동2노외","경기 안양시 만안구 안양로 174 (안양동,안양 센트럴 헤센) 안 안양6동2노외",15,,0,,,0,2급지,00:00,23:59,00:00,23:59,00:00,23:59,30,400,10,200,,25000,70000
31040,안양시,00035,안양6동1노외,공영,노외,37.389859,126.929896,,"경기 안양시 만안구 안양로 174 (안양동,안양 센트럴 헤센) 안 안양6동1노외","경기 안양시 만안구 안양로 174 (안양동,안양 센트럴 헤센) 안 안양6동1노외",30,,0,,,0,2급지,09:00,18:00,09:00,18:00,00:00,00:00,30,400,10,200,,25000,70000
31130,남양주시,00064,(공원)건강누리체육공원주차장,공영,노상,37.627835,127.160343,,경기 남양주시 다산중앙로146번길83,,24,,2,,,1,1급지,08:00,20:00,00:00,00:00,00:00,00:00,60,0,10,200,,7000,0
31130,남양주시,00065,(공원)다산중앙공원 제2주차장,공영,노상,37.62638888,127.16027777,,,경기 남양주시 다산동 6040,88,,0,,,0,1급지,08:00,20:00,00:00,00:00,00:00,00:00,60,0,10,200,,7000,30000
31130,남양주시,00066,(공원)다산중앙공원 제1주차장,공영,노상,37.62194444,127.1605555,,,경기 남양주시 다산동 6046,69,,8,,,6,1급지,08:00,20:00,00:00,00:00,00:00,00:00,60,0,10,200,,7000,0
31130,남양주시,00067,(공원)다산중앙공원 제3주차장,공영,노상,37.617777,127.16138888,,,경기 남양주시 다산동 6126-1,49,,0,,,0,1급지,08:00,20:00,00:00,00:00,00:00,00:00,60,0,10,200,,7000,30000
31130,남양주시,00068,(공원)등성이숲센터주차장,공영,노상,37.6261111,127.15972222,,경기 남양주시 다산중앙로146번기62,경기 남양주시 다산동 6046,20,,1,,,0,1급지,08:00,20:00,00:00,00:00,00:00,00:00,60,0,10,200,,7000,30000
31130,남양주시,00069,(공원)다산체육공원 주차장,공영,노상,37.616666,127.14972222,,경기 남양주시 다산순환로 65,,80,,5,,,0,1급지,08:00,20:00,08:00,20:00,08:00,20:00,60,0,10,200,,7000,30000
31130,남양주시,00070,(공원)어울누리 근린공원주차장,공영,노상,37.6172222,127.16416666,,,경기 남양주시 다산동 6114,22,,1,,,0,1급지,08:00,20:00,08:00,20:00,08:00,20:00,60,0,10,200,,7000,30000
31020,성남시,00014,상대원제1공영주차장,공영,노외,37.43881,127.168444,13208,,경기도 성남시 중원구 사기막골로45번길  42,210,0,0,,,,1급지,00:00,23:59,00:00,23:59,00:00,23:59,30,400,10,200,,6000,
31020,성남시,00048,운중동공영주차장,공영,노외,37.390879,127.077931,13166,,경기도 성남시 중원구 자혜로72번길  9 자혜공영주차장,208,0,0,,,,1급지,00:00,23:59,00:00,23:59,00:00,23:59,30,400,10,200,,6000,
31020,성남시,00095,양지제3공영주차장,공영,노외,37.457505,127.159589,13137,,경기도 성남시 수정구 논골로  40,96,12,2,,,,1급지,00:00,23:59,00:00,23:59,00:00,23:59,,,,,,,
31150,시흥시,00032,MTV17공영,공영,기타,37.32502,126.678724,,경기도 시흥시 정왕동 2718-9,,32,,,,,,기타,08:00,20:00,08:00,20:00,08:00,20:00,30,500,10,300,,,
31200,파주시,00038,(주기장) 월롱임시공영주기장,공영,노외,37.779828,126.787765,,"경기 파주시 공수물길 7 (월롱면,영태리)","경기 파주시 공수물길 7 (월롱면,영태리)",177,,0,,,0,1급지,00:00,00:00,00:00,00:00,00:00,00:00,0,0,0,0,,0,0
31210,이천시,00011,사동리 제1공영주차장,공영,노외,37.24364052,127.48192693,17341,"경기 이천시 대산로208번길 (대월면,사동리,휴먼빌 에듀파크시티)","경기 이천시 대산로208번길 (대월면,사동리,휴먼빌 에듀파크시티)",41,,2,,,2,2급지,00:00,23:59,00:00,23:59,00:00,23:59,30,500,10,200,,5000,60000
31150,시흥시,00021,장현P11공영주차장,공영,기타,37.369655,126.806642,,경기도 시흥시 능곡동 900-3,,33,,,,,,기타,08:00,20:00,08:00,20:00,08:00,20:00,30,300,10,200,,,
31150,시흥시,00023,장현P9공영주차장,공영,기타,37.367702,126.806747,,경기도 시흥시 군자동 799-3,,100,,,,,,기타,08:00,20:00,08:00,20:00,08:00,20:00,30,300,10,200,,,
31150,시흥시,00024,오이도배다리선착장,공영,기타,37.348433,126.693215,,경기도 시흥시 정왕동 2199-1,,30,,,,,,기타,10:00,20:00,10:00,20:00,10:00,20:00,30,500,10,300,,,
31150,시흥시,00025,생태공영주차장1,공영,기타,37.38791,126.777988,,경기도 시흥시 장곡동 724-45,,115,,,,,,기타,09:00,18:00,09:00,18:00,09:00,18:00,30,300,10,200,,,
31150,시흥시,00026,생태공영주차장2,공영,기타,37.388038,126.781046,,경기도 시흥시 장곡동 724-29,,48,,,,,,기타,09:00,18:00,09:00,18:00,09:00,18:00,30,300,10,200,,,
31150,시흥시,00027,시화MTV15,공영,기타,37.323177,126.682923,,경기도 시흥시 정왕동 2720-5,,66,,,,,,기타,08:00,20:00,08:00,20:00,08:00,20:00,30,800,10,400,,,
31150,시흥시,00028,신현동노외공영주차장,공영,기타,37.407683,126.789051,,경기도 시흥시 매화동 816-20,,48,,,,,,기타,08:00,20:00,08:00,20:00,08:00,20:00,30,300,10,200,,,
31160,군포시,00012,중심3공영,공영,노외,37.3589479,126.9308421,15865,산본로323번길 26-13,경기도 군포시 산본동 1143-1,18,0,0,0,0,0,1급지,08:00,23:59,08:00,23:59,08:00,23:59,30,700,10,200,,6000,70000
31160,군포시,00013,산본로데오공영주차장,공영,노외,37.36166665,126.9330205,15829,청백리길 13,경기도 군포시 금정동 845-1,285,0,0,0,0,0,2급지,00:00,23:59,00:00,23:59,00:00,23:59,30,500,10,100,,4000,
