parking_id,name,div,type2,gr,op_h,od,exp,match
3,예술공원고가밑,위탁,노상,1,10.0,9000,13000.0,False
6,명학역노상,위탁,노상,2,8.0,7000,7000.0,True
7,안양2동노외,노외,노외,1,9.0,11000,11000.0,True
8,안양4동노외,노외,노외,2,10.0,9000,9000.0,True
9,예술공원노외,노외,노외,2,10.0,9000,9000.0,True
10,인덕원환승,노외,노외,2,24.0,11000,,False
11,일번가노외,노외,노외,1,12.0,15000,15000.0,True
12,관악역1환승,노외,노외,3,23.983333333333334,5000,,False
13,관악역2환승,노외,노외,3,8.0,5000,5000.0,True
14,호계3동노외,노외,노외,2,8.0,7000,7000.0,True
15,석수대형화물,노외,노외,2,23.983333333333334,12000,,False
16,평촌지하,노외,노외,3,8.0,5000,5000.0,True
17,화창초교지하,노외,노외,4,13.0,4000,4000.0,True
18,개나리놀이터지하,노외,노외,4,13.0,4000,4000.0,True
19,냉천놀이터지하,위탁,노외,3,23.983333333333334,8000,,False
20,병목안시민공원노외,노외,노외,3,10.0,6000,6000.0,True
21,해동놀이터지하,노외,노외,4,13.0,4000,4000.0,True
22,박달시장1노상노외,노상,노상,2,10.0,9000,9000.0,True
23,덕천노상,노상,노상,2,8.0,7000,7000.0,True
24,관악역3환승,노외,노외,3,8.0,5000,5000.0,True
25,관악역4환승,노외,노외,3,8.0,5000,5000.0,True
26,수목원입구노외,노외,노외,2,10.0,9000,9000.0,True
27,인덕원동노외,노외,노외,3,11.0,7000,7000.0,True
28,삼덕노외,노외,노외,2,10.0,9000,9000.0,True
29,남부노외,노외,노외,1,10.0,13000,13000.0,True
30,샘모루초교지하,노외,노외,3,11.0,7000,7000.0,True
31,스마트스퀘어지하,노외,노외,2,9.0,8000,8000.0,True
33,박달시장2노외,노외,노외,2,10.0,9000,9000.0,True
34,동편마을지하,노외,노외,3,9.0,5000,5000.0,True
35,공업부지노외,노외,노외,2,23.983333333333334,0,,False
36,충훈동지하,노외,노외,3,9.0,5000,5000.0,True
37,관양동노외,노외,노외,3,9.0,5000,5000.0,True
38,삼덕공원지하,노외,노외,2,10.0,9000,9000.0,True
39,안양7동노외,노외,노외,2,8.0,7000,7000.0,True
40,안양6동1노외,노외,노외,2,9.0,8000,8000.0,True
41,안양6동2노외,노외,노외,2,23.983333333333334,0,,False
42,느루소공원지하,노외,노외,4,9.0,2000,2000.0,True
45,평촌역노상,위탁,노상,1,10.0,13000,13000.0,True
46,범계역노상,위탁,노상,1,13.0,16000,16000.0,True
47,동안노상,위탁,노상,1,8.0,10000,10000.0,True
48,안양역2노상,노상,노상,1,12.0,15000,15000.0,True
52,남부노상,노상,노상,1,8.0,10000,10000.0,True
53,안양역1노상,노상,노상,1,12.0,15000,15000.0,True
55,안양3동노상,위탁,노상,1,8.0,10000,10000.0,True
56,학원가노상,노상,노상,2,10.0,9000,9000.0,True
57,호계고가밑,위탁,노상,2,8.0,7000,7000.0,True
