horizon_min,model,n_train,n_test,mae_pct_point,median_ae_pct_point,p90_ae_pct_point,mae_improvement_pct
15,Persistence,97188,24386,1.7840095028077745,0.0,5.021008403361346,0.0
15,ML_current,97188,24386,2.073042915616278,0.43239656709406216,5.119215810971567,-16.20133818534074
15,ML_lag,97188,24386,2.0141276238407815,0.4574506720504967,4.942840574556931,-12.89892910720678
15,ML_lag_motion,97188,24386,2.013676728152379,0.46189340351631136,4.887958932308714,-12.873654819839322
30,Persistence,97188,24119,2.964055236019939,0.0,8.333333333333332,0.0
30,ML_current,97188,24119,3.475344031740252,1.0417116029887818,8.185764717431866,-17.249637911837947
30,ML_lag,97188,24119,3.278111185823403,1.0952243807203943,7.664790078979274,-10.595482364396513
30,ML_lag_motion,97188,24119,3.2713666021566,1.0985863176860233,7.5633908209906435,-10.367936548622204
60,Persistence,97188,23585,5.017893790981755,0.0,13.333333333333336,0.0
60,ML_current,97188,23585,5.9678492819817315,2.4046135386334266,13.73290561053993,-18.931359063582676
60,ML_lag,97188,23585,5.551909943972368,2.522942089799418,12.58837796214214,-10.642237066682366
60,ML_lag_motion,97188,23585,5.504200618900452,2.5271395766246374,12.407864183380092,-9.691453190832696
120,Persistence,97188,22517,8.705070371120959,1.6393442622950825,26.666666666666668,0.0
120,ML_current,97188,22517,10.388816811774527,5.35304973792563,25.62039488087775,-19.34213474298141
120,ML_lag,97188,22517,9.695155709371917,5.612042705982079,22.6678945300086,-11.373662659127525
120,ML_lag_motion,97188,22517,9.56839395630255,5.632180225832029,22.034421047581276,-9.917479679953702
