horizon_min,model,n_train,n_test,mae_pct_point,median_ae_pct_point,p90_ae_pct_point,mae_improvement_pct
15,Persistence,96921,24386,1.7840095028077745,0.0,5.021008403361346,0.0
15,ML_current,96921,24386,2.073914281484044,0.43436962567324766,5.108554953182268,-16.25018130340679
15,ML_lag,96921,24386,2.013973666699798,0.45925264944243205,4.931258282525031,-12.89029926859095
15,ML_lag_motion,96921,24386,2.0115894080126773,0.4627932198039586,4.900600235971327,-12.756653193086962
15,ML_lag_motion_time,96921,24386,1.93428477534266,0.4853471162969704,5.02477189580266,-8.423456954594345
30,Persistence,96654,24119,2.964055236019939,0.0,8.333333333333332,0.0
30,ML_current,96654,24119,3.478037582758806,1.0512368971493213,8.159008038319094,-17.340511758783226
30,ML_lag,96654,24119,3.2757187042656803,1.1050476038655166,7.691013967551713,-10.514765867326942
30,ML_lag_motion,96654,24119,3.2723252184436946,1.10930394338139,7.588265652399729,-10.400277925916564
30,ML_lag_motion_time,96654,24119,3.028627599516157,0.9058731681504062,7.912766091373588,-2.178514175833116
60,Persistence,96120,23585,5.017893790981755,0.0,13.333333333333336,0.0
60,ML_current,96120,23585,5.978113930896973,2.4482913538276585,13.757043991052656,-19.135919967874628
60,ML_lag,96120,23585,5.559447678264338,2.5708808644665626,12.568298703006963,-10.792454161861157
60,ML_lag_motion,96120,23585,5.525849876982254,2.5769004346634983,12.460150539898914,-10.122894328959427
60,ML_lag_motion_time,96120,23585,4.863089165388969,1.653086769283374,13.30638030911312,3.08505185723547
120,Persistence,95052,22517,8.705070371120959,1.6393442622950825,26.666666666666668,0.0
120,ML_current,95052,22517,10.441702238034644,5.548811852280799,25.544432671531446,-19.949659139746363
120,ML_lag,95052,22517,9.7319062020431,5.778119343905896,22.50327465160502,-11.795836071913516
120,ML_lag_motion,95052,22517,9.594920584629946,5.80545895190816,21.93618982594658,-10.22220585902513
120,ML_lag_motion_time,95052,22517,7.8819051906839865,3.2999933920668356,22.74431407682189,9.456157679871492
