parking_id,parking_name,parking_cells,nearest_gits_name,nearest_gits_cells,nearest_distance_m,self_match,before_n_300,after_n_300,before_n_500,after_n_500,nearest_other_name,nearest_other_m
3,예술공원고가밑,88,예술공원고가밑,88.0,0.0004614386969105677,True,2,1,2,1,박달고가밑노상(노외),197.8208555142106
6,명학역노상,87,명학역노상,87.0,0.0005312635016235406,True,1,0,3,2,문예노상,371.9823384960128
7,안양2동노외,40,안양2동노외,40.0,4.064536314705074e-05,True,1,0,2,1,개나리놀이터지하,454.96221772997643
8,안양4동노외,149,안양4동노외,149.0,0.0,True,3,2,6,5,삼덕공원지하,228.95843374377517
9,예술공원노외,168,예술공원노외,168.0,0.00034634373161568713,True,1,0,1,0,관악역3환승,892.8241933647097
10,인덕원환승,182,인덕원환승,182.0,0.0005300742581834562,True,3,2,5,4,인덕원2노상,183.76025839147664
11,일번가노외,99,일번가노외,99.0,0.0005219647266256383,True,3,2,7,6,안양역1노상,263.8804501004408
12,관악역1환승,44,관악역1환승,44.0,0.0,True,4,3,4,3,관악역4환승,93.09714403652195
13,관악역2환승,46,관악역2환승,46.0,0.00021520698216087808,True,4,3,4,3,관악역1환승,96.07437554615457
14,호계3동노외,43,호계3동노외,43.0,0.0003305943377579263,True,2,1,2,1,호계고가밑,193.00051053974644
15,석수대형화물,74,석수대형화물,74.0,0.00019729956438255814,True,1,0,1,0,충훈동지하,718.4584007343399
16,평촌지하,793,평촌지하,793.0,0.0005279718156484683,True,3,2,5,4,시청앞노상,50.82810112338926
17,화창초교지하,109,화창초교지하,109.0,0.0004338189757611875,True,1,0,1,0,충훈동지하,517.5216178485555
18,개나리놀이터지하,56,개나리놀이터지하,56.0,0.0005877200278187384,True,1,0,5,4,삼덕공원지하,351.7140600305544
19,냉천놀이터지하,101,냉천놀이터지하,101.0,0.0005442505823534331,True,2,1,5,4,남부노외,283.92925660684216
20,병목안시민공원노외,170,병목안시민공원노외,170.0,0.0,True,1,0,1,0,율목복지관옆공영,816.2076382355501
21,해동놀이터지하,76,해동놀이터지하,76.0,0.000371354322133675,True,2,1,4,3,관양시장노상,246.96754466807835
22,박달시장1노상노외,28,박달시장1노상노외,28.0,0.00026829634332742536,True,2,1,2,1,박달시장2노외,219.57924430296669
23,덕천노상,42,덕천노상,42.0,0.00048002659392657436,True,3,2,8,7,안양7동노외,227.42376186460052
24,관악역3환승,96,관악역3환승,96.0,0.0003628867942317247,True,4,3,4,3,관악역2환승,102.02929854357306
25,관악역4환승,118,관악역4환승,118.0,0.0004889983337082839,True,4,3,4,3,관악역1환승,93.09680321003566
26,수목원입구노외,44,수목원입구노외,44.0,0.0,True,1,0,1,0,예술공원노외,1183.9834976104416
27,인덕원동노외,203,인덕원동노외,203.0,0.0,True,3,2,7,6,공업부지노외,176.45680924416084
28,삼덕노외,92,삼덕노외,92.0,0.0005642801027111731,True,3,2,4,3,안양4동노외,243.91095923933423
29,남부노외,54,남부노외,54.0,0.0,True,3,2,4,3,남부노상,174.15986794524025
30,샘모루초교지하,57,샘모루초교지하,57.0,0.0002774335107719979,True,1,0,1,0,비산소공원지하,621.1698861120885
31,스마트스퀘어지하,170,스마트스퀘어지하,170.0,0.0006315537601853409,True,1,0,1,0,관악노상1-4,581.4321832245963
33,박달시장2노외,61,박달시장2노외,61.0,0.0004562900635515642,True,2,1,3,2,박달시장1노상노외,219.57936995681536
34,동편마을지하,163,동편마을지하,163.0,0.00046444969468200644,True,1,0,2,1,관악노상2-7,414.4801414961295
35,공업부지노외,49,공업부지노외,49.0,0.0005098655440689073,True,2,1,4,3,인덕원동노외,176.45645740694164
36,충훈동지하,94,충훈동지하,94.0,0.0003599684922466296,True,1,0,1,0,화창초교지하,517.5216027397885
37,관양동노외,238,관양동노외,238.0,0.0,True,4,3,9,8,관양시장노상,243.44193496198835
38,삼덕공원지하,194,삼덕공원지하,194.0,0.00047924052031636055,True,4,3,8,7,안양3동노상,181.37654452222012
39,안양7동노외,133,안양7동노외,133.0,6.319922697213277e-05,True,4,3,8,7,덕천노상,227.42338489295264
40,안양6동1노외,30,안양6동1노외,30.0,47.01536691427663,False,6,6,9,9,안양6동1노외,47.01536691427663
41,안양6동2노외,15,안양6동2노외,15.0,44.245194655640006,False,6,6,9,9,안양6동2노외,44.245194655640006
42,느루소공원지하,44,느루소공원지하,44.0,0.0002793910762001048,True,1,0,5,4,호계시장1노외,376.888563915148
45,평촌역노상,71,평촌역노상,71.0,0.0005551033422275086,True,2,1,3,2,평촌지하,297.17114069114126
46,범계역노상,161,범계역노상,161.0,0.0003139406379830833,True,1,0,4,3,동안노상,342.486048109417
47,동안노상,88,동안노상,88.0,0.0005005409864867687,True,1,0,4,3,범계역노상,342.4858488436326
48,안양역2노상,24,안양역2노상,24.0,0.0004628905389367409,True,4,3,6,5,원스퀘어임시,33.75544620535111
52,남부노상,55,남부노상,55.0,0.0004904789560601447,True,3,2,4,3,남부노외,174.16034585139315
53,안양역1노상,62,안양역1노상,62.0,0.0003290982071680991,True,5,4,6,5,안양역2노상,94.29415439231438
55,안양3동노상,27,안양3동노상,27.0,0.0,True,5,4,8,7,삼덕공원지하,181.37657970954461
56,학원가노상,15,학원가노상,15.0,0.0004218879323555041,True,4,3,5,4,먹거리촌노외,137.23333428596888
57,호계고가밑,30,호계고가밑,30.0,0.0003873552156792903,True,2,1,3,2,호계3동노외,193.00005191578336
61,수리산1노상,32,수리산1노상,32.0,0.0,True,6,5,10,9,수리산2노상,102.24704757135925
81,"비호교1,2노외",42,"비호교1,2노외",42.0,0.0006130209664908828,True,1,0,1,0,안양7동노외,778.0911204831203
82,명학동노외,134,명학동노외,134.0,0.00033498160802846664,True,1,0,1,0,명학역노상,787.7039889492153
101,문예노상,54,문예노상,54.0,0.0003184261083682592,True,1,0,6,5,수리산1노상,369.2855831319388
102,수리산2노상,57,수리산2노상,57.0,0.0005034054423268364,True,8,7,9,8,수리산1노상,102.24719291196253
103,인덕원1노상,51,인덕원1노상,51.0,0.0003792109088087698,True,3,2,5,4,인덕원동노외,231.00381181689744
104,인덕원2노상,58,인덕원2노상,58.0,0.0003365103557428942,True,3,2,7,6,인덕원환승,183.75984613423765
105,관양시장노상,27,관양시장노상,27.0,0.0006213737942779375,True,4,3,8,7,관양동노외,243.44145578794766
106,시청앞노상,34,시청앞노상,34.0,0.0005765316319442307,True,2,1,5,4,평촌지하,50.82889392268313
107,삼막사노상,173,삼막사노상,173.0,0.00014613823766408,True,1,0,1,0,석수역좌우측노상,2008.1774108868656
108,석수역좌우측노상,119,석수역좌우측노상,119.0,0.0004893795194391659,True,1,0,1,0,관악역4환승,1584.4997853804675
109,관악3노상,42,관악3노상,42.0,0.00014955553069905033,True,3,2,5,4,인덕원2노상,196.07626299748415
110,삼봉노상,28,삼봉노상,28.0,0.00033751801332600277,True,1,0,1,0,율목복지관옆공영,992.6299738533877
111,먹거리촌노외,12,먹거리촌노외,12.0,0.0005767291978249208,True,4,3,5,4,먹거리촌노상3,41.24588803250639
112,원스퀘어임시,75,원스퀘어임시,75.0,0.00026107895311239276,True,4,3,7,6,안양역2노상,33.75506884511864
121,호현마을1노외,64,호현마을1노외,64.0,0.0003127425550774,True,3,2,3,2,호현마을2노외,88.27644379708336
122,호현마을2노외,62,호현마을2노외,62.0,0.0003820703636616386,True,3,2,3,2,호현마을1노외,88.27686333104192
161,관악노상1-2,17,관악노상1-2,17.0,0.000410299726997907,True,3,2,6,5,관악노상2-1,164.05818459420857
162,관악노상1-3,12,관악노상1-3,12.0,0.0003641788239258058,True,5,4,10,9,관악노상2-3,111.80040984654705
163,관악노상1-4,9,관악노상1-4,9.0,0.00016612892702416474,True,6,5,9,8,관악노상2-4,87.75665039566009
164,관악노상1-5,19,관악노상1-5,19.0,0.00040407483526584757,True,5,4,8,7,관악노상2-5,103.42419943958272
165,관악노상2-1,5,관악노상2-1,5.0,0.0004246540371782579,True,2,1,5,4,관악노상1-2,164.05813104006765
166,관악노상2-2,30,관악노상2-2,30.0,0.0006876726075350093,True,6,5,10,9,관악노상1-3,170.46036754588675
167,관악노상2-3,11,관악노상2-3,11.0,0.0005312740758931675,True,7,6,11,10,관악노상1-3,111.80062123342957
168,관악노상2-4,9,관악노상2-4,9.0,0.00020255805423004754,True,6,5,9,8,관악노상1-4,87.75657945032815
169,관악노상2-5,11,관악노상2-5,11.0,0.0004478799191630633,True,6,5,10,9,관악노상1-5,103.42426611711103
170,관악노상2-6,11,관악노상2-6,11.0,0.00027895029768038797,True,4,3,7,6,관악노상1-5,131.26457918785871
171,관악노상2-7,15,관악노상2-7,15.0,0.0003909338826517554,True,2,1,6,5,관악노상2-6,231.79447167693317
172,인덕원동복개노상123,139,인덕원동복개노상123,139.0,0.0006262891199902744,True,2,1,5,4,관악3노상,285.94991194527216
181,덕현공원지하,125,덕현공원지하,125.0,0.0005145705518307902,True,1,0,2,1,호계시장1노외,443.00133385685854
