horizon,access_group,weekday_group,n,n_lots,n_days,persistence_mae,ml_mae,persistence_rmse,ml_rmse,gain_pp,gain_pct,status
15,all,all,30748,66,3,2.0609164368465596,1.9687874552541553,4.462699881360606,4.335900550654599,0.09212898159240424,4.4702919509619825,better
15,all,weekday,10541,66,1,2.5889473408760693,2.475980966806304,5.475023821647992,5.352382786918316,0.11296637406976506,4.363409494128165,better
15,all,weekend,20207,51,2,1.7854686336409844,1.7042094968599748,3.829853783407262,3.69632684321987,0.0812591367810096,4.551137737732384,better
15,accessible,all,30748,66,3,2.0609164368465596,1.9687874552541553,4.462699881360606,4.335900550654599,0.09212898159240424,4.4702919509619825,better
15,accessible,weekday,10541,66,1,2.5889473408760693,2.475980966806304,5.475023821647992,5.352382786918316,0.11296637406976506,4.363409494128165,better
15,accessible,weekend,20207,51,2,1.7854686336409844,1.7042094968599748,3.829853783407262,3.69632684321987,0.0812591367810096,4.551137737732384,better
15,closed,all,0,0,0,,,,,,,unavailable
15,closed,weekday,0,0,0,,,,,,,unavailable
15,closed,weekend,0,0,0,,,,,,,unavailable
15,unknown,all,0,0,0,,,,,,,unavailable
15,unknown,weekday,0,0,0,,,,,,,unavailable
15,unknown,weekend,0,0,0,,,,,,,unavailable
30,all,all,29118,66,3,3.282474396575424,2.897998562155575,6.489303275444307,5.888752313131213,0.38447583441984934,11.712988068420868,better
30,all,weekday,10145,66,1,3.9654313319610264,3.431104407752633,7.540974787241019,6.828682919986402,0.5343269242083935,13.474623047983851,better
30,all,weekend,18973,51,2,2.917292395337511,2.6129430198806496,5.849899290210939,5.318437511801924,0.30434937545686136,10.432597566952154,better
30,accessible,all,29118,66,3,3.282474396575424,2.897998562155575,6.489303275444307,5.888752313131213,0.38447583441984934,11.712988068420868,better
30,accessible,weekday,10145,66,1,3.9654313319610264,3.431104407752633,7.540974787241019,6.828682919986402,0.5343269242083935,13.474623047983851,better
30,accessible,weekend,18973,51,2,2.917292395337511,2.6129430198806496,5.849899290210939,5.318437511801924,0.30434937545686136,10.432597566952154,better
30,closed,all,0,0,0,,,,,,,unavailable
30,closed,weekday,0,0,0,,,,,,,unavailable
30,closed,weekend,0,0,0,,,,,,,unavailable
30,unknown,all,0,0,0,,,,,,,unavailable
30,unknown,weekday,0,0,0,,,,,,,unavailable
30,unknown,weekend,0,0,0,,,,,,,unavailable
60,all,all,25866,66,3,5.307335297937392,4.162535729536978,9.697799102946805,7.822527983722617,1.1447995684004146,21.570138386495422,better
60,all,weekday,9359,66,1,6.082318523589842,4.44642005282942,10.645976171165495,8.180698677652215,1.6358984707604218,26.895968443870633,better
60,all,weekend,16507,51,2,4.867941827962153,4.001581384005146,9.116507462838245,7.611972615352119,0.8663604439570074,17.79726370147871,better
60,accessible,all,25866,66,3,5.307335297937392,4.162535729536978,9.697799102946805,7.822527983722617,1.1447995684004146,21.570138386495422,better
60,accessible,weekday,9359,66,1,6.082318523589842,4.44642005282942,10.645976171165495,8.180698677652215,1.6358984707604218,26.895968443870633,better
60,accessible,weekend,16507,51,2,4.867941827962153,4.001581384005146,9.116507462838245,7.611972615352119,0.8663604439570074,17.79726370147871,better
60,closed,all,0,0,0,,,,,,,unavailable
60,closed,weekday,0,0,0,,,,,,,unavailable
60,closed,weekend,0,0,0,,,,,,,unavailable
60,unknown,all,0,0,0,,,,,,,unavailable
60,unknown,weekday,0,0,0,,,,,,,unavailable
60,unknown,weekend,0,0,0,,,,,,,unavailable
120,all,all,20302,66,3,8.51476499343144,5.610982671331289,14.495200564659847,9.734518764183134,2.9037823221001506,34.102906238049094,better
120,all,weekday,7805,66,1,9.532558982731528,5.515629560555621,15.720748106994098,9.4396842539254,4.016929422175907,42.139046078316184,better
120,all,weekend,12497,51,2,7.87910186736221,5.670535446365625,13.674175711011438,9.914210583035125,2.2085664209965854,28.03068748413042,better
120,accessible,all,20302,66,3,8.51476499343144,5.610982671331289,14.495200564659847,9.734518764183134,2.9037823221001506,34.102906238049094,better
120,accessible,weekday,7805,66,1,9.532558982731528,5.515629560555621,15.720748106994098,9.4396842539254,4.016929422175907,42.139046078316184,better
120,accessible,weekend,12497,51,2,7.87910186736221,5.670535446365625,13.674175711011438,9.914210583035125,2.2085664209965854,28.03068748413042,better
120,closed,all,0,0,0,,,,,,,unavailable
120,closed,weekday,0,0,0,,,,,,,unavailable
120,closed,weekend,0,0,0,,,,,,,unavailable
120,unknown,all,0,0,0,,,,,,,unavailable
120,unknown,weekday,0,0,0,,,,,,,unavailable
120,unknown,weekend,0,0,0,,,,,,,unavailable
