horizon,parking_id,name,opr_is_operating_constant
15,10,인덕원환승,0.0
15,12,관악역1환승,1.0
15,14,호계3동노외,1.0
15,23,덕천노상,1.0
15,48,안양역2노상,1.0
15,52,남부노상,1.0
15,53,안양역1노상,1.0
15,161,관악노상1-2,1.0
15,162,관악노상1-3,1.0
15,163,관악노상1-4,1.0
15,164,관악노상1-5,1.0
15,165,관악노상2-1,1.0
15,166,관악노상2-2,1.0
15,167,관악노상2-3,1.0
15,168,관악노상2-4,1.0
15,169,관악노상2-5,1.0
15,170,관악노상2-6,1.0
15,171,관악노상2-7,1.0
15,172,인덕원동복개노상123,1.0
30,10,인덕원환승,0.0
30,12,관악역1환승,1.0
30,14,호계3동노외,1.0
30,23,덕천노상,1.0
30,48,안양역2노상,1.0
30,52,남부노상,1.0
30,53,안양역1노상,1.0
30,161,관악노상1-2,1.0
30,162,관악노상1-3,1.0
30,163,관악노상1-4,1.0
30,164,관악노상1-5,1.0
30,165,관악노상2-1,1.0
30,166,관악노상2-2,1.0
30,167,관악노상2-3,1.0
30,168,관악노상2-4,1.0
30,169,관악노상2-5,1.0
30,170,관악노상2-6,1.0
30,171,관악노상2-7,1.0
30,172,인덕원동복개노상123,1.0
60,10,인덕원환승,0.0
60,12,관악역1환승,1.0
60,14,호계3동노외,1.0
60,23,덕천노상,1.0
60,48,안양역2노상,1.0
60,52,남부노상,1.0
60,53,안양역1노상,1.0
60,161,관악노상1-2,1.0
60,162,관악노상1-3,1.0
60,163,관악노상1-4,1.0
60,164,관악노상1-5,1.0
60,165,관악노상2-1,1.0
60,166,관악노상2-2,1.0
60,167,관악노상2-3,1.0
60,168,관악노상2-4,1.0
60,169,관악노상2-5,1.0
60,170,관악노상2-6,1.0
60,171,관악노상2-7,1.0
60,172,인덕원동복개노상123,1.0
120,10,인덕원환승,0.0
120,12,관악역1환승,1.0
120,14,호계3동노외,1.0
120,23,덕천노상,1.0
120,48,안양역2노상,1.0
120,52,남부노상,1.0
120,53,안양역1노상,1.0
120,161,관악노상1-2,1.0
120,162,관악노상1-3,1.0
120,163,관악노상1-4,1.0
120,164,관악노상1-5,1.0
120,165,관악노상2-1,1.0
120,166,관악노상2-2,1.0
120,167,관악노상2-3,1.0
120,168,관악노상2-4,1.0
120,169,관악노상2-5,1.0
120,170,관악노상2-6,1.0
120,171,관악노상2-7,1.0
120,172,인덕원동복개노상123,1.0
