fold,horizon,test_date,train_n,validation_n,test_n,a19_eligible_n,excluded_history_or_features_n,matched_ratio,train_target_max,validation_start,validation_target_max,test_start,test_end_exclusive,test_target_max,validation_persistence_mae,validation_ml_mae
1,15,2026-09-12,149979,9980,8369,11990,3621,0.6979983319432861,2026-09-10 23:55:00+09:00,2026-09-11 00:00:00+09:00,2026-09-11 23:10:00+09:00,2026-09-12 00:00:00+09:00,2026-09-13 00:00:00+09:00,2026-09-12 23:55:00+09:00,2.013053024806454,1.8958735957054444
2,15,2026-09-13,160088,8369,11838,12390,552,0.9554479418886198,2026-09-11 23:10:00+09:00,2026-09-12 00:00:00+09:00,2026-09-12 23:55:00+09:00,2026-09-13 00:00:00+09:00,2026-09-14 00:00:00+09:00,2026-09-13 23:55:00+09:00,1.956147275104002,1.8682068572590187
3,15,2026-09-14,168457,11838,10541,12898,2357,0.8172584896883238,2026-09-12 23:55:00+09:00,2026-09-13 00:00:00+09:00,2026-09-13 23:55:00+09:00,2026-09-14 00:00:00+09:00,2026-09-15 00:00:00+09:00,2026-09-14 19:55:00+09:00,1.664805552849973,1.5886264739897453
1,30,2026-09-12,148200,9240,7399,11007,3608,0.6722085945307532,2026-09-10 23:55:00+09:00,2026-09-11 00:00:00+09:00,2026-09-11 23:10:00+09:00,2026-09-12 00:00:00+09:00,2026-09-13 00:00:00+09:00,2026-09-12 23:55:00+09:00,3.0652602740544808,2.601177443155537
2,30,2026-09-13,157698,7399,11574,12126,552,0.954477981197427,2026-09-11 23:10:00+09:00,2026-09-12 00:00:00+09:00,2026-09-12 23:55:00+09:00,2026-09-13 00:00:00+09:00,2026-09-14 00:00:00+09:00,2026-09-13 23:55:00+09:00,3.175156953951178,2.8219626752440825
3,30,2026-09-14,165097,11574,10145,12024,1879,0.8437292082501663,2026-09-12 23:55:00+09:00,2026-09-13 00:00:00+09:00,2026-09-13 23:55:00+09:00,2026-09-14 00:00:00+09:00,2026-09-15 00:00:00+09:00,2026-09-14 19:55:00+09:00,2.7524453356189595,2.460612659686735
1,60,2026-09-12,144648,8287,5461,9045,3584,0.6037589828634605,2026-09-10 23:55:00+09:00,2026-09-11 00:00:00+09:00,2026-09-11 23:10:00+09:00,2026-09-12 00:00:00+09:00,2026-09-13 00:00:00+09:00,2026-09-12 23:55:00+09:00,4.8200183538307835,3.613928232048581
2,60,2026-09-13,153451,5461,11046,11598,552,0.9524055871702017,2026-09-11 23:10:00+09:00,2026-09-12 00:00:00+09:00,2026-09-12 23:55:00+09:00,2026-09-13 00:00:00+09:00,2026-09-14 00:00:00+09:00,2026-09-13 23:55:00+09:00,5.375933823295663,4.43358801503997
3,60,2026-09-14,158912,11046,9359,10466,1107,0.8942289317790942,2026-09-12 23:55:00+09:00,2026-09-13 00:00:00+09:00,2026-09-13 23:55:00+09:00,2026-09-14 00:00:00+09:00,2026-09-15 00:00:00+09:00,2026-09-14 19:55:00+09:00,4.616797134270654,3.897595531663489
1,120,2026-09-12,137662,6394,2507,5461,2954,0.4590734297747665,2026-09-10 23:55:00+09:00,2026-09-11 00:00:00+09:00,2026-09-11 23:10:00+09:00,2026-09-12 00:00:00+09:00,2026-09-13 00:00:00+09:00,2026-09-12 23:55:00+09:00,7.77634741821864,4.785244840164763
2,120,2026-09-13,145088,2507,9990,10542,552,0.9476380193511668,2026-09-11 23:10:00+09:00,2026-09-12 00:00:00+09:00,2026-09-12 23:55:00+09:00,2026-09-13 00:00:00+09:00,2026-09-14 00:00:00+09:00,2026-09-13 23:55:00+09:00,8.85228955825454,6.631772427841475
3,120,2026-09-14,147595,9990,7805,8843,1038,0.8826190206943345,2026-09-12 23:55:00+09:00,2026-09-13 00:00:00+09:00,2026-09-13 23:55:00+09:00,2026-09-14 00:00:00+09:00,2026-09-15 00:00:00+09:00,2026-09-14 19:55:00+09:00,7.634879490879018,5.392556821413762
