horizon,access_group,weekday_group,n,n_lots,n_days,persistence_mae,ml_mae,persistence_rmse,ml_rmse,gain_pp,gain_pct,status,fold,test_date
15,all,all,8369,51,1,1.956147275104002,1.8697171038712685,3.93053485223356,3.8095720489759883,0.08643017123273355,4.41838773249516,better,1,2026-09-12
15,all,weekday,0,0,0,,,,,,,unavailable,1,2026-09-12
15,all,weekend,8369,51,1,1.956147275104002,1.8697171038712685,3.93053485223356,3.8095720489759883,0.08643017123273355,4.41838773249516,better,1,2026-09-12
15,accessible,all,8369,51,1,1.956147275104002,1.8697171038712685,3.93053485223356,3.8095720489759883,0.08643017123273355,4.41838773249516,better,1,2026-09-12
15,accessible,weekday,0,0,0,,,,,,,unavailable,1,2026-09-12
15,accessible,weekend,8369,51,1,1.956147275104002,1.8697171038712685,3.93053485223356,3.8095720489759883,0.08643017123273355,4.41838773249516,better,1,2026-09-12
15,closed,all,0,0,0,,,,,,,unavailable,1,2026-09-12
15,closed,weekday,0,0,0,,,,,,,unavailable,1,2026-09-12
15,closed,weekend,0,0,0,,,,,,,unavailable,1,2026-09-12
15,unknown,all,0,0,0,,,,,,,unavailable,1,2026-09-12
15,unknown,weekday,0,0,0,,,,,,,unavailable,1,2026-09-12
15,unknown,weekend,0,0,0,,,,,,,unavailable,1,2026-09-12
15,all,all,11838,46,1,1.664805552849973,1.5872021338698141,3.757048646706676,3.6141265331580223,0.07760341898015888,4.661410387976538,better,2,2026-09-13
15,all,weekday,0,0,0,,,,,,,unavailable,2,2026-09-13
15,all,weekend,11838,46,1,1.664805552849973,1.5872021338698141,3.757048646706676,3.6141265331580223,0.07760341898015888,4.661410387976538,better,2,2026-09-13
15,accessible,all,11838,46,1,1.664805552849973,1.5872021338698141,3.757048646706676,3.6141265331580223,0.07760341898015888,4.661410387976538,better,2,2026-09-13
15,accessible,weekday,0,0,0,,,,,,,unavailable,2,2026-09-13
15,accessible,weekend,11838,46,1,1.664805552849973,1.5872021338698141,3.757048646706676,3.6141265331580223,0.07760341898015888,4.661410387976538,better,2,2026-09-13
15,closed,all,0,0,0,,,,,,,unavailable,2,2026-09-13
15,closed,weekday,0,0,0,,,,,,,unavailable,2,2026-09-13
15,closed,weekend,0,0,0,,,,,,,unavailable,2,2026-09-13
15,unknown,all,0,0,0,,,,,,,unavailable,2,2026-09-13
15,unknown,weekday,0,0,0,,,,,,,unavailable,2,2026-09-13
15,unknown,weekend,0,0,0,,,,,,,unavailable,2,2026-09-13
15,all,all,10541,66,1,2.5889473408760693,2.475980966806304,5.475023821647992,5.352382786918316,0.11296637406976506,4.363409494128165,better,3,2026-09-14
15,all,weekday,10541,66,1,2.5889473408760693,2.475980966806304,5.475023821647992,5.352382786918316,0.11296637406976506,4.363409494128165,better,3,2026-09-14
15,all,weekend,0,0,0,,,,,,,unavailable,3,2026-09-14
15,accessible,all,10541,66,1,2.5889473408760693,2.475980966806304,5.475023821647992,5.352382786918316,0.11296637406976506,4.363409494128165,better,3,2026-09-14
15,accessible,weekday,10541,66,1,2.5889473408760693,2.475980966806304,5.475023821647992,5.352382786918316,0.11296637406976506,4.363409494128165,better,3,2026-09-14
15,accessible,weekend,0,0,0,,,,,,,unavailable,3,2026-09-14
15,closed,all,0,0,0,,,,,,,unavailable,3,2026-09-14
15,closed,weekday,0,0,0,,,,,,,unavailable,3,2026-09-14
15,closed,weekend,0,0,0,,,,,,,unavailable,3,2026-09-14
15,unknown,all,0,0,0,,,,,,,unavailable,3,2026-09-14
15,unknown,weekday,0,0,0,,,,,,,unavailable,3,2026-09-14
15,unknown,weekend,0,0,0,,,,,,,unavailable,3,2026-09-14
15,all,all,8882,66,1,3.18645673831479,3.123477592673393,6.580501898125526,6.522957679984887,0.06297914564139706,1.9764632258809394,better,4,2026-09-15
15,all,weekday,8882,66,1,3.18645673831479,3.123477592673393,6.580501898125526,6.522957679984887,0.06297914564139706,1.9764632258809394,better,4,2026-09-15
15,all,weekend,0,0,0,,,,,,,unavailable,4,2026-09-15
15,accessible,all,8882,66,1,3.18645673831479,3.123477592673393,6.580501898125526,6.522957679984887,0.06297914564139706,1.9764632258809394,better,4,2026-09-15
