horizon,access_group,weekday_group,n,n_lots,n_days,persistence_mae,ml_mae,persistence_rmse,ml_rmse,gain_pp,gain_pct,status
15,all,all,71708,66,7,2.473644070721501,2.3872389459910934,5.244621178085727,5.14500101318854,0.0864051247304074,3.493029807849646,better
15,all,weekday,51501,66,5,2.7436574890451446,2.655233277724313,5.7046728468922785,5.612172386162997,0.08842421132083178,3.2228589637697604,better
15,all,weekend,20207,51,2,1.7854686336409844,1.7042094968599748,3.829853783407262,3.69632684321987,0.0812591367810096,4.551137737732384,better
15,accessible,all,71708,66,7,2.473644070721501,2.3872389459910934,5.244621178085727,5.14500101318854,0.0864051247304074,3.493029807849646,better
15,accessible,weekday,51501,66,5,2.7436574890451446,2.655233277724313,5.7046728468922785,5.612172386162997,0.08842421132083178,3.2228589637697604,better
15,accessible,weekend,20207,51,2,1.7854686336409844,1.7042094968599748,3.829853783407262,3.69632684321987,0.0812591367810096,4.551137737732384,better
15,closed,all,0,0,0,,,,,,,unavailable
15,closed,weekday,0,0,0,,,,,,,unavailable
15,closed,weekend,0,0,0,,,,,,,unavailable
15,unknown,all,0,0,0,,,,,,,unavailable
15,unknown,weekday,0,0,0,,,,,,,unavailable
15,unknown,weekend,0,0,0,,,,,,,unavailable
30,all,all,67314,66,7,3.8476185418162006,3.4398259205452204,7.443624595546402,6.867805155371182,0.40779262127098015,10.598571995613911,better
30,all,weekday,48341,66,5,4.212755340333818,3.7643630479176147,7.982654405339626,7.387638279446278,0.44839229241620293,10.64368225050241,better
30,all,weekend,18973,51,2,2.917292395337511,2.6129430198806496,5.849899290210939,5.318437511801924,0.30434937545686136,10.432597566952154,better
30,accessible,all,67314,66,7,3.8476185418162006,3.4398259205452204,7.443624595546402,6.867805155371182,0.40779262127098015,10.598571995613911,better
30,accessible,weekday,48341,66,5,4.212755340333818,3.7643630479176147,7.982654405339626,7.387638279446278,0.44839229241620293,10.64368225050241,better
30,accessible,weekend,18973,51,2,2.917292395337511,2.6129430198806496,5.849899290210939,5.318437511801924,0.30434937545686136,10.432597566952154,better
30,closed,all,0,0,0,,,,,,,unavailable
30,closed,weekday,0,0,0,,,,,,,unavailable
30,closed,weekend,0,0,0,,,,,,,unavailable
30,unknown,all,0,0,0,,,,,,,unavailable
30,unknown,weekday,0,0,0,,,,,,,unavailable
30,unknown,weekend,0,0,0,,,,,,,unavailable
60,all,all,59403,66,7,6.055577965353365,4.746071434854713,10.757536996759313,8.689202628910857,1.309506530498652,21.62479845839517,better
60,all,weekday,42896,66,5,6.512597494445045,5.032561953070253,11.325850934674893,9.069709374906616,1.480035541374792,22.72573335964945,better
60,all,weekend,16507,51,2,4.867941827962153,4.001581384005146,9.116507462838245,7.611972615352119,0.8663604439570074,17.79726370147871,better
60,accessible,all,59403,66,7,6.055577965353365,4.746071434854713,10.757536996759313,8.689202628910857,1.309506530498652,21.62479845839517,better
60,accessible,weekday,42896,66,5,6.512597494445045,5.032561953070253,11.325850934674893,9.069709374906616,1.480035541374792,22.72573335964945,better
60,accessible,weekend,16507,51,2,4.867941827962153,4.001581384005146,9.116507462838245,7.611972615352119,0.8663604439570074,17.79726370147871,better
60,closed,all,0,0,0,,,,,,,unavailable
60,closed,weekday,0,0,0,,,,,,,unavailable
60,closed,weekend,0,0,0,,,,,,,unavailable
60,unknown,all,0,0,0,,,,,,,unavailable
60,unknown,weekday,0,0,0,,,,,,,unavailable
60,unknown,weekend,0,0,0,,,,,,,unavailable
120,all,all,47411,66,7,9.462336578605987,6.16900143077515,15.594397982603821,10.410340070089726,3.2933351478308364,34.804671345943795,better
120,all,weekday,34914,66,5,10.029034298329119,6.347420672545381,16.226585085058982,10.582271660836936,3.681613625783738,36.7095526475277,better
120,all,weekend,12497,51,2,7.87910186736221,5.670535446365625,13.674175711011438,9.914210583035125,2.2085664209965854,28.03068748413042,better
120,accessible,all,47411,66,7,9.462336578605987,6.16900143077515,15.594397982603821,10.410340070089726,3.2933351478308364,34.804671345943795,better
120,accessible,weekday,34914,66,5,10.029034298329119,6.347420672545381,16.226585085058982,10.582271660836936,3.681613625783738,36.7095526475277,better
120,accessible,weekend,12497,51,2,7.87910186736221,5.670535446365625,13.674175711011438,9.914210583035125,2.2085664209965854,28.03068748413042,better
120,closed,all,0,0,0,,,,,,,unavailable
120,closed,weekday,0,0,0,,,,,,,unavailable
120,closed,weekend,0,0,0,,,,,,,unavailable
120,unknown,all,0,0,0,,,,,,,unavailable
120,unknown,weekday,0,0,0,,,,,,,unavailable
120,unknown,weekend,0,0,0,,,,,,,unavailable
