fold,horizon,test_date,train_n,validation_n,test_n,a19_eligible_n,excluded_history_or_features_n,matched_ratio,train_target_max,validation_start,validation_target_max,test_start,test_end_exclusive,test_target_max,validation_persistence_mae,validation_ml_mae
1,15,2026-09-12,149979,9980,8369,11990,3621,0.6979983319432861,2026-09-10 23:55:00+09:00,2026-09-11 00:00:00+09:00,2026-09-11 23:10:00+09:00,2026-09-12 00:00:00+09:00,2026-09-13 00:00:00+09:00,2026-09-12 23:55:00+09:00,2.013053024806454,1.8958735957054444
2,15,2026-09-13,160088,8369,11838,12390,552,0.9554479418886198,2026-09-11 23:10:00+09:00,2026-09-12 00:00:00+09:00,2026-09-12 23:55:00+09:00,2026-09-13 00:00:00+09:00,2026-09-14 00:00:00+09:00,2026-09-13 23:55:00+09:00,1.956147275104002,1.8682068572590187
3,15,2026-09-14,168457,11838,10541,12898,2357,0.8172584896883238,2026-09-12 23:55:00+09:00,2026-09-13 00:00:00+09:00,2026-09-13 23:55:00+09:00,2026-09-14 00:00:00+09:00,2026-09-15 00:00:00+09:00,2026-09-14 19:55:00+09:00,1.664805552849973,1.5886264739897453
4,15,2026-09-15,180421,10541,8882,12666,3784,0.7012474340754776,2026-09-13 23:55:00+09:00,2026-09-14 00:00:00+09:00,2026-09-14 19:55:00+09:00,2026-09-15 00:00:00+09:00,2026-09-16 00:00:00+09:00,2026-09-15 23:55:00+09:00,2.5889473408760693,2.5573014005485977
5,15,2026-09-16,191091,8882,12111,14279,2168,0.8481686392604524,2026-09-14 19:55:00+09:00,2026-09-15 00:00:00+09:00,2026-09-15 23:55:00+09:00,2026-09-16 00:00:00+09:00,2026-09-17 00:00:00+09:00,2026-09-16 23:55:00+09:00,3.18645673831479,3.124041652717427
6,15,2026-09-17,199973,12111,8295,13169,4874,0.6298883742121649,2026-09-15 23:55:00+09:00,2026-09-16 00:00:00+09:00,2026-09-16 23:55:00+09:00,2026-09-17 00:00:00+09:00,2026-09-18 00:00:00+09:00,2026-09-17 23:55:00+09:00,2.8806734802405995,2.750993848152189
7,15,2026-09-18,212213,8295,11672,14039,2367,0.831398247738443,2026-09-16 23:55:00+09:00,2026-09-17 00:00:00+09:00,2026-09-17 23:55:00+09:00,2026-09-18 00:00:00+09:00,2026-09-19 00:00:00+09:00,2026-09-18 23:55:00+09:00,2.3383722466787957,2.220554247247364
1,30,2026-09-12,148200,9240,7399,11007,3608,0.6722085945307532,2026-09-10 23:55:00+09:00,2026-09-11 00:00:00+09:00,2026-09-11 23:10:00+09:00,2026-09-12 00:00:00+09:00,2026-09-13 00:00:00+09:00,2026-09-12 23:55:00+09:00,3.0652602740544808,2.601177443155537
2,30,2026-09-13,157698,7399,11574,12126,552,0.954477981197427,2026-09-11 23:10:00+09:00,2026-09-12 00:00:00+09:00,2026-09-12 23:55:00+09:00,2026-09-13 00:00:00+09:00,2026-09-14 00:00:00+09:00,2026-09-13 23:55:00+09:00,3.175156953951178,2.8219626752440825
3,30,2026-09-14,165097,11574,10145,12024,1879,0.8437292082501663,2026-09-12 23:55:00+09:00,2026-09-13 00:00:00+09:00,2026-09-13 23:55:00+09:00,2026-09-14 00:00:00+09:00,2026-09-15 00:00:00+09:00,2026-09-14 19:55:00+09:00,2.7524453356189595,2.460612659686735
4,30,2026-09-15,176923,10145,8255,11496,3241,0.7180758524704245,2026-09-13 23:55:00+09:00,2026-09-14 00:00:00+09:00,2026-09-14 19:55:00+09:00,2026-09-15 00:00:00+09:00,2026-09-16 00:00:00+09:00,2026-09-15 23:55:00+09:00,3.9654313319610264,3.4819040736322457
5,30,2026-09-16,187326,8255,11526,13565,2039,0.8496866936970143,2026-09-14 19:55:00+09:00,2026-09-15 00:00:00+09:00,2026-09-15 23:55:00+09:00,2026-09-16 00:00:00+09:00,2026-09-17 00:00:00+09:00,2026-09-16 23:55:00+09:00,4.801998115527953,4.443663884357053
6,30,2026-09-17,195581,11526,7331,11664,4333,0.6285150891632373,2026-09-15 23:55:00+09:00,2026-09-16 00:00:00+09:00,2026-09-16 23:55:00+09:00,2026-09-17 00:00:00+09:00,2026-09-18 00:00:00+09:00,2026-09-17 23:55:00+09:00,4.51558931407523,4.003360860893452
7,30,2026-09-18,207365,7331,11084,13286,2202,0.8342616287821767,2026-09-16 23:55:00+09:00,2026-09-17 00:00:00+09:00,2026-09-17 23:55:00+09:00,2026-09-18 00:00:00+09:00,2026-09-19 00:00:00+09:00,2026-09-18 23:55:00+09:00,3.5717218514384954,3.0701620262268117
1,60,2026-09-12,144648,8287,5461,9045,3584,0.6037589828634605,2026-09-10 23:55:00+09:00,2026-09-11 00:00:00+09:00,2026-09-11 23:10:00+09:00,2026-09-12 00:00:00+09:00,2026-09-13 00:00:00+09:00,2026-09-12 23:55:00+09:00,4.8200183538307835,3.613928232048581
2,60,2026-09-13,153451,5461,11046,11598,552,0.9524055871702017,2026-09-11 23:10:00+09:00,2026-09-12 00:00:00+09:00,2026-09-12 23:55:00+09:00,2026-09-13 00:00:00+09:00,2026-09-14 00:00:00+09:00,2026-09-13 23:55:00+09:00,5.375933823295663,4.43358801503997
3,60,2026-09-14,158912,11046,9359,10466,1107,0.8942289317790942,2026-09-12 23:55:00+09:00,2026-09-13 00:00:00+09:00,2026-09-13 23:55:00+09:00,2026-09-14 00:00:00+09:00,2026-09-15 00:00:00+09:00,2026-09-14 19:55:00+09:00,4.616797134270654,3.897595531663489
4,60,2026-09-15,170462,9359,7458,9552,2094,0.7807788944723618,2026-09-13 23:55:00+09:00,2026-09-14 00:00:00+09:00,2026-09-14 19:55:00+09:00,2026-09-15 00:00:00+09:00,2026-09-16 00:00:00+09:00,2026-09-15 23:55:00+09:00,6.082318523589842,4.418184568415603
5,60,2026-09-16,180337,7458,10571,12395,1824,0.8528438886647842,2026-09-14 19:55:00+09:00,2026-09-15 00:00:00+09:00,2026-09-15 23:55:00+09:00,2026-09-16 00:00:00+09:00,2026-09-17 00:00:00+09:00,2026-09-16 23:55:00+09:00,7.533779667908325,6.131825966569533
6,60,2026-09-17,187795,10571,5465,8747,3282,0.6247856407911284,2026-09-15 23:55:00+09:00,2026-09-16 00:00:00+09:00,2026-09-16 23:55:00+09:00,2026-09-17 00:00:00+09:00,2026-09-18 00:00:00+09:00,2026-09-17 23:55:00+09:00,7.10354038270166,5.5846568507055006
7,60,2026-09-18,198667,5465,10043,11926,1883,0.8421096763374141,2026-09-16 23:55:00+09:00,2026-09-17 00:00:00+09:00,2026-09-17 23:55:00+09:00,2026-09-18 00:00:00+09:00,2026-09-19 00:00:00+09:00,2026-09-18 23:55:00+09:00,5.560793009296973,3.9163498406995765
1,120,2026-09-12,137662,6394,2507,5461,2954,0.4590734297747665,2026-09-10 23:55:00+09:00,2026-09-11 00:00:00+09:00,2026-09-11 23:10:00+09:00,2026-09-12 00:00:00+09:00,2026-09-13 00:00:00+09:00,2026-09-12 23:55:00+09:00,7.77634741821864,4.785244840164763
2,120,2026-09-13,145088,2507,9990,10542,552,0.9476380193511668,2026-09-11 23:10:00+09:00,2026-09-12 00:00:00+09:00,2026-09-12 23:55:00+09:00,2026-09-13 00:00:00+09:00,2026-09-14 00:00:00+09:00,2026-09-13 23:55:00+09:00,8.85228955825454,6.631772427841475
3,120,2026-09-14,147595,9990,7805,8843,1038,0.8826190206943345,2026-09-12 23:55:00+09:00,2026-09-13 00:00:00+09:00,2026-09-13 23:55:00+09:00,2026-09-14 00:00:00+09:00,2026-09-15 00:00:00+09:00,2026-09-14 19:55:00+09:00,7.634879490879018,5.392556821413762
4,120,2026-09-15,158593,7805,6666,7458,792,0.8938053097345132,2026-09-13 23:55:00+09:00,2026-09-14 00:00:00+09:00,2026-09-14 19:55:00+09:00,2026-09-15 00:00:00+09:00,2026-09-16 00:00:00+09:00,2026-09-15 23:55:00+09:00,9.532558982731528,5.625985184322974
5,120,2026-09-16,167430,6666,9349,10571,1222,0.8844007189480655,2026-09-14 19:55:00+09:00,2026-09-15 00:00:00+09:00,2026-09-15 23:55:00+09:00,2026-09-16 00:00:00+09:00,2026-09-17 00:00:00+09:00,2026-09-16 23:55:00+09:00,11.155149509196201,7.134611517037224
6,120,2026-09-17,174096,9349,2875,4949,2074,0.5809254394827238,2026-09-15 23:55:00+09:00,2026-09-16 00:00:00+09:00,2026-09-16 23:55:00+09:00,2026-09-17 00:00:00+09:00,2026-09-18 00:00:00+09:00,2026-09-17 21:30:00+09:00,11.2148454106681,7.213720710195967
7,120,2026-09-18,183746,2875,8219,10043,1824,0.8183809618639849,2026-09-16 23:55:00+09:00,2026-09-17 00:00:00+09:00,2026-09-17 21:30:00+09:00,2026-09-18 00:00:00+09:00,2026-09-19 00:00:00+09:00,2026-09-18 23:55:00+09:00,8.60176228223718,4.679420393178287
