horizon,weekday_group,n,persistence_mae,lag_24h_mae,lag_7d_mae
15,all,66530,2.3910580811173596,10.863535945777592,8.573017922406796
15,weekday,47043,2.6420211323293095,10.497108737950441,9.034328365950268
15,weekend,19487,1.7852154774244475,11.748117212150694,7.459381795983254
30,all,62538,3.753963019923543,11.212547316439206,8.958657630850109
30,weekday,44279,4.096280234418807,10.921388345188968,9.447379153589427
30,weekend,18259,2.9238264330000634,11.91862257181953,7.773483179600077
60,all,55610,5.958579768821757,12.083039456602608,9.925912413892426
60,weekday,39625,6.4116406675460995,11.951424487847662,10.523439952658318
60,weekend,15985,4.835493243206986,12.409298020063016,8.444709490927234
120,all,44939,9.379592301837464,13.719315317045805,11.984522450141972
120,weekday,32953,9.939300520253893,13.917520594940724,12.730131788281621
120,weekend,11986,7.840791624257236,13.174391362225908,9.934625527088755
