fold,horizon,segment,n,coverage,avg_width
1,15,전체,19380,0.8162538699690403,6.56304173571103
1,15,운영중,8535,1.0,0.4561390699748671
1,15,평일,19380,0.8162538699690403,6.56304173571103
1,15,운영중·평일,8535,0.7753954305799649,9.988375751025655
1,15,운영외·평일,10845,0.8484094052558783,3.867308603326489
1,30,전체,19176,0.7993846474760117,9.35801773849233
1,30,운영중,8526,1.0,0.5784294460221703
1,30,평일,19176,0.7993846474760117,9.35801773849233
1,30,운영중·평일,8526,0.7562749237626085,13.242840992369016
1,30,운영외·평일,10650,0.8338967136150235,6.2479705025718975
1,60,전체,18768,0.7826619778346121,13.032233974511097
1,60,운영중,8508,1.0,0.1321086463407397
1,60,평일,18768,0.7826619778346121,13.032233974511097
1,60,운영중·평일,8508,0.7428302773859896,17.25527983707923
1,60,운영외·평일,10260,0.8156920077972709,9.530316411282087
1,120,전체,17952,0.7520610516934046,18.890484307309997
1,120,운영중,8472,1.0,0.22773928245489117
1,120,평일,17952,0.7520610516934046,18.890484307309997
1,120,운영중·평일,8472,0.7144711992445704,22.54747856929575
1,120,운영외·평일,9480,0.7856540084388186,15.622335004826526
2,15,전체,19380,0.8323013415892673,6.459172561698296
2,15,운영중,8535,1.0,0.05207545861250651
2,15,평일,19380,0.8323013415892673,6.459172561698296
2,15,운영중·평일,8535,0.791095489162273,9.76164135019151
2,15,운영외·평일,10845,0.8647302904564316,3.8601341928841326
2,30,전체,19176,0.813308302044222,9.339612138597658
2,30,운영중,8526,1.0,0.0005528576757569681
2,30,평일,19176,0.813308302044222,9.339612138597658
2,30,운영중·평일,8526,0.7765657987332865,13.320190636743282
2,30,운영외·평일,10650,0.8427230046948356,6.152906760645585
2,60,전체,18768,0.7977941176470589,13.478766696626913
2,60,운영중,8508,1.0,0.0009725577558583609
2,60,평일,18768,0.7977941176470589,13.478766696626913
2,60,운영중·평일,8508,0.752350728725905,17.557685238045266
2,60,운영외·평일,10260,0.8354775828460039,10.09636523947415
2,120,전체,17952,0.789605614973262,19.693436008783408
2,120,운영중,8472,1.0,0.6443855430928238
2,120,평일,17952,0.789605614973262,19.693436008783408
2,120,운영중·평일,8472,0.7429178470254958,23.319880055848753
2,120,운영외·평일,9480,0.8313291139240506,16.45258854393767
3,15,전체,19380,0.8553147574819402,6.242785210624972
3,15,운영중,3219,1.0,7.54352486478898
3,15,주말,19380,0.8553147574819402,6.242785210624972
3,15,운영중·주말,3219,0.8154706430568499,9.243117998785717
3,15,운영외·주말,16161,0.8632510364457645,5.645169268227258
3,30,전체,19176,0.8435544430538173,8.559601868263924
3,30,운영중,3210,1.0,6.7328914532255455
3,30,주말,19176,0.8435544430538173,8.559601868263924
3,30,운영중·주말,3210,0.7968847352024923,11.446424377584567
3,30,운영외·주말,15966,0.8529374921708631,7.9791997478255405
3,60,전체,18768,0.810848252344416,11.573209152600246
3,60,운영중,3192,1.0,3.3649049214700426
3,60,주말,18768,0.810848252344416,11.573209152600246
3,60,운영중·주말,3192,0.7525062656641605,16.03073895311675
3,60,운영외·주말,15576,0.8228043143297381,10.659724617209346
3,120,전체,17952,0.7793560606060606,16.381462747484704
3,120,운영중,3156,1.0,2.3924820290059188
3,120,주말,17952,0.7793560606060606,16.381462747484704
3,120,운영중·주말,3156,0.7195817490494296,21.325961922262646
3,120,운영외·주말,14796,0.7921059745877264,15.326796662353642
4,15,전체,19380,0.8813725490196078,5.633554054819626
4,15,운영중,3219,1.0,3.8823011566132064
4,15,주말,19380,0.8813725490196078,5.633554054819626
4,15,운영중·주말,3219,0.8437402920161541,9.05564338828534
4,15,운영외·주말,16161,0.8888682631025308,4.951931286152704
4,30,전체,19176,0.8640488110137672,7.285218931317955
4,30,운영중,3210,1.0,4.675048545302468
4,30,주말,19176,0.8640488110137672,7.285218931317955
4,30,운영중·주말,3210,0.7722741433021807,11.52314419981051
4,30,운영외·주말,15966,0.8825003131654766,6.433174580080257
4,60,전체,18768,0.8176150895140665,10.470656918990795
4,60,운영중,3192,1.0,2.6897386215683667
4,60,주말,18768,0.8176150895140665,10.470656918990795
4,60,운영중·주말,3192,0.6616541353383458,16.190124037351683
4,60,운영외·주말,15576,0.8495762711864406,9.298562732947653
4,120,전체,17952,0.7799131016042781,13.976452837720363
4,120,운영중,3156,1.0,2.2314694597008327
4,120,주말,17952,0.7799131016042781,13.976452837720363
4,120,운영중·주말,3156,0.6343472750316856,20.01367058679726
4,120,운영외·주말,14796,0.8109624222762909,12.688708905841022
5,15,전체,16932,0.8489841719820458,6.4859084725100296
5,15,운영중,8301,1.0,0.0002948339967758784
5,15,평일,16932,0.8489841719820458,6.4859084725100296
5,15,운영중·평일,8301,0.8196602818937477,9.792710454494586
5,15,운영외·평일,8631,0.8771868844861546,3.30553965632954
5,30,전체,16728,0.8322572931611669,9.310203872616853
5,30,운영중,8262,1.0,0.013813222881793763
5,30,평일,16728,0.8322572931611669,9.310203872616853
5,30,운영중·평일,8262,0.8031953522149601,13.203601624591261
5,30,운영외·평일,8466,0.8606189463737303,5.510622933943033
5,60,전체,16320,0.8354166666666667,13.468740662460364
5,60,운영중,8184,1.0,0.0030423100604792808
5,60,평일,16320,0.8354166666666667,13.468740662460364
5,60,운영중·평일,8184,0.8152492668621701,17.843788258577018
5,60,운영외·평일,8136,0.8557030481809242,9.067881576101135
5,120,전체,15504,0.8183694530443757,20.046860738900772
5,120,운영중,7872,1.0,0.4832189226771533
