fold,horizon,n,brier,brier_persistence,reliability_slope,slope_pass
1,15,19095,0.006327681315491971,0.010526315789473684,0.9603626426428638,True
1,30,18894,0.009874296288050737,0.020006351222610352,0.9398068568325124,True
1,60,18492,0.015662250920668745,0.038340904174778284,0.7775021923834649,False
1,120,17688,0.021334785073692665,0.07196969696969698,0.8516289097581168,False
2,15,19095,0.006934194942835648,0.01178318931657502,0.9371765630755824,True
2,30,18894,0.010630905814840256,0.021700010585371018,0.9081834465095033,True
2,60,18492,0.016477978171244242,0.04007138221933809,0.8113050457861182,False
2,120,17688,0.022797956342675358,0.07304387155133424,0.7873045525481882,False
3,15,18626,0.0088557983307408,0.004134006227853538,1.058880480293052,True
3,30,18425,0.013052897170765772,0.007761194029850746,1.0952151429300243,True
3,60,18023,0.020090189350070738,0.013593741330522111,1.1011580458278571,False
3,120,17219,0.03335013836165128,0.02485626342993205,1.071392919814804,True
4,15,19095,0.006082363813715039,0.004346687614558785,0.9224095091616569,True
4,30,18894,0.012002008273183994,0.007621467132422992,0.8477440198435529,False
4,60,18492,0.016709837076297977,0.013194895089768548,0.9040925461318879,True
4,120,17688,0.023940463220090788,0.02391451831750339,0.9583179897389636,True
5,15,19095,0.00882216312617438,0.011364231474207908,0.8077957915882209,False
5,30,18894,0.015618192744401096,0.021700010585371018,0.7729977364182417,False
5,60,18492,0.02587569065284222,0.040774388924940515,0.7466456230573795,False
5,120,17688,0.03704829758230844,0.07615332428765265,0.6592692175181892,False
6,15,18157,0.007968788970225927,0.011786088010133833,0.9474741629064668,True
6,30,17956,0.012077646672001762,0.022276676319893073,0.896588928892836,False
6,60,17554,0.01654554206195746,0.042098666970491055,0.841024712944997,False
6,120,16750,0.022164491449655953,0.07874626865671641,0.8466900169643691,False
