fold,horizon,dest,ts_kst,missing_observations,missing_routes,n_candidates
1,120,안양시청,2026-09-03 22:00:00,25,0,25
1,120,석수역,2026-09-03 22:00:00,5,0,5
1,120,범계역,2026-09-03 22:00:00,25,0,25
1,120,안양역,2026-09-03 22:00:00,11,0,11
1,120,평촌역,2026-09-03 22:00:00,24,0,24
1,120,인덕원역,2026-09-03 22:00:00,7,0,7
2,120,안양시청,2026-09-04 22:00:00,25,0,25
2,120,석수역,2026-09-04 22:00:00,5,0,5
2,120,범계역,2026-09-04 22:00:00,25,0,25
2,120,안양역,2026-09-04 22:00:00,11,0,11
2,120,평촌역,2026-09-04 22:00:00,24,0,24
2,120,인덕원역,2026-09-04 22:00:00,7,0,7
3,120,안양시청,2026-09-05 22:00:00,25,0,25
3,120,석수역,2026-09-05 22:00:00,5,0,5
3,120,범계역,2026-09-05 22:00:00,25,0,25
3,120,안양역,2026-09-05 22:00:00,11,0,11
3,120,평촌역,2026-09-05 22:00:00,24,0,24
3,120,인덕원역,2026-09-05 22:00:00,7,0,7
4,120,안양시청,2026-09-06 22:00:00,25,0,25
4,120,석수역,2026-09-06 22:00:00,5,0,5
4,120,범계역,2026-09-06 22:00:00,25,0,25
4,120,안양역,2026-09-06 22:00:00,11,0,11
4,120,평촌역,2026-09-06 22:00:00,24,0,24
4,120,인덕원역,2026-09-06 22:00:00,7,0,7
5,120,안양시청,2026-09-07 22:00:00,25,0,25
5,120,석수역,2026-09-07 22:00:00,5,0,5
5,120,범계역,2026-09-07 22:00:00,25,0,25
5,120,안양역,2026-09-07 22:00:00,11,0,11
5,120,평촌역,2026-09-07 22:00:00,24,0,24
5,120,인덕원역,2026-09-07 22:00:00,7,0,7
6,60,안양시청,2026-09-08 22:00:00,25,0,25
6,60,석수역,2026-09-08 22:00:00,5,0,5
6,60,범계역,2026-09-08 22:00:00,25,0,25
6,60,안양역,2026-09-08 22:00:00,11,0,11
6,60,평촌역,2026-09-08 22:00:00,24,0,24
6,60,인덕원역,2026-09-08 22:00:00,7,0,7
6,120,안양시청,2026-09-08 22:00:00,25,0,25
6,120,석수역,2026-09-08 22:00:00,5,0,5
6,120,범계역,2026-09-08 22:00:00,25,0,25
6,120,안양역,2026-09-08 22:00:00,11,0,11
6,120,평촌역,2026-09-08 22:00:00,24,0,24
6,120,인덕원역,2026-09-08 22:00:00,7,0,7
