horizon,segment,n,coverage,inside
15,전체,28900,0.8494809688581315,24550
15,운영중,8072,0.8004212091179386,6461
15,운영외,20828,0.8684943345496448,18089
15,평일,12036,0.8308408109006314,10000
15,주말,16864,0.8627846299810247,14550
15,운영중·평일,5007,0.7994807269822248,4003
15,운영중·주말,3065,0.8019575856443719,2458
15,운영외·평일,7029,0.8531796841655996,5997
15,운영외·주말,13799,0.8762953837234583,12092
30,전체,28696,0.827989963758015,23760
30,운영중,8060,0.7978908188585608,6431
30,운영외,20636,0.8397460748207017,17329
30,평일,11832,0.8026538201487492,9497
30,주말,16864,0.8457661290322581,14263
30,운영중·평일,4998,0.7805122048819528,3901
30,운영중·주말,3062,0.8262573481384716,2530
30,운영외·평일,6834,0.8188469417617793,5596
30,운영외·주말,13802,0.8500941892479351,11733
60,전체,28288,0.8561934389140271,24220
60,운영중,8036,0.8632404181184669,6937
60,운영외,20252,0.8533971953387319,17283
60,평일,11424,0.8586309523809523,9809
60,주말,16864,0.854542220113852,14411
60,운영중·평일,4980,0.8660642570281124,4313
60,운영중·주말,3056,0.8586387434554974,2624
60,운영외·평일,6444,0.8528864059590316,5496
60,운영외·주말,13808,0.853635573580533,11787
120,전체,27472,0.8555984274898079,23505
120,운영중,7988,0.872058087130696,6966
120,운영외,19484,0.8488503387394786,16539
120,평일,10608,0.8645361990950227,9171
120,주말,16864,0.8499762808349146,14334
120,운영중·평일,4944,0.8673139158576052,4288
120,운영중·주말,3044,0.8797634691195795,2678
120,운영외·평일,5664,0.862111581920904,4883
120,운영외·주말,13820,0.8434153400868307,11656
