feature,rho,p
is_nosang,0.6228533599490204,1.8213197675527307e-08
oneday_amt,0.41034410905385804,0.0005630177064427702
hourly_rate,0.41027684449240875,0.0005643135851862679
grade,-0.40654591364805603,0.0006405849045448089
hndcap_ratio,-0.3680065161758333,0.002184928053664716
log_cells,-0.3315704446085087,0.006126212302766599
is_underground,-0.30593968773203295,0.011809561335482993
is_transfer,-0.14096931498055137,0.25517823620636937
is_manan,-0.12360760012333617,0.3189783517877941
open_hours,0.09231718090737759,0.4574714067629934
compet_n_500,-0.0821335569282074,0.5087674947508393
compet_cells_500,-0.0510021849552975,0.681892917163098
