parking_id,name,div,cell_cnt,reason
3,예술공원고가밑,위탁,88,park_count 표준편차 0(34h 잠정)
6,명학역노상,위탁,87,park_count 표준편차 0(34h 잠정)
15,석수대형화물,노외,74,park_count 표준편차 0(34h 잠정)
19,냉천놀이터지하,위탁,101,park_count 표준편차 0(34h 잠정)
35,공업부지노외,노외,49,park_count 표준편차 0(34h 잠정)
41,안양6동2노외,노외,15,park_count 표준편차 0(34h 잠정)
45,평촌역노상,위탁,71,park_count 표준편차 0(34h 잠정)
46,범계역노상,위탁,161,park_count 표준편차 0(34h 잠정)
47,동안노상,위탁,88,park_count 표준편차 0(34h 잠정)
55,안양3동노상,위탁,27,park_count 표준편차 0(34h 잠정)
57,호계고가밑,위탁,30,park_count 표준편차 0(34h 잠정)
61,수리산1노상,위탁,32,park_count 표준편차 0(34h 잠정)
101,문예노상,위탁,54,park_count 표준편차 0(34h 잠정)
102,수리산2노상,위탁,57,park_count 표준편차 0(34h 잠정)
103,인덕원1노상,위탁,51,park_count 표준편차 0(34h 잠정)
104,인덕원2노상,위탁,58,park_count 표준편차 0(34h 잠정)
105,관양시장노상,노상,27,park_count 표준편차 0(34h 잠정)
106,시청앞노상,노상,34,park_count 표준편차 0(34h 잠정)
107,삼막사노상,위탁,173,park_count 표준편차 0(34h 잠정)
109,관악3노상,노상,42,park_count 표준편차 0(34h 잠정)
110,삼봉노상,노상,28,park_count 표준편차 0(34h 잠정)
111,먹거리촌노외,노외,12,park_count 표준편차 0(34h 잠정)
