parking_id,name,gits_n_300,gits_n_500,nearest_gits_m
3,예술공원고가밑,2,2,0.0004614386969105677
6,명학역노상,1,3,0.0005312635016235406
7,안양2동노외,1,2,4.064536314705074e-05
8,안양4동노외,3,6,0.0
9,예술공원노외,1,1,0.00034634373161568713
10,인덕원환승,3,5,0.0005300742581834562
11,일번가노외,3,7,0.0005219647266256383
12,관악역1환승,4,4,0.0
13,관악역2환승,4,4,0.00021520698216087808
14,호계3동노외,2,2,0.0003305943377579263
15,석수대형화물,1,1,0.00019729956438255814
16,평촌지하,3,5,0.0005279718156484683
17,화창초교지하,1,1,0.0004338189757611875
18,개나리놀이터지하,1,5,0.0005877200278187384
19,냉천놀이터지하,2,5,0.0005442505823534331
20,병목안시민공원노외,1,1,0.0
21,해동놀이터지하,2,4,0.000371354322133675
22,박달시장1노상노외,2,2,0.00026829634332742536
23,덕천노상,3,8,0.00048002659392657436
24,관악역3환승,4,4,0.0003628867942317247
25,관악역4환승,4,4,0.0004889983337082839
26,수목원입구노외,1,1,0.0
27,인덕원동노외,3,7,0.0
28,삼덕노외,3,4,0.0005642801027111731
29,남부노외,3,4,0.0
30,샘모루초교지하,1,1,0.0002774335107719979
31,스마트스퀘어지하,1,1,0.0006315537601853409
33,박달시장2노외,2,3,0.0004562900635515642
34,동편마을지하,1,2,0.00046444969468200644
35,공업부지노외,2,4,0.0005098655440689073
36,충훈동지하,1,1,0.0003599684922466296
37,관양동노외,4,9,0.0
38,삼덕공원지하,4,8,0.00047924052031636055
39,안양7동노외,4,8,6.319922697213277e-05
40,안양6동1노외,6,9,47.01536691427663
41,안양6동2노외,6,9,44.245194655640006
42,느루소공원지하,1,5,0.0002793910762001048
45,평촌역노상,2,3,0.0005551033422275086
46,범계역노상,1,4,0.0003139406379830833
47,동안노상,1,4,0.0005005409864867687
48,안양역2노상,4,6,0.0004628905389367409
52,남부노상,3,4,0.0004904789560601447
53,안양역1노상,5,6,0.0003290982071680991
55,안양3동노상,5,8,0.0
56,학원가노상,4,5,0.0004218879323555041
57,호계고가밑,2,3,0.0003873552156792903
61,수리산1노상,6,10,0.0
81,"비호교1,2노외",1,1,0.0006130209664908828
82,명학동노외,1,1,0.00033498160802846664
101,문예노상,1,6,0.0003184261083682592
102,수리산2노상,8,9,0.0005034054423268364
103,인덕원1노상,3,5,0.0003792109088087698
104,인덕원2노상,3,7,0.0003365103557428942
105,관양시장노상,4,8,0.0006213737942779375
106,시청앞노상,2,5,0.0005765316319442307
107,삼막사노상,1,1,0.00014613823766408
108,석수역좌우측노상,1,1,0.0004893795194391659
109,관악3노상,3,5,0.00014955553069905033
110,삼봉노상,1,1,0.00033751801332600277
111,먹거리촌노외,4,5,0.0005767291978249208
112,원스퀘어임시,4,7,0.00026107895311239276
121,호현마을1노외,3,3,0.0003127425550774
122,호현마을2노외,3,3,0.0003820703636616386
161,관악노상1-2,3,6,0.000410299726997907
162,관악노상1-3,5,10,0.0003641788239258058
163,관악노상1-4,6,9,0.00016612892702416474
164,관악노상1-5,5,8,0.00040407483526584757
165,관악노상2-1,2,5,0.0004246540371782579
166,관악노상2-2,6,10,0.0006876726075350093
167,관악노상2-3,7,11,0.0005312740758931675
168,관악노상2-4,6,9,0.00020255805423004754
169,관악노상2-5,6,10,0.0004478799191630633
170,관악노상2-6,4,7,0.00027895029768038797
171,관악노상2-7,2,6,0.0003909338826517554
172,인덕원동복개노상123,2,5,0.0006262891199902744
181,덕현공원지하,1,2,0.0005145705518307902
182,호계시장1노외,2,5,0.000543299588796126
183,호계시장2노외,3,4,0.0003727731522335011
201,비산소공원지하,1,1,0.0004474635879556133
241,먹거리촌노상1,2,5,0.00018143351873779417
261,먹거리촌노상2,5,5,0.00048281563432780143
262,먹거리촌노상3,4,5,0.0005292055847700179
301,친목마을노외,3,3,0.00030938907202795
401,호원어린이공원노외,2,4,0.00011679246473688983
421,박달고가밑노상(노외),2,2,0.0006023277307080596
441,율목복지관옆공영,1,1,0.0004915589748281914
461,안양6동3노외,7,10,0.0005427417576078908
521,안양6동4노외,7,8,0.0002735278977737357
522,안양6동5노외(일반),3,6,0.00017237910957376205
