horizon_min,model,MAE,MedianAE,P90AE,train_rows,test_rows
15,Persistence,1.7840095028077743,0.0,5.02100840336135,96921,24386
15,ML_lag_motion_time,1.9165401383638978,0.4820636080604199,5.014278282275731,96921,24386
15,ML_time_weather,1.9207731452449757,0.4807232956635583,5.03651907483375,96921,24386
30,Persistence,2.964055236019938,0.0,8.333333333333332,96654,24119
30,ML_lag_motion_time,3.0223700567014546,0.86749559977806,7.9173143038222005,96654,24119
30,ML_time_weather,3.036085814309162,0.878417020210275,8.004392649179009,96654,24119
60,Persistence,5.017893790981754,0.0,13.333333333333334,96120,23585
60,ML_lag_motion_time,4.85782140925702,1.6542513433449493,13.33054685536237,96120,23585
60,ML_time_weather,4.917538157281574,1.6288118724136353,13.478185891354565,96120,23585
120,Persistence,8.70507037112096,1.639344262295082,26.666666666666664,95052,22517
120,ML_lag_motion_time,7.854681788516458,3.297379730266414,22.64093069208486,95052,22517
120,ML_time_weather,7.915788437050859,3.307142221591249,23.388148531564614,95052,22517
