horizon_min,model,MAE,MedianAE,P90AE,train_rows,test_rows
15,Persistence,1.7840095028077745,0.0,5.02100840336135,96921,24386
15,ML_lag_motion_time,1.9165401383638976,0.4820636080604199,5.014278282275731,96921,24386
15,ML_time_parking_id,1.7842047634287796,0.44934671518726077,4.836906480425217,96921,24386
30,Persistence,2.964055236019939,0.0,8.333333333333332,96654,24119
30,ML_lag_motion_time,3.022370056701455,0.86749559977806,7.9173143038222005,96654,24119
30,ML_time_parking_id,2.489004932396065,0.7050292635446311,6.967639562973934,96654,24119
60,Persistence,5.017893790981754,0.0,13.333333333333334,96120,23585
60,ML_lag_motion_time,4.85782140925702,1.6542513433449493,13.33054685536237,96120,23585
60,ML_time_parking_id,3.408466699077959,1.1681267003484805,9.689744559784804,96120,23585
120,Persistence,8.70507037112096,1.639344262295082,26.666666666666664,95052,22517
120,ML_lag_motion_time,7.854681788516458,3.297379730266414,22.64093069208486,95052,22517
120,ML_time_parking_id,4.517056527047171,1.9251020670062928,12.639106592632167,95052,22517
