horizon,weekday_group,line,n,persistence_mae,ml_mae,gain_pct
15,weekday,a_A20,13970,2.4404248567927938,2.417201695564373,0.9516032080963348
15,weekday,b_A20_rescored,10541,2.5889473408760697,2.560749137142139,1.0891764111505196
15,weekday,c_A22,10541,2.5889473408760693,2.475980966806304,4.363409494128165
15,weekend,a_A20,30188,1.2350850883357287,1.2107742696331372,1.9683517299484412
15,weekend,b_A20_rescored,20207,1.7854686336409848,1.7506039075620288,1.9526932829874928
15,weekend,c_A22,20207,1.7854686336409844,1.7042094968599748,4.551137737732384
30,weekday,a_A20,13559,3.998671155085659,3.6072261253452895,9.789377884763416
30,weekday,b_A20_rescored,10145,3.965431331961027,3.478190389755049,12.287211690664241
30,weekday,c_A22,10145,3.9654313319610264,3.431104407752633,13.474623047983851
30,weekend,a_A20,28367,2.0268162538676253,1.8450062109261187,8.970228188893383
30,weekend,b_A20_rescored,18973,2.9172923953375114,2.6463506492829536,9.287438807559488
30,weekend,c_A22,18973,2.917292395337511,2.6129430198806496,10.432597566952154
60,weekday,a_A20,12737,6.743663375664012,5.38660576311328,20.123448294408814
60,weekday,b_A20_rescored,9359,6.082318523589842,4.574711620964303,24.7867140923053
60,weekday,c_A22,9359,6.082318523589842,4.44642005282942,26.895968443870633
60,weekend,a_A20,24726,3.406222983580461,2.8444324565667416,16.49306371666813
60,weekend,b_A20_rescored,16507,4.867941827962153,4.049144470989138,16.820196007062485
60,weekend,c_A22,16507,4.867941827962153,4.001581384005146,17.79726370147871
120,weekday,a_A20,11093,11.717719311172187,8.093928854751638,30.925731878262933
120,weekday,b_A20_rescored,7805,9.532558982731528,5.646111953525339,40.7702384663613
120,weekday,c_A22,7805,9.532558982731528,5.515629560555621,42.139046078316184
120,weekend,a_A20,18893,5.448759217593743,3.889137212568536,28.623434120364013
120,weekend,b_A20_rescored,12497,7.87910186736221,5.613546500830681,28.753979890984684
120,weekend,c_A22,12497,7.87910186736221,5.670535446365625,28.03068748413042
