horizon,row_set,weekday_group,method,n,n_lots,mae,rmse
15,core,all,ml,66360,66,2.1740951665807144,4.662742683587501
15,core,all,m1,66360,66,2.153059176768558,4.615706530841298
15,core,all,persistence,66360,66,2.269107331506767,4.780790092580326
15,core,all,lag_24h,66360,66,10.41184993845489,16.589474726652284
15,core,weekday,ml,46657,66,2.375606845160926,5.021094220015368
15,core,weekday,m1,46657,66,2.3448859317837267,4.958444475046086
15,core,weekday,persistence,46657,66,2.476190546320498,5.135294114453488
15,core,weekday,lag_24h,46657,66,9.913712987617437,16.011600143415755
15,core,weekend,ml,19703,51,1.6969124843741012,3.6774503900912405
15,core,weekend,m1,19703,51,1.6988105390614707,3.6788970461989767
15,core,weekend,persistence,19703,51,1.7787311677974698,3.812045418918886
15,core,weekend,lag_24h,19703,51,11.591445721595694,17.883581694342205
15,all,all,ml,33794,66,2.6776774614421206,5.451934683493492
15,all,all,m1,33794,66,2.6336556907871085,5.371134427061848
15,all,all,persistence,33794,66,2.7755895612742014,5.552506894560796
15,all,all,lag_24h,33794,66,10.821569022012165,17.211533004923417
15,all,all,lag_7d,33794,66,8.930572794601376,14.139778808559624
15,all,all,seasonal_naive,33794,66,8.370511867612056,13.29666912985616
15,all,weekday,ml,33794,66,2.6776774614421206,5.451934683493492
15,all,weekday,m1,33794,66,2.6336556907871085,5.371134427061848
15,all,weekday,persistence,33794,66,2.7755895612742014,5.552506894560796
15,all,weekday,lag_24h,33794,66,10.821569022012165,17.211533004923417
15,all,weekday,lag_7d,33794,66,8.930572794601376,14.139778808559624
15,all,weekday,seasonal_naive,33794,66,8.370511867612056,13.29666912985616
15,all,weekend,ml,0,0,,
15,all,weekend,m1,0,0,,
15,all,weekend,persistence,0,0,,
15,all,weekend,lag_24h,0,0,,
15,all,weekend,lag_7d,0,0,,
15,all,weekend,seasonal_naive,0,0,,
30,core,all,ml,62705,66,3.116012614757583,6.223026261000463
30,core,all,m1,62705,66,3.102322229669121,6.093709680695557
30,core,all,persistence,62705,66,3.5279682682334115,6.840555263384452
30,core,all,lag_24h,62705,66,10.400620220660667,16.555261356224708
30,core,weekday,ml,44110,66,3.337411304729716,6.580984010125268
30,core,weekday,m1,44110,66,3.318723835248838,6.421185161648667
30,core,weekday,persistence,44110,66,3.794530144498005,7.231841752919766
30,core,weekday,lag_24h,44110,66,9.923665926425342,16.02736607951308
30,core,weekend,ml,18595,51,2.5908232512367007,5.277672326747385
30,core,weekend,m1,18595,51,2.5889866651560105,5.235598677003302
30,core,weekend,persistence,18595,51,2.8956453662688384,5.807871635490804
30,core,weekend,lag_24h,18595,51,11.532024034520319,17.74480344577922
30,all,all,ml,31864,66,3.7730020327148353,7.1775044815470395
30,all,all,m1,31864,66,3.750770121606581,7.0212168106643675
30,all,all,persistence,31864,66,4.270421763936404,7.827768309641236
