horizon,row_set,n,m0_mae,m1_mae,gain_pp,gain_pct,m1_better_days,test_days,m1_better_everywhere
15,core,66360,2.1740951665807144,2.153059176768558,0.021035989812156597,0.9675744712335077,5,7,False
15,all,33794,2.6776774614421206,2.6336556907871085,0.044021770655012116,1.644028128440206,4,4,True
30,core,62705,3.116012614757583,3.102322229669121,0.013690385088461987,0.43935589424842747,5,7,False
30,all,31864,3.7730020327148353,3.750770121606581,0.022231911108254288,0.5892366586470531,3,4,False
60,core,56551,4.324214450158777,4.366253893278132,-0.04203944311935448,-0.9721868238475284,3,7,False
60,all,28531,5.115134712231126,5.150579133972858,-0.035444421741732235,-0.6929323221337419,2,4,False
120,core,47162,5.621049284883119,5.641085580759791,-0.020036295876671772,-0.35645116883347866,5,7,False
120,all,24027,6.398299443625391,6.546742639815095,-0.14844319618970392,-2.320041403151231,2,4,False
180,core,39403,6.106641743197042,6.298348600240352,-0.19170685704331003,-3.139317240230712,5,7,False
180,all,20190,6.991592323093641,7.438751205498569,-0.44715888240492774,-6.395665847505662,2,4,False
240,core,34730,6.63307265934969,6.792727226034791,-0.15965456668510125,-2.406947351316273,5,7,False
240,all,18298,7.513092161634109,8.089545089619566,-0.5764529279854571,-7.672645504458682,2,4,False
360,core,28174,7.320808780807085,7.214922887019319,0.10588589378776625,1.4463687955539364,4,6,False
360,all,15210,8.107048156860161,8.352224338358521,-0.24517618149836018,-3.024234921941259,2,4,False
720,core,15773,8.538003613215341,7.144068558585042,1.3939350546302993,16.326241095432785,5,5,True
720,all,8981,9.877884521982677,8.40502493436262,1.4728595876200572,14.9106783374749,3,3,True
1440,core,2569,10.782362719103816,10.235560369399558,0.546802349704258,5.071266511331998,1,1,True
1440,all,2569,10.782362719103816,10.235560369399558,0.546802349704258,5.071266511331998,1,1,True
