row_set,model,horizon,n,n_weekday,n_weekend,ml_mae,ml_mae_weekday,ml_mae_weekend,strongest_baseline,strongest_mae,lots_evaluable,lot_pass_rate,weekend_weeks,certified,provisional,overall_mae_ok,weekday_mae_ok,weekend_mae_ok,beats_strongest_baseline,lot_coverage_ok,direction_reproduced,weekend_weeks_ok
core,g0,15,66360,46657,19703,2.1740951665807144,2.375606845160926,1.6969124843741012,persistence,2.269107331506767,66,0.9848484848484849,1,False,True,True,True,True,True,True,True,False
core,g0,30,62705,44110,18595,3.116012614757583,3.337411304729716,2.5908232512367007,persistence,3.5279682682334115,66,0.9242424242424242,1,False,True,True,True,True,True,True,True,False
core,g0,60,56551,40076,16475,4.324214450158777,4.495376582425666,3.907856719492446,persistence,5.594286057692494,66,0.8181818181818182,1,False,True,True,True,True,True,True,True,False
core,g0,120,47162,34109,13053,5.621049284883119,5.677906590099216,5.472474564618362,persistence,8.774545334409412,66,0.7878787878787878,1,False,False,True,True,True,True,False,True,False
core,g0,180,39403,28931,10472,6.106641743197042,6.1441145289166865,6.003115658050458,lag_24h,10.020087505576322,66,0.7727272727272727,1,False,False,True,True,True,True,False,True,False
core,g0,240,34730,25855,8875,6.63307265934969,6.691250512840594,6.463586642222104,lag_24h,9.96386392885049,66,0.7272727272727273,1,False,False,True,True,True,True,False,False,False
core,g0,360,28174,21541,6633,7.320808780807085,7.437990963936713,6.940253766967898,lag_24h,10.224861467979911,62,0.6129032258064516,1,False,False,True,True,True,True,False,False,False
core,g0,720,15773,14382,1391,8.538003613215341,8.594946007138853,7.949257740168649,lag_24h,10.56934733893822,43,0.7441860465116279,1,False,False,True,True,True,True,False,False,False
core,g0,1440,2569,2569,0,10.782362719103816,10.782362719103816,,persistence,22.2564592359505,43,0.5813953488372093,1,False,False,False,False,False,True,False,True,False
all,g0,15,33794,33794,0,2.6776774614421206,2.6776774614421206,,persistence,2.7755895612742014,66,0.9696969696969697,1,False,False,True,True,False,True,True,True,False
all,g0,30,31864,31864,0,3.7730020327148353,3.7730020327148353,,persistence,4.270421763936404,66,0.9090909090909091,1,False,False,True,True,False,True,True,True,False
all,g0,60,28531,28531,0,5.115134712231126,5.115134712231126,,persistence,6.753149273632213,66,0.8333333333333334,1,False,False,True,True,False,True,True,True,False
all,g0,120,24027,24027,0,6.398299443625391,6.398299443625391,,seasonal_naive,8.471139505145896,66,0.7878787878787878,1,False,False,True,True,False,True,False,True,False
all,g0,180,20190,20190,0,6.991592323093641,6.991592323093641,,seasonal_naive,8.52739461865242,66,0.7575757575757576,1,False,False,True,True,False,True,False,True,False
all,g0,240,18298,18298,0,7.513092161634109,7.513092161634109,,seasonal_naive,8.484209618374857,66,0.696969696969697,1,False,False,True,True,False,True,False,False,False
all,g0,360,15210,15210,0,8.107048156860161,8.107048156860161,,seasonal_naive,8.338918562140647,62,0.5483870967741935,1,False,False,True,True,False,True,False,False,False
all,g0,720,8981,8981,0,9.877884521982677,9.877884521982677,,lag_7d,7.5859407364619145,43,0.6511627906976745,1,False,False,True,True,False,False,False,False,False
all,g0,1440,2569,2569,0,10.782362719103816,10.782362719103816,,lag_7d,7.774278413251751,43,0.5813953488372093,1,False,False,False,False,False,False,False,False,False
core,l0,15,66360,46657,19703,2.141202090355617,2.3234902694604713,1.7095409437030653,persistence,2.269107331506767,66,0.9848484848484849,1,False,True,True,True,True,True,True,True,False
core,l0,30,62705,44110,18595,3.062478436144423,3.2503611343126178,2.6167937996185255,persistence,3.5279682682334115,66,0.9090909090909091,1,False,True,True,True,True,True,True,True,False
core,l0,60,56551,40076,16475,4.231267377750942,4.38061428439679,3.8679759282371955,persistence,5.594286057692494,66,0.8787878787878788,1,False,True,True,True,True,True,True,True,False
core,l0,120,47105,34052,13053,5.399613608155996,5.531657402027163,5.0551444999892166,persistence,8.774545334409412,66,0.803030303030303,1,False,True,True,True,True,True,True,True,False
core,l0,180,39134,28662,10472,6.045507960656052,6.19820362283506,5.627577950211559,lag_24h,10.020087505576322,66,0.7272727272727273,1,False,False,True,True,True,True,False,True,False
core,l0,240,33644,24769,8875,6.1133996750544375,6.099287596807377,6.152784696586998,lag_24h,9.96386392885049,66,0.696969696969697,1,False,False,True,True,True,True,False,True,False
core,l0,360,27245,20612,6633,6.651360723494095,6.605655946320289,6.793387991262298,lag_24h,10.224861467979911,62,0.6451612903225806,1,False,False,True,True,True,True,False,False,False
core,l0,720,15773,14382,1391,6.98918746009121,6.986145737196195,7.020636819311979,lag_24h,10.56934733893822,43,0.8372093023255814,1,False,False,True,True,True,True,True,False,False
core,l0,1440,2569,2569,0,9.781576001935502,9.781576001935502,,persistence,22.2564592359505,43,0.6046511627906976,1,False,False,True,True,False,True,False,True,False
all,l0,15,33794,33794,0,2.6000572661259267,2.6000572661259267,,persistence,2.7755895612742014,66,0.9696969696969697,1,False,False,True,True,False,True,True,True,False
all,l0,30,31864,31864,0,3.6092764169531835,3.6092764169531835,,persistence,4.270421763936404,66,0.8787878787878788,1,False,False,True,True,False,True,True,True,False
all,l0,60,28531,28531,0,4.8541484063379245,4.8541484063379245,,persistence,6.753149273632213,66,0.8484848484848485,1,False,False,True,True,False,True,True,True,False
all,l0,120,24027,24027,0,6.122691902030693,6.122691902030693,,seasonal_naive,8.471139505145896,66,0.803030303030303,1,False,False,True,True,False,True,True,True,False
all,l0,180,19967,19967,0,6.870195355493808,6.870195355493808,,seasonal_naive,8.52739461865242,66,0.696969696969697,1,False,False,True,True,False,True,False,True,False
all,l0,240,17287,17287,0,6.675842758310056,6.675842758310056,,seasonal_naive,8.484209618374857,66,0.6212121212121212,1,False,False,True,True,False,True,False,True,False
all,l0,360,14301,14301,0,7.215412335514322,7.215412335514322,,seasonal_naive,8.338918562140647,62,0.5806451612903226,1,False,False,True,True,False,True,False,False,False
all,l0,720,8981,8981,0,7.647105289637053,7.647105289637053,,lag_7d,7.5859407364619145,43,0.813953488372093,1,False,False,True,True,False,False,True,False,False
all,l0,1440,2569,2569,0,9.781576001935502,9.781576001935502,,lag_7d,7.774278413251751,43,0.6046511627906976,1,False,False,True,True,False,False,False,False,False
core,h0,15,66360,46657,19703,2.1781865929117954,2.3802922294660243,1.6995974092996224,persistence,2.269107331506767,66,0.9848484848484849,1,False,True,True,True,True,True,True,True,False
core,h0,30,62705,44110,18595,3.1532070906758216,3.3863994542380578,2.6000414463235653,persistence,3.5279682682334115,66,0.9242424242424242,1,False,True,True,True,True,True,True,True,False
core,h0,60,56551,40076,16475,4.429743288231794,4.590150078524185,4.039548294134201,persistence,5.594286057692494,66,0.8181818181818182,1,False,True,True,True,True,True,True,True,False
core,h0,120,47162,34109,13053,6.069966256314552,5.92255952604076,6.455157106150511,persistence,8.774545334409412,66,0.7727272727272727,1,False,False,True,True,True,True,False,True,False
core,h0,180,39403,28931,10472,7.318801228962268,6.561964313925136,9.40971497886098,lag_24h,10.020087505576322,66,0.696969696969697,1,False,False,True,True,True,True,False,True,False
core,h0,240,34730,25855,8875,8.446208749883176,7.054808380246213,12.499691178836834,lag_24h,9.96386392885049,66,0.6363636363636364,1,False,False,True,True,False,True,False,False,False
core,h0,360,28174,21541,6633,7.663504727335576,7.886211362130562,6.940253766967898,lag_24h,10.224861467979911,62,0.6129032258064516,1,False,False,True,True,True,True,False,False,False
core,h0,720,15773,14382,1391,8.275358385259782,8.306898226542062,7.949257740168649,lag_24h,10.56934733893822,43,0.7674418604651163,1,False,False,True,True,True,True,False,False,False
core,h0,1440,2569,2569,0,10.782362719103816,10.782362719103816,,persistence,22.2564592359505,43,0.5813953488372093,1,False,False,False,False,False,True,False,True,False
all,h0,15,33794,33794,0,2.681501338649645,2.681501338649645,,persistence,2.7755895612742014,66,0.9696969696969697,1,False,False,True,True,False,True,True,True,False
all,h0,30,31864,31864,0,3.832772071869726,3.832772071869726,,persistence,4.270421763936404,66,0.8939393939393939,1,False,False,True,True,False,True,True,True,False
all,h0,60,28531,28531,0,5.236463836612047,5.236463836612047,,persistence,6.753149273632213,66,0.8181818181818182,1,False,False,True,True,False,True,True,True,False
all,h0,120,24027,24027,0,6.740299679854094,6.740299679854094,,seasonal_naive,8.471139505145896,66,0.7424242424242424,1,False,False,True,True,False,True,False,True,False
all,h0,180,20190,20190,0,7.567172835597447,7.567172835597447,,seasonal_naive,8.52739461865242,66,0.696969696969697,1,False,False,True,True,False,True,False,True,False
all,h0,240,18298,18298,0,8.044304200314865,8.044304200314865,,seasonal_naive,8.484209618374857,66,0.6818181818181818,1,False,False,True,True,False,True,False,False,False
all,h0,360,15210,15210,0,8.926147669430659,8.926147669430659,,seasonal_naive,8.338918562140647,62,0.5483870967741935,1,False,False,True,True,False,False,False,False,False
all,h0,720,8981,8981,0,10.751058017476964,10.751058017476964,,lag_7d,7.5859407364619145,43,0.5813953488372093,1,False,False,False,False,False,False,False,False,False
all,h0,1440,2569,2569,0,10.782362719103816,10.782362719103816,,lag_7d,7.774278413251751,43,0.5813953488372093,1,False,False,False,False,False,False,False,False,False
