horizon,row_set,weekday_group,method,n,n_missing,n_lots,mae,rmse
15,core,all,g0,66360,0,66,2.1740951665807144,4.662742683587501
15,core,all,l0,66360,0,66,2.141202090355617,4.370625721419644
15,core,all,h0,66360,0,66,2.1781865929117954,4.663813035549821
15,core,all,persistence,66360,0,66,2.269107331506767,4.780790092580326
15,core,all,lag_24h,66360,0,66,10.41184993845489,16.589474726652284
15,core,weekday,g0,46657,0,66,2.375606845160926,5.021094220015368
15,core,weekday,l0,46657,0,66,2.3234902694604713,4.688965004043366
15,core,weekday,h0,46657,0,66,2.3802922294660243,5.021916099681022
15,core,weekday,persistence,46657,0,66,2.476190546320498,5.135294114453488
15,core,weekday,lag_24h,46657,0,66,9.913712987617437,16.011600143415755
15,core,weekend,g0,19703,0,51,1.6969124843741012,3.6774503900912405
15,core,weekend,l0,19703,0,51,1.7095409437030653,3.503278172740086
15,core,weekend,h0,19703,0,51,1.6995974092996224,3.679363709139214
15,core,weekend,persistence,19703,0,51,1.7787311677974698,3.812045418918886
15,core,weekend,lag_24h,19703,0,51,11.591445721595694,17.883581694342205
15,all,all,g0,33794,0,66,2.6776774614421206,5.451934683493492
15,all,all,l0,33794,0,66,2.6000572661259267,5.087735542813486
15,all,all,h0,33794,0,66,2.681501338649645,5.452481771441148
15,all,all,persistence,33794,0,66,2.7755895612742014,5.552506894560796
15,all,all,lag_24h,33794,0,66,10.821569022012165,17.211533004923417
15,all,all,lag_7d,33794,0,66,8.930572794601376,14.139778808559624
15,all,all,seasonal_naive,33794,0,66,8.370511867612056,13.29666912985616
15,all,weekday,g0,33794,0,66,2.6776774614421206,5.451934683493492
15,all,weekday,l0,33794,0,66,2.6000572661259267,5.087735542813486
15,all,weekday,h0,33794,0,66,2.681501338649645,5.452481771441148
15,all,weekday,persistence,33794,0,66,2.7755895612742014,5.552506894560796
15,all,weekday,lag_24h,33794,0,66,10.821569022012165,17.211533004923417
15,all,weekday,lag_7d,33794,0,66,8.930572794601376,14.139778808559624
15,all,weekday,seasonal_naive,33794,0,66,8.370511867612056,13.29666912985616
15,all,weekend,g0,0,0,0,,
15,all,weekend,l0,0,0,0,,
15,all,weekend,h0,0,0,0,,
15,all,weekend,persistence,0,0,0,,
15,all,weekend,lag_24h,0,0,0,,
15,all,weekend,lag_7d,0,0,0,,
15,all,weekend,seasonal_naive,0,0,0,,
30,core,all,g0,62705,0,66,3.116012614757583,6.223026261000463
30,core,all,l0,62705,0,66,3.062478436144423,5.774666964738656
30,core,all,h0,62705,0,66,3.1532070906758216,6.239469057797596
30,core,all,persistence,62705,0,66,3.5279682682334115,6.840555263384452
30,core,all,lag_24h,62705,0,66,10.400620220660667,16.555261356224708
30,core,weekday,g0,44110,0,66,3.337411304729716,6.580984010125268
30,core,weekday,l0,44110,0,66,3.2503611343126178,6.0724992133520574
30,core,weekday,h0,44110,0,66,3.3863994542380578,6.601505851585921
30,core,weekday,persistence,44110,0,66,3.794530144498005,7.231841752919766
30,core,weekday,lag_24h,44110,0,66,9.923665926425342,16.02736607951308
30,core,weekend,g0,18595,0,51,2.5908232512367007,5.277672326747385
30,core,weekend,l0,18595,0,51,2.6167937996185255,4.9976741965662175
30,core,weekend,h0,18595,0,51,2.6000414463235653,5.282339020455963
30,core,weekend,persistence,18595,0,51,2.8956453662688384,5.807871635490804
30,core,weekend,lag_24h,18595,0,51,11.532024034520319,17.74480344577922
30,all,all,g0,31864,0,66,3.7730020327148353,7.1775044815470395
30,all,all,l0,31864,0,66,3.6092764169531835,6.5471976072726195
30,all,all,h0,31864,0,66,3.832772071869726,7.204159060316713
30,all,all,persistence,31864,0,66,4.270421763936404,7.827768309641236
30,all,all,lag_24h,31864,0,66,10.869582375802777,17.26573837000293
30,all,all,lag_7d,31864,0,66,8.94821051059174,14.184955595957105
30,all,all,seasonal_naive,31864,0,66,8.380632170033623,13.325725719928627
30,all,weekday,g0,31864,0,66,3.7730020327148353,7.1775044815470395
