horizon,fold,test_date,train_n,validation_n,test_n,local_models_trained,test_lots,test_lots_without_local,corrected_lots,test_rows_without_correction,correction_abs_median
15,1,2026-09-11,136428,13551,10109,66,66,0,66,7066,0.0
15,2,2026-09-12,149979,10109,8369,66,51,0,66,6642,0.0
15,3,2026-09-13,160088,8369,11964,66,46,0,51,8180,0.0
15,4,2026-09-14,168457,11964,10670,66,66,0,46,8000,0.0
15,5,2026-09-15,180421,10670,8882,66,66,0,66,7858,0.0
15,6,2026-09-16,191091,8882,12240,66,66,0,66,11199,0.0
15,7,2026-09-17,199973,12240,8424,66,66,0,66,4107,1.5764655358907476e-08
30,1,2026-09-11,134976,13224,9498,66,66,0,66,1361,0.03760869483972584
30,2,2026-09-12,148200,9498,7399,66,51,0,66,1071,0.026819988236367998
30,3,2026-09-13,157698,7399,11826,66,46,0,51,1631,0.05300257673495068
30,4,2026-09-14,165097,11826,10403,66,66,0,46,3020,0.006297343479551465
30,5,2026-09-15,176923,10403,8255,66,66,0,66,3346,0.004578031833190721
30,6,2026-09-16,187326,8255,11784,66,66,0,66,1284,0.17801140448532055
30,7,2026-09-17,195581,11784,7589,66,66,0,66,1051,0.07962192487455155
60,1,2026-09-11,132078,12570,8803,66,66,0,66,591,0.2953057572873594
60,2,2026-09-12,144648,8803,5461,66,51,0,66,500,0.22700097545852582
60,3,2026-09-13,153451,5461,11550,66,46,0,51,1435,0.48292176925203734
60,4,2026-09-14,158912,11550,9875,66,66,0,46,2525,0.09080172958904598
60,5,2026-09-15,170462,9875,7458,66,66,0,66,996,0.3144065941009302
60,6,2026-09-16,180337,7458,10872,66,66,0,66,618,0.5981283586786299
60,7,2026-09-17,187795,10872,5981,66,66,0,66,478,0.5485520971486437
120,1,2026-09-11,126400,11262,7426,63,66,3,66,534,0.5360869357867131
120,2,2026-09-12,137662,7426,2507,66,51,0,66,180,0.7628199298222356
120,3,2026-09-13,145088,2507,10998,66,46,0,51,861,1.9115358619658736
120,4,2026-09-14,147595,10998,8837,66,66,0,46,1589,0.4821191582811153
120,5,2026-09-15,158593,8837,6666,66,66,0,66,588,0.7602148916592668
120,6,2026-09-16,167430,6666,9650,66,66,0,66,287,1.3611797638641043
120,7,2026-09-17,174096,9650,3907,66,66,0,66,101,1.2456084022928868
180,1,2026-09-11,121384,9954,6085,62,66,4,66,169,0.8765662687282862
180,2,2026-09-12,131338,6085,841,63,51,0,66,60,0.9719253477840084
180,3,2026-09-13,137423,841,10026,63,46,0,51,783,4.160844200739874
180,4,2026-09-14,138264,10026,7889,63,66,3,46,614,0.7340922765909639
180,5,2026-09-15,148290,7889,5874,63,66,3,66,252,1.720304580307797
180,6,2026-09-16,156179,5874,8858,63,66,3,66,167,1.6355235384380755
180,7,2026-09-17,162053,8858,2110,63,46,0,66,50,1.7320532508824016
240,1,2026-09-11,116387,8646,4858,49,57,14,66,0,1.253682937958505
240,2,2026-09-12,125033,4858,172,51,43,0,57,4,1.904253869848457
240,3,2026-09-13,129891,172,8970,51,46,0,43,857,5.439334426944265
240,4,2026-09-14,130063,8970,7394,51,57,13,46,554,1.2634657698980902
240,5,2026-09-15,139033,7394,5082,51,66,15,57,682,1.6046270232820916
240,6,2026-09-16,146427,5082,8066,55,66,11,66,0,2.1207559300994285
240,7,2026-09-17,151509,8066,1978,62,43,0,66,46,1.7651080709848799
360,1,2026-09-11,106595,6030,3698,45,43,0,66,0,1.9796423896608033
360,2,2026-09-12,112625,3698,0,46,0,0,43,0,
360,3,2026-09-13,116323,0,6858,46,46,0,0,6858,0.0
360,4,2026-09-14,116323,6858,7353,46,43,0,46,342,2.9558193643935837
360,5,2026-09-15,123181,7353,3512,46,62,16,43,560,1.9563258258470029
360,6,2026-09-16,130534,3512,6482,46,66,20,62,60,3.3806736154957573
360,7,2026-09-17,134046,6482,1978,46,43,0,66,0,2.433505036480952
720,1,2026-09-11,84784,559,2795,43,43,0,43,0,3.4913045592412573
720,2,2026-09-12,85343,2795,0,43,0,0,43,0,
720,3,2026-09-13,88138,0,1408,43,43,0,0,1408,0.0
720,4,2026-09-14,88138,1408,7353,43,43,0,43,342,4.768682906450614
720,5,2026-09-15,89546,7353,0,43,0,0,43,0,
720,6,2026-09-16,96899,0,2537,43,43,0,0,2537,0.0
720,7,2026-09-17,96899,2537,1978,43,43,0,43,0,4.426001091057714
1440,1,2026-09-11,64600,0,0,43,0,0,0,0,
1440,2,2026-09-12,64600,0,0,43,0,0,0,0,
1440,3,2026-09-13,64600,0,0,43,0,0,0,0,
1440,4,2026-09-14,64600,0,2569,43,43,0,0,2569,0.0
1440,5,2026-09-15,64600,2569,0,43,0,0,43,0,
1440,6,2026-09-16,67169,0,0,43,0,0,0,0,
1440,7,2026-09-17,67169,0,0,43,0,0,0,0,
