horizon,row_set,n,n_dropped_without_local,n_lots,g0_mae,l0_mae,h0_mae,l0_better_days,l0_better_everywhere,h0_better_days,h0_better_everywhere,test_days,best_model
15,core,66360,0,66,2.1740951665807144,2.141202090355617,2.1781865929117954,5,False,1,False,7,l0
15,all,33794,0,66,2.6776774614421206,2.6000572661259267,2.681501338649645,4,True,0,False,4,l0
30,core,62705,0,66,3.116012614757583,3.062478436144423,3.1532070906758216,4,False,1,False,7,l0
30,all,31864,0,66,3.7730020327148353,3.6092764169531835,3.832772071869726,4,True,0,False,4,l0
60,core,56551,0,66,4.324214450158777,4.231267377750942,4.429743288231794,6,False,1,False,7,l0
60,all,28531,0,66,5.115134712231126,4.8541484063379245,5.236463836612047,4,True,0,False,4,l0
120,core,47105,57,66,5.617755071394988,5.399613608155996,6.068194560196403,6,False,1,False,7,l0
120,all,24027,0,66,6.398299443625391,6.122691902030693,6.740299679854094,4,True,0,False,4,l0
180,core,39134,269,63,6.11579727934445,6.045507960656052,7.338142166808881,5,False,1,False,7,l0
180,all,19967,223,63,7.020626309731183,6.870195355493808,7.610509174658105,4,True,0,False,4,l0
240,core,33644,1086,55,6.3844376423094005,6.1133996750544375,8.211445197610274,6,False,2,False,7,l0
240,all,17287,1011,55,7.109459583403976,6.675842758310056,7.59808229616588,4,True,0,False,4,l0
360,core,27245,929,46,7.033305011749631,6.651360723494095,7.349446696966597,5,False,1,False,6,l0
360,all,14301,909,46,7.6298411912541315,7.215412335514322,8.424084076868303,3,False,0,False,4,l0
720,core,15773,0,43,8.538003613215341,6.98918746009121,8.275358385259782,5,True,2,False,5,l0
720,all,8981,0,43,9.877884521982677,7.647105289637053,10.751058017476964,3,True,0,False,3,l0
1440,core,2569,0,43,10.782362719103816,9.781576001935502,10.782362719103816,1,True,0,False,1,l0
1440,all,2569,0,43,10.782362719103816,9.781576001935502,10.782362719103816,1,True,0,False,1,l0
