horizon,axis,cutoff,queries,change_rate,top1_change_rate,a_fail_rate,b_fail_rate,rescued,harmed,net_rescued,both_failed,rescued_persistence,gain_over_persistence,c_extra_walk_median,extra_walk_median,extra_fare_median,avg_candidates,avg_dropped
15,fare,0.4,742,0.2938,0.2035,0.2008,0.0054,145,0,145,4,144,1,2.0,2.0,0.0,5.19,4.1
15,fare,0.5,742,0.2857,0.1995,0.2008,0.0067,144,0,144,5,144,0,2.0,1.0,0.0,5.19,4.1
15,fare,0.6,742,0.2763,0.1927,0.2008,0.0108,141,0,141,8,144,-3,2.0,1.0,0.0,5.19,4.1
15,walk,0.4,742,0.314,0.2358,0.2143,0.0054,155,0,155,4,154,1,1.0,1.0,0.0,5.19,4.1
15,walk,0.5,742,0.3059,0.2291,0.2143,0.0067,154,0,154,5,154,0,1.0,1.0,0.0,5.19,4.1
15,walk,0.6,742,0.2965,0.2197,0.2143,0.0108,151,0,151,8,154,-3,1.0,1.0,0.0,5.19,4.1
30,fare,0.4,754,0.2971,0.2056,0.1963,0.0053,144,0,144,4,140,4,1.5,2.0,0.0,5.2,4.08
30,fare,0.5,754,0.2918,0.2056,0.1963,0.0053,144,0,144,4,140,4,1.5,2.0,0.0,5.2,4.08
30,fare,0.6,754,0.2838,0.2003,0.1963,0.008,142,0,142,6,140,2,1.5,1.0,0.0,5.2,4.08
30,walk,0.4,754,0.317,0.2427,0.2149,0.0053,158,0,158,4,154,4,1.0,1.0,0.0,5.2,4.08
30,walk,0.5,754,0.3117,0.2374,0.2149,0.0053,158,0,158,4,154,4,1.0,1.0,0.0,5.2,4.08
30,walk,0.6,754,0.3037,0.2294,0.2149,0.008,156,0,156,6,154,2,1.0,1.0,0.0,5.2,4.08
60,fare,0.4,714,0.2871,0.1989,0.1821,0.007,125,0,125,5,113,12,2.0,2.0,0.0,5.12,4.25
60,fare,0.5,714,0.2731,0.1905,0.1821,0.0098,123,0,123,7,113,10,2.0,2.0,0.0,5.12,4.25
60,fare,0.6,714,0.2647,0.1793,0.1821,0.0154,119,0,119,11,113,6,2.0,2.0,0.0,5.12,4.25
60,walk,0.4,714,0.2997,0.2325,0.2017,0.0098,137,0,137,7,125,12,1.0,1.0,0.0,5.12,4.25
60,walk,0.5,714,0.2829,0.2185,0.2017,0.0126,135,0,135,9,125,10,1.0,1.0,0.0,5.12,4.25
60,walk,0.6,714,0.2745,0.2073,0.2017,0.0182,131,0,131,13,125,6,1.0,1.0,0.0,5.12,4.25
120,fare,0.4,665,0.2857,0.206,0.1955,0.0226,115,0,115,15,96,19,1.0,1.0,0.0,5.14,4.2
120,fare,0.5,665,0.2692,0.191,0.1955,0.0301,110,0,110,20,96,14,1.0,1.0,0.0,5.14,4.2
120,fare,0.6,665,0.2541,0.1805,0.1955,0.0391,104,0,104,26,96,8,1.0,1.0,0.0,5.14,4.2
120,walk,0.4,665,0.3068,0.2361,0.2135,0.0226,127,0,127,15,108,19,1.0,1.0,0.0,5.14,4.2
120,walk,0.5,665,0.2902,0.218,0.2135,0.0301,122,0,122,20,108,14,1.0,1.0,0.0,5.14,4.2
120,walk,0.6,665,0.2737,0.2075,0.2135,0.0391,116,0,116,26,108,8,1.0,1.0,0.0,5.14,4.2
240,fare,0.4,579,0.2435,0.1831,0.1727,0.0345,80,0,80,20,46,34,1.0,1.0,0.0,5.07,4.36
240,fare,0.5,579,0.2159,0.1641,0.1727,0.0466,73,0,73,27,46,27,1.0,1.0,0.0,5.07,4.36
240,fare,0.6,579,0.1969,0.1451,0.1727,0.0587,66,0,66,34,46,20,1.0,1.0,0.0,5.07,4.36
240,walk,0.4,579,0.266,0.2107,0.1865,0.0345,88,0,88,20,54,34,1.0,1.0,0.0,5.07,4.36
240,walk,0.5,579,0.2383,0.1883,0.1865,0.0466,81,0,81,27,54,27,1.0,1.0,0.0,5.07,4.36
240,walk,0.6,579,0.2176,0.1693,0.1865,0.0587,74,0,74,34,54,20,1.0,1.0,0.0,5.07,4.36
360,fare,0.4,501,0.1896,0.1637,0.1657,0.0399,63,0,63,20,17,46,1.0,1.0,0.0,4.94,4.55
360,fare,0.5,501,0.1637,0.1377,0.1657,0.0579,54,0,54,29,17,37,1.0,1.0,0.0,4.94,4.55
360,fare,0.6,501,0.1397,0.1218,0.1657,0.0679,49,0,49,34,17,32,1.0,1.0,0.0,4.94,4.55
360,walk,0.4,501,0.2275,0.1876,0.1737,0.0399,67,0,67,20,21,46,1.0,1.0,0.0,4.94,4.55
360,walk,0.5,501,0.2016,0.1617,0.1737,0.0579,58,0,58,29,21,37,1.0,1.0,0.0,4.94,4.55
360,walk,0.6,501,0.1717,0.1417,0.1737,0.0679,53,0,53,34,21,32,1.0,1.0,0.0,4.94,4.55
