horizon,day_group,gate,n,lots,ml_mae,persistence_mae,improvement_pct,beats_persistence,mae_target_ok,status
15,평일,허용,59896,67,2.3869430468611177,2.470655902336742,3.39,True,True,ok
15,평일,차단,15546,25,1.8668971570806219,1.8966403520341837,1.57,True,True,ok
15,주말,허용,23893,50,1.8474605619560918,1.8937856364408114,2.45,True,True,ok
15,주말,차단,13828,48,0.18005113033460368,0.1829092568776532,1.56,True,True,ok
30,평일,허용,59008,67,3.4597604777509416,3.8817282221170584,10.87,True,True,ok
30,평일,차단,15630,25,3.452478013050153,3.80774186785619,9.33,True,True,ok
30,주말,허용,23490,50,2.9735776628840505,3.0962857179559333,3.96,True,True,ok
30,주말,차단,13829,48,0.45140624517325717,0.4095401138307583,-10.22,False,True,ok
60,평일,허용,57232,67,4.909641883434491,6.2423609140198755,21.35,True,True,ok
60,평일,차단,15798,25,5.754919045916672,7.5619914112718805,23.9,True,True,ok
60,주말,허용,22689,50,4.962420019226087,5.247586410935972,5.43,True,True,ok
60,주말,차단,13826,48,0.9730864117502505,0.933500949978162,-4.24,False,True,ok
120,평일,허용,54256,67,6.870717765386292,10.472902202591529,34.4,True,True,ok
120,평일,차단,15558,25,9.283089961725429,14.53855526883719,36.15,True,True,ok
120,주말,허용,21383,50,8.476141563855442,8.821208905431305,3.91,True,True,ok
120,주말,차단,13524,48,2.3155718823338254,2.2607027718821016,-2.43,False,True,ok
