horizon,n,trained_on,persistence_mae,continuous_mae,status,snapped_to,grid_mae,continuous_better,vs_grid_pct,beats_persistence
5,23140,False,0.8898518704208813,1.2187056737640733,ok,15,0.9198593423506356,False,-32.49,False
10,23051,False,1.492956936721583,1.600451130825713,ok,15,1.4498050447199877,False,-10.39,False
15,22962,True,1.9880734740900654,1.9425470020711124,ok,15,1.908557796973775,False,-1.78,True
20,22873,False,2.443323583450148,2.276244653964674,ok,15,2.340076278314,True,2.73,True
25,22784,False,2.866325161950438,2.594476433834057,ok,30,2.5952594891941523,True,0.03,True
30,22784,True,3.254892141089123,2.8820329334877073,ok,30,2.90800358386697,True,0.89,True
35,22606,False,3.6667286176038547,3.2239551498656334,ok,30,3.268223144386765,True,1.35,True
40,22606,False,4.045744261769001,3.5440390915220723,ok,30,3.6124129953010873,True,1.89,True
45,22606,False,4.402823991353959,3.847958105669383,ok,30,3.941417923050444,True,2.37,True
50,22517,False,4.77563010697877,3.943696041941011,ok,60,3.8432732793659548,False,-2.61,True
55,22428,False,5.144048532690145,4.190976289787049,ok,60,4.063467640652836,False,-3.14,True
60,22339,True,5.482270910023023,4.435277675304891,ok,60,4.292762262074932,False,-3.32,True
65,22161,False,5.852689906920939,4.732313256755505,ok,60,4.580112703688263,False,-3.32,True
70,22072,False,6.192936162482949,5.0116118790672255,ok,60,4.862872019148998,False,-3.06,True
75,21983,False,6.525987013646302,5.284735182331732,ok,60,5.142543756145636,False,-2.77,True
80,21983,False,6.853166574866877,5.5560292720785185,ok,60,5.420038417135726,False,-2.51,True
85,21805,False,7.207462278631732,5.862717450419669,ok,60,5.735484170496653,False,-2.22,True
90,21716,False,7.534105470713192,6.141414289796752,ok,60,6.02689543576389,False,-1.9,True
95,21627,False,7.848260113506209,6.221955665758416,ok,120,5.399654606949592,False,-15.23,True
100,21627,False,8.142760956126839,6.455506223148533,ok,120,5.486364594089747,False,-17.66,True
105,21449,False,8.505276434117041,6.745009715064298,ok,120,5.633040420386673,False,-19.74,True
110,21449,False,8.806070913480356,6.994017425688435,ok,120,5.741763409800651,False,-21.81,True
115,21271,False,9.138688280133875,7.276385093618945,ok,120,5.893194068310628,False,-23.47,True
120,21182,True,9.451774008482344,7.530530699178197,ok,120,6.035048156136,False,-24.78,True
