parking_id,observations,occ_range,frozen,over_capacity,step_changes,last_seen
172,229,0.7194,False,140,0,2026-09-19T16:08:15+09:00
48,229,1.0417,False,135,0,2026-09-19T16:08:15+09:00
168,229,1.0,False,48,2,2026-09-19T16:08:15+09:00
171,229,0.4667,False,47,0,2026-09-19T16:08:15+09:00
262,229,1.0,False,29,0,2026-09-19T16:08:15+09:00
53,229,0.871,False,16,0,2026-09-19T16:08:15+09:00
161,229,0.9412,False,15,0,2026-09-19T16:08:15+09:00
52,229,0.7818,False,1,0,2026-09-19T16:08:15+09:00
56,229,1.0,False,0,2,2026-09-19T16:08:15+09:00
7,229,1.0,False,0,1,2026-09-19T16:08:15+09:00
14,229,1.0,False,0,1,2026-09-19T16:08:15+09:00
25,229,0.7034,False,0,1,2026-09-19T16:08:15+09:00
165,229,1.0,False,0,1,2026-09-19T16:08:15+09:00
261,229,1.0,False,0,1,2026-09-19T16:08:15+09:00
3,229,0.0,True,0,0,2026-09-19T16:08:15+09:00
6,229,0.0,True,0,0,2026-09-19T16:08:15+09:00
8,229,0.8322,False,0,0,2026-09-19T16:08:15+09:00
9,229,0.6131,False,0,0,2026-09-19T16:08:15+09:00
10,229,0.511,False,0,0,2026-09-19T16:08:15+09:00
11,229,0.8384,False,0,0,2026-09-19T16:08:15+09:00
12,229,0.1364,False,0,0,2026-09-19T16:08:15+09:00
13,229,0.1304,False,0,0,2026-09-19T16:08:15+09:00
15,229,0.0,True,0,0,2026-09-19T16:08:15+09:00
16,229,0.7692,False,0,0,2026-09-19T16:08:15+09:00
17,229,0.1651,False,0,0,2026-09-19T16:08:15+09:00
18,229,0.2857,False,0,0,2026-09-19T16:08:15+09:00
19,229,0.0,True,0,0,2026-09-19T16:08:15+09:00
20,229,0.6824,False,0,0,2026-09-19T16:08:15+09:00
21,229,0.5132,False,0,0,2026-09-19T16:08:15+09:00
22,229,0.8929,False,0,0,2026-09-19T16:08:15+09:00
23,229,0.5714,False,0,0,2026-09-19T16:08:15+09:00
24,229,0.5521,False,0,0,2026-09-19T16:08:15+09:00
26,229,0.9091,False,0,0,2026-09-19T16:08:15+09:00
27,229,0.6158,False,0,0,2026-09-19T16:08:15+09:00
28,229,0.3587,False,0,0,2026-09-19T16:08:15+09:00
29,229,0.537,False,0,0,2026-09-19T16:08:15+09:00
30,229,0.8421,False,0,0,2026-09-19T16:08:15+09:00
31,229,0.7941,False,0,0,2026-09-19T16:08:15+09:00
33,229,0.4754,False,0,0,2026-09-19T16:08:15+09:00
34,229,0.5031,False,0,0,2026-09-19T16:08:15+09:00
35,229,0.0,True,0,0,2026-09-19T16:08:15+09:00
