prk_center_id,name,cells,la,lo
01376-29391-00059-00-1,베아누체6차,41,37.3795519731,126.9362066954
01434-29391-00002-00-1,,1625,37.3965118096,126.9489448234
01803-29391-00056-00-1,,159,37.3974821789,126.8996410977
02781-29391-00273-00-1,휴누림,65,,
03449-29391-00050-00-1,미목연,47,,
03457-29391-00115-00-1,,11,37.4082323899,126.9491763281
03747-29391-00131-00-1,한일코지세상,60,,
04149-29392-00029-00-1,메르시,46,,
04637-29391-00010-00-1,비산그랜드지오,10,,
04779-29391-00092-00-1,이룸렉스힐,26,,
05008-29391-00080-00-1,,12,37.3918241333,126.9753457964
05023-29391-00140-00-1,미성,6,,
05511-29391-00011-00-1,망해암,4,37.4116405479,126.9261941275
05573-29391-00096-00-1,세방 R&D 센터,47,37.4005090305,126.9711280329
06971-29391-00086-00-1,청명 메가탑,12,,
07374-29391-00155-00-1,미담채,12,,
07429-29391-00051-00-1,링크 오,21,,
07595-29391-00047-00-1,JL HOUSE,8,,
07685-29391-00058-00-1,서연그룹 R&D 센터,262,37.4012101417,126.9648979389
07936-29391-00049-00-1,부광모터스,22,37.4041520329,126.8900679895
07937-29391-00050-00-1,parkⅢ,6,,
08795-29391-00195-00-1,가야에이스 10차,8,,
10003-29391-00139-00-1,,29,37.4068020246,126.9179219448
10010-29391-00324-00-1,동영벤처스텔,105,37.3878034527,126.9394518256
10015-29391-00161-00-1,아트리움,7,,
10017-29391-00145-00-1,현대원룸,6,,
10910-29391-00273-00-1,에스엘 평촌 R&D 센터,105,37.3984390283,126.9663719276
10910-29391-00286-00-1,라움,11,,
10911-29391-00157-00-1,비산 이-편한세상,623,37.3999111287,126.942541133
10938-29391-00073-00-1,석수두산위브,986,37.43260887,126.901275482
10948-29391-00249-00-1,이룸오션하임,8,,
10955-29391-00449-00-1,,61,,
11112-29391-00061-00-1,,27,37.4067850376,126.8883834568
11140-29391-00191-00-1,만안종합사회복지관,31,37.402794938,126.9137745184
11160-29391-00304-00-1,일번가 이지움,63,37.3980847881,126.9249109143
11161-29391-00272-00-1,까사리움,8,,
11190-29391-00265-00-1,골드클래스,8,,
11344-29391-00007-00-1,유앤미,16,37.4033470503,126.9147226167
11427-29391-00101-00-1,,14,,
11476-29391-00080-00-1,렉서스안양서비스센터,48,,
11521-29391-00209-00-1,힐데스하임,36,,
11601-29391-00016-00-1,갤럭시 뷰,35,37.3887516278,126.9333080907
11601-29391-00026-00-1,신호안차랑4차,8,37.3882608448,126.9322064111
11606-29391-00077-00-1,,15,37.3910175066,126.9536372245
11615-29392-00005-00-1,안양 숙박시설 신축공사,19,37.389288507,126.933077252
11619-29391-00007-00-1,,15,37.3871441167,126.9331559436
11619-29391-00015-00-1,,12,37.3866397476,126.9335177325
11619-29392-00020-00-1,,29,37.3857454447,126.9326558303
11621-29391-00001-00-1,,90,37.3872336064,126.9320808657
11621-29391-00005-00-1,,22,37.3831343749,126.9609001821
11621-29391-00008-00-1,귀인동,2,37.3815704547,126.9616868583
11657-29391-00007-00-1,대우공업,9,37.3878161294,126.9432098225
11657-29391-00010-00-1,일신목형,5,37.3878946719,126.9416740376
11660-29391-00003-00-1,안양소방서귀인파출소,2,37.3818983702,126.9615105487
11675-29391-00012-00-1,C동,161,37.3905908549,126.9423314311
11675-29391-00013-00-1,,12,37.3902879523,126.9420064403
11675-29391-00029-00-1,부광모터스,4,37.3900185972,126.9439805626
11675-29391-00031-00-1,,30,37.3900584064,126.9443283397
11675-29391-00033-00-1,,12,37.3891571596,126.94385473
11675-29391-00035-00-1,,20,37.3891029002,126.9434392145
11675-29391-00036-00-1,,12,37.3888505879,126.9433852012
11675-29391-00038-00-1,,17,37.3888363612,126.9437826988
11676-29391-00003-00-1,실내게이트볼장,343,37.3786146556,126.9507634713
11676-29391-00005-00-1,박은섭씨건물,4,37.3791701549,126.9519012201
11676-29391-00008-00-1,안양시새마을회관,11,37.3781183338,126.9533380606
11676-29391-00009-00-1,호계동 새마을회관 주차장,25,37.3780352803,126.9529361659
11676-29391-00013-00-1,LSIS R&D Campus,180,37.3732768681,126.9504869706
11676-29391-00032-00-1,,21,37.3845210292,126.9412475703
11677-29391-00009-00-1,세한,24,37.3920990544,126.9319499976
11677-29391-00021-00-1,동보전자,51,37.3882963924,126.9451562288
11677-29391-00027-00-1,,91,37.3893208552,126.947133896
11678-29391-00009-00-1,호계동 여관,6,37.3678829612,126.9540443244
11680-29391-00002-00-1,안양아트센터,141,37.3849373277,126.931265421
11681-29391-00001-00-1,아임Vill,11,37.3846838857,126.9293054274
11681-29391-00002-00-1,,90,37.3853198572,126.9321232421
11681-29391-00006-00-1,명품하이츠,14,37.3841586438,126.930922869
11683-29391-00003-00-1,이룸렉스힐,26,37.3683584591,126.953420872
11683-29391-00013-00-1,호계아크로리버,403,37.3666761625,126.9555532602
11685-29391-00004-00-1,안양동 505-2 업무시설 (상공회의소박찬호),43,37.3862888674,126.9312732207
11685-29391-00005-00-1,,18,37.3857556269,126.9315582603
11685-29391-00007-00-1,수경,4,37.389752119,126.9307912625
11687-29392-00017-00-1,,1011,37.3874657882,126.9285439907
11708-29391-00004-00-1,DY town,79,37.3681934412,126.955421411
11720-29391-00005-00-1,벨라,8,37.4020778905,126.9091808487
11725-29391-00004-00-1,,28,37.4020964959,126.9053317531
11730-29391-00042-00-1,재단법인한국에스지아이안양교육원,26,37.3992680847,126.9328244328
11740-29391-00020-00-1,대한불교조계종 비웅사,13,37.3992484042,126.9434270731
11740-29391-00021-00-1,반야선원,3,37.3995152788,126.9437882755
11749-29391-00013-00-1,,17,37.3943828294,126.9743692367
11749-29391-00015-00-1,두산벤처다임,700,37.3912902087,126.9729700059
11753-29391-00008-00-1,1,6,37.3912735482,126.9256810887
11754-29391-00006-00-1,,23,37.3888172654,126.9707169627
11754-29391-00007-00-1,,13,37.3888678754,126.9713402751
11754-29391-00008-00-1,평촌 꿈 주유소,2,37.3885251608,126.9700259939
11754-29391-00013-00-1,,12,37.3857694628,126.9624254628
11755-29391-00003-00-1,씨티프라임,35,37.3930497035,126.9305217191
11755-29391-00008-00-1,,17,37.3923754942,126.9301067674
11755-29391-00010-00-1,효은가,4,37.3877033651,126.9280604646
11757-29391-00005-00-1,,35,37.3845525406,126.9266813833
11759-29391-00010-00-1,안양등기소,11,37.392708179,126.9260049057
11759-29391-00013-00-1,'93-189호,1,37.3906098277,126.9766922612
11759-29392-00005-00-1,전화국,87,37.3933637139,126.9253537891
11759-29392-00012-00-1,안양동 456-2 의료시설 (의료법인효산의료재단),98,37.3924488089,126.9262039136
11760-29391-00004-00-1,,54,37.4006444654,126.9654583858
11760-29391-00006-00-1,디라직 본사,58,37.3994555156,126.9668503321
11760-29391-00007-00-1,,40,37.3991816456,126.9669950133
11762-29391-00006-00-1,개성하이뷰,28,37.391316436,126.9310337449
11764-29391-00015-00-1,안양세차장,1,37.3920751113,126.9280337016
