priority,reason,detail,parking_id,name,day_group,access_status,checked_at,effective_to,evidence_method,evidence_ref
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,3,예술공원고가밑,saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,3,예술공원고가밑,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,3,예술공원고가밑,weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,6,명학역노상,saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,6,명학역노상,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,6,명학역노상,weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,10,인덕원환승,saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,10,인덕원환승,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,10,인덕원환승,weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,15,석수대형화물,saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,15,석수대형화물,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,15,석수대형화물,weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,16,평촌지하,saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,16,평촌지하,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,16,평촌지하,weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,19,냉천놀이터지하,saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,19,냉천놀이터지하,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,19,냉천놀이터지하,weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,35,공업부지노외,saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,35,공업부지노외,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,35,공업부지노외,weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,41,안양6동2노외,saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,41,안양6동2노외,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,41,안양6동2노외,weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,45,평촌역노상,saturday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,45,평촌역노상,sunday_holiday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,45,평촌역노상,weekday,unknown,2026-09-15,,,
3,unknown,확정된 적이 없음 — 추천에 미확인 경고가 붙는다,46,범계역노상,saturday,unknown,2026-09-15,,,
