parking_id,name,div,grade,cell_cnt,level,cluster
7,안양2동노외,노외,1,40,0.4590932117527862,1
8,안양4동노외,노외,2,149,0.45736861073145524,1
9,예술공원노외,노외,2,168,0.8253968253968254,0
10,인덕원환승,노외,2,182,0.6004097219902691,1
11,일번가노외,노외,1,99,0.49359859998157873,1
12,관악역1환승,노외,3,44,0.5503361886340611,0
13,관악역2환승,노외,3,46,0.1627020836086516,1
14,호계3동노외,노외,2,43,0.5561603166749134,1
16,평촌지하,노외,3,793,0.46383438675032673,1
17,화창초교지하,노외,4,109,0.37738304378944626,0
18,개나리놀이터지하,노외,4,56,0.24010348820379215,0
20,병목안시민공원노외,노외,3,170,0.8978485011025686,0
21,해동놀이터지하,노외,4,76,0.3552364954940543,0
22,박달시장1노상노외,노상,2,28,0.6400709219858156,1
23,덕천노상,노상,2,42,0.8150238818931829,1
24,관악역3환승,노외,3,96,0.6011482607227289,1
25,관악역4환승,노외,3,118,0.300353751309395,1
26,수목원입구노외,노외,2,44,0.8387906419821314,0
27,인덕원동노외,노외,3,203,0.2997090252094968,1
28,삼덕노외,노외,2,92,0.2949319413241707,0
29,남부노외,노외,1,54,0.3390183496566475,1
30,샘모루초교지하,노외,3,57,0.41909738886222647,1
31,스마트스퀘어지하,노외,2,170,0.4670957744800047,1
33,박달시장2노외,노외,2,61,0.1812247745278788,0
34,동편마을지하,노외,3,163,0.380386745482686,1
36,충훈동지하,노외,3,94,0.2858328483045549,0
37,관양동노외,노외,3,238,0.2578137638033937,0
38,삼덕공원지하,노외,2,194,0.44284460878012094,1
39,안양7동노외,노외,2,133,0.30153651606219195,1
40,안양6동1노외,노외,2,30,0.3386355960824046,0
42,느루소공원지하,노외,4,44,0.5064474532559639,1
48,안양역2노상,노상,1,24,0.7211668355285377,1
52,남부노상,노상,1,55,0.7906788247213778,1
53,안양역1노상,노상,1,62,0.6660947151681537,1
56,학원가노상,노상,2,15,0.61080715974333,1
81,"비호교1,2노외",노외,2,42,0.4111304096106528,1
82,명학동노외,노외,4,134,0.27884891651166654,0
108,석수역좌우측노상,노상,3,119,0.7941474462125276,1
112,원스퀘어임시,노외,1,75,0.5816413373860183,1
121,호현마을1노외,노외,5,64,0.5510385005065856,1
122,호현마을2노외,노외,5,62,0.6450142170801059,1
161,관악노상1-2,노상,1,17,0.721735502711723,1
162,관악노상1-3,노상,1,12,0.6379601485984464,1
163,관악노상1-4,노상,1,9,0.576269278396938,1
164,관악노상1-5,노상,1,19,0.7159387831280328,1
165,관악노상2-1,노상,1,5,0.649645390070922,1
166,관악노상2-2,노상,1,30,0.7001688618709896,1
167,관악노상2-3,노상,1,11,0.6717325227963525,1
168,관악노상2-4,노상,1,9,0.6281661600810537,1
169,관악노상2-5,노상,1,11,0.7190752509901446,1
170,관악노상2-6,노상,1,11,0.7880630008289582,1
171,관악노상2-7,노상,1,15,0.9088145896656535,0
172,인덕원동복개노상123,노상,2,139,0.6033835545545326,1
181,덕현공원지하,노외,2,125,0.49443566362715297,1
182,호계시장1노외,노외,2,14,0.20104211897524965,1
183,호계시장2노외,노외,2,20,0.44513677811550156,1
201,비산소공원지하,노외,3,46,0.5901281881855426,1
241,먹거리촌노상1,노상,2,18,0.6161206799504672,1
261,먹거리촌노상2,노상,2,12,0.6366936845660249,1
262,먹거리촌노상3,노상,2,23,0.582705607682481,1
301,친목마을노외,노외,5,48,0.6207995609591354,1
401,호원어린이공원노외,노외,3,31,0.6036866359447005,0
421,박달고가밑노상(노외),노외,2,56,0.48382544507164565,0
441,율목복지관옆공영,노외,4,35,0.11911998842090027,0
461,안양6동3노외,노외,2,20,0.36367781155015194,0
521,안양6동4노외,노외,3,95,0.4199008158694609,0
522,안양6동5노외(일반),노외,3,173,0.5673407476383739,0
