fold,dest,horizon,hour,state,axis,n_lots,changed,top1_changed
1,안양시청,15,0,운영 외,fare,26,0,0
1,안양시청,15,0,운영 외,walk,26,0,0
1,안양시청,15,2,운영 외,fare,26,0,0
1,안양시청,15,2,운영 외,walk,26,0,0
1,안양시청,15,4,운영 외,fare,26,0,0
1,안양시청,15,4,운영 외,walk,26,0,0
1,안양시청,15,6,운영 외,fare,26,0,0
1,안양시청,15,6,운영 외,walk,26,0,0
1,안양시청,15,8,운영 외,fare,26,0,0
1,안양시청,15,8,운영 외,walk,26,0,0
1,안양시청,15,10,운영 중,fare,26,0,0
1,안양시청,15,10,운영 중,walk,26,0,0
1,안양시청,15,12,운영 중,fare,26,0,0
1,안양시청,15,12,운영 중,walk,26,0,0
1,안양시청,15,14,운영 중,fare,26,0,0
1,안양시청,15,14,운영 중,walk,26,0,0
1,안양시청,15,16,운영 중,fare,26,0,0
1,안양시청,15,16,운영 중,walk,26,0,0
1,안양시청,15,18,운영 중,fare,26,0,0
1,안양시청,15,18,운영 중,walk,26,0,0
1,안양시청,15,20,운영 외,fare,26,0,0
1,안양시청,15,20,운영 외,walk,26,0,0
1,안양시청,15,22,운영 외,fare,26,0,0
1,안양시청,15,22,운영 외,walk,26,0,0
1,안양시청,30,0,운영 외,fare,26,1,0
1,안양시청,30,0,운영 외,walk,26,1,0
1,안양시청,30,2,운영 외,fare,26,1,0
1,안양시청,30,2,운영 외,walk,26,1,0
1,안양시청,30,4,운영 외,fare,26,1,0
1,안양시청,30,4,운영 외,walk,26,1,0
1,안양시청,30,6,운영 외,fare,26,0,0
1,안양시청,30,6,운영 외,walk,26,0,0
1,안양시청,30,8,운영 외,fare,26,0,0
1,안양시청,30,8,운영 외,walk,26,0,0
1,안양시청,30,10,운영 중,fare,26,0,0
1,안양시청,30,10,운영 중,walk,26,0,0
1,안양시청,30,12,운영 중,fare,26,0,0
1,안양시청,30,12,운영 중,walk,26,0,0
1,안양시청,30,14,운영 중,fare,26,0,0
1,안양시청,30,14,운영 중,walk,26,0,0
1,안양시청,30,16,운영 중,fare,26,0,0
1,안양시청,30,16,운영 중,walk,26,0,0
1,안양시청,30,18,운영 중,fare,26,0,0
1,안양시청,30,18,운영 중,walk,26,0,0
1,안양시청,30,20,운영 외,fare,26,0,0
1,안양시청,30,20,운영 외,walk,26,0,0
1,안양시청,30,22,운영 외,fare,26,0,0
1,안양시청,30,22,운영 외,walk,26,0,0
1,안양시청,60,0,운영 외,fare,26,1,0
1,안양시청,60,0,운영 외,walk,26,1,0
1,안양시청,60,2,운영 외,fare,26,1,0
1,안양시청,60,2,운영 외,walk,26,1,0
1,안양시청,60,4,운영 외,fare,26,1,0
1,안양시청,60,4,운영 외,walk,26,1,0
1,안양시청,60,6,운영 외,fare,26,0,0
1,안양시청,60,6,운영 외,walk,26,0,0
1,안양시청,60,8,운영 외,fare,26,0,0
1,안양시청,60,8,운영 외,walk,26,0,0
1,안양시청,60,10,운영 중,fare,26,1,0
1,안양시청,60,10,운영 중,walk,26,1,0
1,안양시청,60,12,운영 중,fare,26,0,0
1,안양시청,60,12,운영 중,walk,26,0,0
1,안양시청,60,14,운영 중,fare,26,0,0
1,안양시청,60,14,운영 중,walk,26,0,0
1,안양시청,60,16,운영 중,fare,26,0,0
1,안양시청,60,16,운영 중,walk,26,0,0
1,안양시청,60,18,운영 중,fare,26,0,0
1,안양시청,60,18,운영 중,walk,26,0,0
1,안양시청,60,20,운영 외,fare,26,0,0
1,안양시청,60,20,운영 외,walk,26,0,0
1,안양시청,60,22,운영 외,fare,26,0,0
1,안양시청,60,22,운영 외,walk,26,0,0
1,안양시청,120,0,운영 외,fare,26,1,0
1,안양시청,120,0,운영 외,walk,26,1,0
1,안양시청,120,2,운영 외,fare,26,1,0
1,안양시청,120,2,운영 외,walk,26,1,0
1,안양시청,120,4,운영 외,fare,26,1,0
1,안양시청,120,4,운영 외,walk,26,1,0
1,안양시청,120,6,운영 외,fare,26,1,0
1,안양시청,120,6,운영 외,walk,26,1,0
1,안양시청,120,8,운영 외,fare,26,0,0
1,안양시청,120,8,운영 외,walk,26,0,0
1,안양시청,120,10,운영 중,fare,26,1,0
1,안양시청,120,10,운영 중,walk,26,1,0
1,안양시청,120,12,운영 중,fare,26,0,0
1,안양시청,120,12,운영 중,walk,26,0,0
1,안양시청,120,14,운영 중,fare,26,0,0
1,안양시청,120,14,운영 중,walk,26,0,0
1,안양시청,120,16,운영 중,fare,26,0,0
1,안양시청,120,16,운영 중,walk,26,0,0
1,안양시청,120,18,운영 중,fare,26,0,0
1,안양시청,120,18,운영 중,walk,26,0,0
1,안양시청,120,20,운영 외,fare,26,0,0
1,안양시청,120,20,운영 외,walk,26,0,0
1,석수역,15,0,운영 외,fare,5,0,0
1,석수역,15,0,운영 외,walk,5,0,0
1,석수역,15,2,운영 외,fare,5,0,0
1,석수역,15,2,운영 외,walk,5,0,0
1,석수역,15,4,운영 외,fare,5,0,0
1,석수역,15,4,운영 외,walk,5,0,0
1,석수역,15,6,운영 외,fare,5,0,0
1,석수역,15,6,운영 외,walk,5,0,0
1,석수역,15,8,운영 외,fare,5,0,0
1,석수역,15,8,운영 외,walk,5,0,0
1,석수역,15,10,운영 중,fare,5,0,0
1,석수역,15,10,운영 중,walk,5,0,0
1,석수역,15,12,운영 중,fare,5,0,0
1,석수역,15,12,운영 중,walk,5,0,0
1,석수역,15,14,운영 중,fare,5,0,0
1,석수역,15,14,운영 중,walk,5,0,0
1,석수역,15,16,운영 중,fare,5,0,0
1,석수역,15,16,운영 중,walk,5,0,0
1,석수역,15,18,운영 외,fare,5,0,0
1,석수역,15,18,운영 외,walk,5,0,0
1,석수역,15,20,운영 외,fare,5,0,0
1,석수역,15,20,운영 외,walk,5,0,0
1,석수역,15,22,운영 외,fare,5,0,0
1,석수역,15,22,운영 외,walk,5,0,0
1,석수역,30,0,운영 외,fare,5,0,0
1,석수역,30,0,운영 외,walk,5,0,0
1,석수역,30,2,운영 외,fare,5,0,0
1,석수역,30,2,운영 외,walk,5,0,0
1,석수역,30,4,운영 외,fare,5,0,0
1,석수역,30,4,운영 외,walk,5,0,0
