horizon,bin,n,predicted,observed
15,0,80259,0.0014474970127119123,0.002529311354489839
15,1,679,0.14327547452812722,0.101620029455081
15,2,391,0.24628930447354525,0.21739130434782608
15,3,260,0.3475987789309215,0.33076923076923076
15,4,266,0.4491410472268944,0.34210526315789475
15,5,235,0.5472714209434902,0.5106382978723404
15,6,215,0.6495702449509072,0.42790697674418604
15,7,317,0.7533135368890667,0.6025236593059937
15,8,555,0.8562045609249054,0.8594594594594595
15,9,29986,0.9951915175453262,0.9954312012272394
30,0,78878,0.0023693638685833864,0.004145642637997921
30,1,916,0.1417592923343641,0.15283842794759825
30,2,479,0.2474279679667907,0.2150313152400835
30,3,376,0.35057904729279804,0.30319148936170215
30,4,348,0.4483785950763625,0.27586206896551724
30,5,338,0.5480849619172261,0.4171597633136095
30,6,381,0.6565359142967423,0.5223097112860893
30,7,584,0.7518630818492305,0.714041095890411
30,8,844,0.8568640226760107,0.7677725118483413
30,9,28813,0.9917567252490647,0.9913927740950266
60,0,76515,0.0038464461774954484,0.005201594458602889
60,1,1156,0.1436013657942319,0.1972318339100346
60,2,726,0.24588748768687851,0.2327823691460055
60,3,468,0.3504961431577767,0.2670940170940171
60,4,520,0.4547627550042593,0.34807692307692306
60,5,567,0.5495354082932445,0.4708994708994709
60,6,616,0.6544514840709996,0.6136363636363636
60,7,664,0.7515040270051614,0.5662650602409639
60,8,1456,0.8587942175718061,0.801510989010989
60,9,26857,0.9875917708375854,0.9841382135011356
120,0,72578,0.00619015739695584,0.007467827716387886
120,1,1611,0.14048390395995566,0.1458721291123526
120,2,784,0.24410745634947695,0.23979591836734693
120,3,761,0.35131253328769396,0.3508541392904074
120,4,714,0.44916417180302587,0.41316526610644255
120,5,724,0.5487856694580107,0.5124309392265194
120,6,740,0.657739030581578,0.5405405405405406
120,7,1264,0.7536081761326489,0.6685126582278481
120,8,2687,0.8547301339546782,0.8232229251953852
120,9,22858,0.9809633995404805,0.9745384548079447
