fold,horizon,segment,n,n_interval,inside,coverage,avg_width,status,ml_mae,persistence_mae
1,15,전체,15126,15126,12140,0.8025915641941028,7.232648555892783,pass,2.4300031801064796,2.5149657128387886
1,15,운영중,8019,8019,6466,0.8063349544831027,9.453303416361987,pass,3.266530519267865,3.3245912728671074
1,15,운영외,7107,7107,5674,0.7983678063880681,4.727029964911701,pass,1.486129149891881,1.6014456107046837
1,15,평일,15126,15126,12140,0.8025915641941028,7.232648555892783,pass,2.4300031801064796,2.5149657128387886
1,15,주말,0,0,0,,,unavailable,,
1,15,운영중·평일,8019,8019,6466,0.8063349544831027,9.453303416361987,pass,3.266530519267865,3.3245912728671074
1,15,운영중·주말,0,0,0,,,unavailable,,
1,15,운영외·평일,7107,7107,5674,0.7983678063880681,4.727029964911701,pass,1.486129149891881,1.6014456107046837
1,15,운영외·주말,0,0,0,,,unavailable,,
1,30,전체,14904,14904,12014,0.8060923242082663,10.394087980604853,pass,3.414396793279032,3.8758428448490894
1,30,운영중,7962,7962,6314,0.7930168299422256,12.995541879618642,pass,4.447442063453008,4.848202913593658
1,30,운영외,6942,6942,5700,0.8210890233362144,7.410397985798197,pass,2.229564404756244,2.7606122387781804
1,30,평일,14904,14904,12014,0.8060923242082663,10.394087980604853,pass,3.414396793279032,3.8758428448490894
1,30,주말,0,0,0,,,unavailable,,
1,30,운영중·평일,7962,7962,6314,0.7930168299422256,12.995541879618642,pass,4.447442063453008,4.848202913593658
1,30,운영중·주말,0,0,0,,,unavailable,,
1,30,운영외·평일,6942,6942,5700,0.8210890233362144,7.410397985798197,pass,2.229564404756244,2.7606122387781804
1,30,운영외·주말,0,0,0,,,unavailable,,
1,60,전체,14460,14460,11533,0.7975795297372061,14.330872636591867,pass,4.799747921605242,6.196585469987528
1,60,운영중,7848,7848,6088,0.7757390417940877,16.826056931108383,pass,5.974394326723764,7.17913644311895
1,60,운영외,6612,6612,5445,0.823502722323049,11.369256432211097,pass,3.4055215169818065,5.030363443802501
1,60,평일,14460,14460,11533,0.7975795297372061,14.330872636591867,pass,4.799747921605242,6.196585469987528
1,60,주말,0,0,0,,,unavailable,,
1,60,운영중·평일,7848,7848,6088,0.7757390417940877,16.826056931108383,pass,5.974394326723764,7.17913644311895
1,60,운영중·주말,0,0,0,,,unavailable,,
1,60,운영외·평일,6612,6612,5445,0.823502722323049,11.369256432211097,pass,3.4055215169818065,5.030363443802501
1,60,운영외·주말,0,0,0,,,unavailable,,
1,120,전체,13716,13716,11167,0.8141586468358122,20.62511202021256,pass,6.385600876149799,10.435988741700037
1,120,운영중,7632,7632,5970,0.7822327044025157,22.148263053962097,pass,7.126721284305443,11.316911752280024
1,120,운영외,6084,6084,5197,0.8542077580539119,18.71441368201787,fail,5.455911370061065,9.33092555683046
1,120,평일,13716,13716,11167,0.8141586468358122,20.62511202021256,pass,6.385600876149799,10.435988741700037
1,120,주말,0,0,0,,,unavailable,,
1,120,운영중·평일,7632,7632,5970,0.7822327044025157,22.148263053962097,pass,7.126721284305443,11.316911752280024
1,120,운영중·주말,0,0,0,,,unavailable,,
1,120,운영외·평일,6084,6084,5197,0.8542077580539119,18.71441368201787,fail,5.455911370061065,9.33092555683046
1,120,운영외·주말,0,0,0,,,unavailable,,
1,240,전체,12120,12120,9729,0.8027227722772278,27.456251359773717,pass,7.806818765704589,16.75431103597845
1,240,운영중,7032,7032,5581,0.7936575654152446,27.785788886556308,pass,8.11693890884818,17.35061414943974
1,240,운영외,5088,5088,4148,0.815251572327044,27.000805627003437,pass,7.378209322586323,15.930175129166381
1,240,평일,12120,12120,9729,0.8027227722772278,27.456251359773717,pass,7.806818765704589,16.75431103597845
1,240,주말,0,0,0,,,unavailable,,
1,240,운영중·평일,7032,7032,5581,0.7936575654152446,27.785788886556308,pass,8.11693890884818,17.35061414943974
1,240,운영중·주말,0,0,0,,,unavailable,,
1,240,운영외·평일,5088,5088,4148,0.815251572327044,27.000805627003437,pass,7.378209322586323,15.930175129166381
1,240,운영외·주말,0,0,0,,,unavailable,,
1,360,전체,10524,10524,8535,0.8110034207525656,31.76437965711986,pass,8.659833168983832,23.085420474453482
1,360,운영중,6396,6396,5126,0.8014383989993746,31.70788758908464,pass,8.89765862973892,23.624160163727026
1,360,운영외,4128,4128,3409,0.8258236434108527,31.851909518348858,pass,8.291341975430166,22.25068717682906
1,360,평일,10524,10524,8535,0.8110034207525656,31.76437965711986,pass,8.659833168983832,23.085420474453482
1,360,주말,0,0,0,,,unavailable,,
1,360,운영중·평일,6396,6396,5126,0.8014383989993746,31.70788758908464,pass,8.89765862973892,23.624160163727026
1,360,운영중·주말,0,0,0,,,unavailable,,
1,360,운영외·평일,4128,4128,3409,0.8258236434108527,31.851909518348858,pass,8.291341975430166,22.25068717682906
