fold,horizon,n,brier,brier_persistence,reliability_slope,slope_pass
1,15,15126,0.0050701438538309695,0.006941689805632686,0.9784216254128064,True
1,30,14904,0.007306661559978723,0.011876006441223833,0.8801200996765011,False
1,60,14460,0.010854215285916876,0.021092669432918397,0.86439112467627,False
1,120,13716,0.019519602975796264,0.039661708953047534,0.8112385271964656,False
1,180,12924,0.03038958379998368,0.05300216651191582,0.5998367008874487,False
1,240,12120,0.030779028590617603,0.06394389438943894,0.6859769457149884,False
1,360,10524,0.03176817862608278,0.08171797795515014,0.7950251611796073,False
2,15,15126,0.0068943436144613506,0.008263916435277007,0.9102979965344109,True
2,30,14904,0.008133370213385512,0.013553408480944712,0.9077109210249804,True
2,60,14460,0.011797356704988939,0.022406639004149378,0.8511568461899212,False
2,120,13716,0.020195960546407616,0.0405365995917177,0.8448708536326004,False
2,180,12924,0.031059444131686653,0.05478180129990715,0.6530086005245467,False
2,240,12120,0.031418419159955066,0.06625412541254125,0.8116173856157979,False
2,360,10524,0.0350211822049258,0.08561383504370962,0.6227921220033343,False
3,15,12031,0.008390393761525226,0.0033247444102734603,0.9268401692656489,True
3,30,11814,0.01701924782524641,0.005840528186896902,0.9234850783031692,True
3,60,11385,0.022174837128333468,0.010452349582784366,0.7216298616146809,False
3,120,10703,0.035610412023467666,0.017471736896197326,0.7824816574690491,False
3,180,10151,0.03835636454430673,0.023051916067382525,0.7226719292932274,False
3,240,9584,0.039084230485099736,0.02858931552587646,0.6495910275881418,False
3,360,8474,0.03700619910682743,0.036228463535520415,0.7913505164101499,False
4,15,11862,0.007399720968067599,0.005648288652841005,1.072839724712149,True
4,30,11676,0.01145798539923301,0.009592326139088728,0.8909349027023217,False
4,60,11304,0.02099808926818396,0.016808209483368718,0.7434132743250906,False
4,120,10680,0.027655163192018436,0.02846441947565543,0.7753565449180778,False
4,180,10116,0.03424508508418436,0.03766310794780545,1.3095167796744152,False
4,240,9612,0.039126352265857436,0.04223886808156471,1.1010096846616628,False
4,360,8568,0.03825553198725745,0.051353874883286646,0.6071894551260743,False
5,15,15126,0.00504890799299699,0.007602803120454846,1.0743645440914429,True
5,30,14904,0.00737818039031574,0.013419216317767043,1.043743774337361,True
