dest,horizon,state,axis,n,changed,top1_changed,a_fail,b_fail,c_fail,rescued,harmed,a_flagged,extra_walk,extra_fare,changed_rate,top1_changed_rate,a_fail_rate,b_fail_rate,c_fail_rate,harmed_rate,rescue_rate,ai_gain_pp
범계역,15,operating|wd,fare,22,3,0,0,0,0,0,0,0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,,0.0
범계역,15,operating|wd,walk,22,3,3,3,0,0,3,0,3,0.13636363636363635,-68.18181818181819,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.0,0.0,1.0,0.0
범계역,30,operating|wd,fare,24,4,0,0,0,0,0,0,0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,,0.0
범계역,30,operating|wd,walk,24,4,4,4,0,0,4,0,4,0.16666666666666666,-83.33333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,1.0,0.0
범계역,60,operating|wd,fare,23,3,0,0,0,0,0,0,0,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,,0.0
범계역,60,operating|wd,walk,23,3,3,3,0,0,3,0,3,0.13043478260869565,-65.21739130434783,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.0,0.0,0.0,1.0,0.0
범계역,120,operating|wd,fare,12,2,0,0,0,0,0,0,0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,,0.0
범계역,120,operating|wd,walk,12,2,2,2,0,0,2,0,2,0.16666666666666666,-83.33333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,1.0,0.0
석수역,15,operating|wd,fare,44,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
석수역,15,operating|wd,walk,44,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
석수역,15,outside|wd,fare,55,48,48,46,0,0,46,0,46,18.327272727272728,0.0,0.8727272727272727,0.8727272727272727,0.8363636363636363,0.0,0.0,0.0,1.0,0.0
석수역,15,outside|wd,walk,55,48,48,46,0,0,46,0,46,18.327272727272728,0.0,0.8727272727272727,0.8727272727272727,0.8363636363636363,0.0,0.0,0.0,1.0,0.0
석수역,30,operating|wd,fare,46,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
석수역,30,operating|wd,walk,46,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
석수역,30,outside|wd,fare,55,50,50,46,0,0,46,0,46,19.09090909090909,0.0,0.9090909090909091,0.9090909090909091,0.8363636363636363,0.0,0.0,0.0,1.0,0.0
석수역,30,outside|wd,walk,55,50,50,46,0,0,46,0,46,19.09090909090909,0.0,0.9090909090909091,0.9090909090909091,0.8363636363636363,0.0,0.0,0.0,1.0,0.0
석수역,60,operating|wd,fare,45,11,11,11,0,0,11,0,11,5.133333333333334,0.0,0.24444444444444444,0.24444444444444444,0.24444444444444444,0.0,0.0,0.0,1.0,0.0
석수역,60,operating|wd,walk,45,11,11,11,0,0,11,0,11,5.133333333333334,0.0,0.24444444444444444,0.24444444444444444,0.24444444444444444,0.0,0.0,0.0,1.0,0.0
석수역,60,outside|wd,fare,44,33,33,34,3,7,31,0,31,15.75,0.0,0.75,0.75,0.7727272727272727,0.06818181818181818,0.1590909090909091,0.0,0.9117647058823529,9.090909090909092
석수역,60,outside|wd,walk,44,33,33,34,3,7,31,0,31,15.75,0.0,0.75,0.75,0.7727272727272727,0.06818181818181818,0.1590909090909091,0.0,0.9117647058823529,9.090909090909092
석수역,120,operating|wd,fare,46,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
석수역,120,operating|wd,walk,46,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
석수역,120,outside|wd,fare,43,32,32,34,5,8,29,0,29,15.627906976744185,0.0,0.7441860465116279,0.7441860465116279,0.7906976744186046,0.11627906976744186,0.18604651162790697,0.0,0.8529411764705882,6.976744186046512
석수역,120,outside|wd,walk,43,32,32,34,5,8,29,0,29,15.627906976744185,0.0,0.7441860465116279,0.7441860465116279,0.7906976744186046,0.11627906976744186,0.18604651162790697,0.0,0.8529411764705882,6.976744186046512
석수역,240,operating|wd,fare,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
석수역,240,operating|wd,walk,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
석수역,240,outside|wd,fare,32,18,18,23,10,15,13,0,13,11.8125,0.0,0.5625,0.5625,0.71875,0.3125,0.46875,0.0,0.5652173913043478,15.625
석수역,240,outside|wd,walk,32,18,18,23,10,15,13,0,13,11.8125,0.0,0.5625,0.5625,0.71875,0.3125,0.46875,0.0,0.5652173913043478,15.625
석수역,360,operating|wd,fare,33,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
석수역,360,operating|wd,walk,33,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
석수역,360,outside|wd,fare,33,16,16,24,12,24,12,0,12,10.181818181818182,0.0,0.48484848484848486,0.48484848484848486,0.7272727272727273,0.36363636363636365,0.7272727272727273,0.0,0.5,36.36363636363637
석수역,360,outside|wd,walk,33,16,16,24,12,24,12,0,12,10.181818181818182,0.0,0.48484848484848486,0.48484848484848486,0.7272727272727273,0.36363636363636365,0.7272727272727273,0.0,0.5,36.36363636363637
안양시청,15,operating|wd,fare,40,11,0,0,0,0,0,0,0,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,,0.0
안양시청,15,operating|wd,walk,40,20,11,5,0,0,5,0,5,0.275,-137.5,0.5,0.275,0.125,0.0,0.0,0.0,1.0,0.0
안양시청,30,operating|wd,fare,42,12,0,0,0,0,0,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,,0.0
