fold,horizon,dest,ts_kst,missing_observations,missing_routes,n_candidates
1,15,안양시청,2026-09-03 00:00:00,16,0,25
1,15,안양시청,2026-09-03 02:00:00,16,0,25
1,15,안양시청,2026-09-03 04:00:00,16,0,25
1,15,안양시청,2026-09-03 06:00:00,16,0,25
1,15,안양시청,2026-09-03 08:00:00,9,0,25
1,15,안양시청,2026-09-03 10:00:00,3,0,25
1,15,안양시청,2026-09-03 18:00:00,9,0,25
1,15,안양시청,2026-09-03 20:00:00,15,0,25
1,15,안양시청,2026-09-03 22:00:00,15,0,25
1,15,석수역,2026-09-03 00:00:00,1,0,5
1,15,석수역,2026-09-03 02:00:00,1,0,5
1,15,석수역,2026-09-03 04:00:00,1,0,5
1,15,범계역,2026-09-03 00:00:00,11,0,25
1,15,범계역,2026-09-03 02:00:00,11,0,25
1,15,범계역,2026-09-03 04:00:00,11,0,25
1,15,범계역,2026-09-03 06:00:00,11,0,25
1,15,범계역,2026-09-03 08:00:00,6,0,25
1,15,범계역,2026-09-03 10:00:00,3,0,25
1,15,범계역,2026-09-03 16:00:00,1,0,25
1,15,범계역,2026-09-03 18:00:00,6,0,25
1,15,범계역,2026-09-03 20:00:00,11,0,25
1,15,범계역,2026-09-03 22:00:00,11,0,25
1,15,안양역,2026-09-03 00:00:00,4,0,11
1,15,안양역,2026-09-03 02:00:00,4,0,11
1,15,안양역,2026-09-03 04:00:00,3,0,11
1,15,안양역,2026-09-03 06:00:00,3,0,11
1,15,안양역,2026-09-03 08:00:00,2,0,11
1,15,안양역,2026-09-03 16:00:00,1,0,11
1,15,안양역,2026-09-03 18:00:00,2,0,11
1,15,안양역,2026-09-03 20:00:00,2,0,11
1,15,안양역,2026-09-03 22:00:00,4,0,11
1,15,평촌역,2026-09-03 00:00:00,16,0,24
1,15,평촌역,2026-09-03 02:00:00,16,0,24
1,15,평촌역,2026-09-03 04:00:00,16,0,24
1,15,평촌역,2026-09-03 06:00:00,16,0,24
1,15,평촌역,2026-09-03 08:00:00,9,0,24
1,15,평촌역,2026-09-03 10:00:00,3,0,24
1,15,평촌역,2026-09-03 18:00:00,9,0,24
1,15,평촌역,2026-09-03 20:00:00,15,0,24
1,15,평촌역,2026-09-03 22:00:00,15,0,24
1,15,인덕원역,2026-09-03 00:00:00,4,0,7
1,15,인덕원역,2026-09-03 02:00:00,4,0,7
1,15,인덕원역,2026-09-03 04:00:00,4,0,7
1,15,인덕원역,2026-09-03 06:00:00,4,0,7
1,15,인덕원역,2026-09-03 08:00:00,2,0,7
1,15,인덕원역,2026-09-03 18:00:00,2,0,7
1,15,인덕원역,2026-09-03 20:00:00,3,0,7
1,15,인덕원역,2026-09-03 22:00:00,3,0,7
1,30,안양시청,2026-09-03 00:00:00,16,0,25
1,30,안양시청,2026-09-03 02:00:00,16,0,25
1,30,안양시청,2026-09-03 04:00:00,16,0,25
1,30,안양시청,2026-09-03 06:00:00,16,0,25
1,30,안양시청,2026-09-03 08:00:00,9,0,25
1,30,안양시청,2026-09-03 10:00:00,3,0,25
1,30,안양시청,2026-09-03 18:00:00,9,0,25
1,30,안양시청,2026-09-03 20:00:00,15,0,25
1,30,안양시청,2026-09-03 22:00:00,15,0,25
1,30,석수역,2026-09-03 00:00:00,1,0,5
1,30,석수역,2026-09-03 02:00:00,1,0,5
1,30,석수역,2026-09-03 04:00:00,1,0,5
1,30,범계역,2026-09-03 00:00:00,11,0,25
1,30,범계역,2026-09-03 02:00:00,11,0,25
1,30,범계역,2026-09-03 04:00:00,11,0,25
1,30,범계역,2026-09-03 06:00:00,11,0,25
1,30,범계역,2026-09-03 08:00:00,6,0,25
1,30,범계역,2026-09-03 10:00:00,3,0,25
1,30,범계역,2026-09-03 16:00:00,1,0,25
1,30,범계역,2026-09-03 18:00:00,6,0,25
1,30,범계역,2026-09-03 20:00:00,11,0,25
1,30,범계역,2026-09-03 22:00:00,11,0,25
1,30,안양역,2026-09-03 00:00:00,4,0,11
1,30,안양역,2026-09-03 02:00:00,4,0,11
1,30,안양역,2026-09-03 04:00:00,3,0,11
1,30,안양역,2026-09-03 06:00:00,3,0,11
1,30,안양역,2026-09-03 08:00:00,2,0,11
1,30,안양역,2026-09-03 16:00:00,1,0,11
1,30,안양역,2026-09-03 18:00:00,2,0,11
1,30,안양역,2026-09-03 20:00:00,2,0,11
1,30,안양역,2026-09-03 22:00:00,4,0,11
1,30,평촌역,2026-09-03 00:00:00,16,0,24
1,30,평촌역,2026-09-03 02:00:00,16,0,24
1,30,평촌역,2026-09-03 04:00:00,16,0,24
1,30,평촌역,2026-09-03 06:00:00,16,0,24
1,30,평촌역,2026-09-03 08:00:00,9,0,24
1,30,평촌역,2026-09-03 10:00:00,3,0,24
1,30,평촌역,2026-09-03 18:00:00,9,0,24
1,30,평촌역,2026-09-03 20:00:00,15,0,24
1,30,평촌역,2026-09-03 22:00:00,15,0,24
1,30,인덕원역,2026-09-03 00:00:00,4,0,7
1,30,인덕원역,2026-09-03 02:00:00,4,0,7
1,30,인덕원역,2026-09-03 04:00:00,4,0,7
1,30,인덕원역,2026-09-03 06:00:00,4,0,7
1,30,인덕원역,2026-09-03 08:00:00,2,0,7
1,30,인덕원역,2026-09-03 18:00:00,2,0,7
1,30,인덕원역,2026-09-03 20:00:00,3,0,7
1,30,인덕원역,2026-09-03 22:00:00,3,0,7
1,60,안양시청,2026-09-03 00:00:00,16,0,25
1,60,안양시청,2026-09-03 02:00:00,16,0,25
1,60,안양시청,2026-09-03 04:00:00,16,0,25
1,60,안양시청,2026-09-03 06:00:00,16,0,25
1,60,안양시청,2026-09-03 08:00:00,12,0,25
1,60,안양시청,2026-09-03 10:00:00,3,0,25
1,60,안양시청,2026-09-03 18:00:00,12,0,25
1,60,안양시청,2026-09-03 20:00:00,15,0,25
1,60,안양시청,2026-09-03 22:00:00,16,0,25
1,60,석수역,2026-09-03 00:00:00,1,0,5
1,60,석수역,2026-09-03 02:00:00,1,0,5
1,60,석수역,2026-09-03 04:00:00,1,0,5
1,60,석수역,2026-09-03 22:00:00,1,0,5
1,60,범계역,2026-09-03 00:00:00,11,0,25
1,60,범계역,2026-09-03 02:00:00,11,0,25
1,60,범계역,2026-09-03 04:00:00,11,0,25
1,60,범계역,2026-09-03 06:00:00,11,0,25
1,60,범계역,2026-09-03 08:00:00,7,0,25
1,60,범계역,2026-09-03 10:00:00,3,0,25
1,60,범계역,2026-09-03 16:00:00,1,0,25
1,60,범계역,2026-09-03 18:00:00,8,0,25
1,60,범계역,2026-09-03 20:00:00,11,0,25
1,60,범계역,2026-09-03 22:00:00,11,0,25
1,60,안양역,2026-09-03 00:00:00,4,0,11
1,60,안양역,2026-09-03 02:00:00,4,0,11
1,60,안양역,2026-09-03 04:00:00,4,0,11
1,60,안양역,2026-09-03 06:00:00,3,0,11
1,60,안양역,2026-09-03 08:00:00,2,0,11
1,60,안양역,2026-09-03 14:00:00,1,0,11
1,60,안양역,2026-09-03 16:00:00,2,0,11
1,60,안양역,2026-09-03 18:00:00,2,0,11
1,60,안양역,2026-09-03 20:00:00,4,0,11
1,60,안양역,2026-09-03 22:00:00,4,0,11
1,60,평촌역,2026-09-03 00:00:00,16,0,24
1,60,평촌역,2026-09-03 02:00:00,16,0,24
1,60,평촌역,2026-09-03 04:00:00,16,0,24
1,60,평촌역,2026-09-03 06:00:00,16,0,24
1,60,평촌역,2026-09-03 08:00:00,12,0,24
1,60,평촌역,2026-09-03 10:00:00,3,0,24
1,60,평촌역,2026-09-03 18:00:00,12,0,24
1,60,평촌역,2026-09-03 20:00:00,15,0,24
1,60,평촌역,2026-09-03 22:00:00,16,0,24
1,60,인덕원역,2026-09-03 00:00:00,4,0,7
1,60,인덕원역,2026-09-03 02:00:00,4,0,7
1,60,인덕원역,2026-09-03 04:00:00,4,0,7
1,60,인덕원역,2026-09-03 06:00:00,4,0,7
1,60,인덕원역,2026-09-03 08:00:00,3,0,7
1,60,인덕원역,2026-09-03 18:00:00,3,0,7
1,60,인덕원역,2026-09-03 20:00:00,3,0,7
1,60,인덕원역,2026-09-03 22:00:00,4,0,7
1,120,안양시청,2026-09-03 00:00:00,16,0,25
1,120,안양시청,2026-09-03 02:00:00,16,0,25
1,120,안양시청,2026-09-03 04:00:00,16,0,25
1,120,안양시청,2026-09-03 06:00:00,16,0,25
1,120,안양시청,2026-09-03 08:00:00,10,0,25
1,120,안양시청,2026-09-03 10:00:00,3,0,25
1,120,안양시청,2026-09-03 16:00:00,9,0,25
1,120,안양시청,2026-09-03 18:00:00,15,0,25
1,120,안양시청,2026-09-03 20:00:00,15,0,25
1,120,안양시청,2026-09-03 22:00:00,25,0,25
1,120,석수역,2026-09-03 00:00:00,1,0,5
1,120,석수역,2026-09-03 02:00:00,1,0,5
1,120,석수역,2026-09-03 04:00:00,1,0,5
1,120,석수역,2026-09-03 22:00:00,5,0,5
1,120,범계역,2026-09-03 00:00:00,11,0,25
1,120,범계역,2026-09-03 02:00:00,11,0,25
1,120,범계역,2026-09-03 04:00:00,11,0,25
1,120,범계역,2026-09-03 06:00:00,11,0,25
1,120,범계역,2026-09-03 08:00:00,7,0,25
1,120,범계역,2026-09-03 10:00:00,3,0,25
