fold,horizon,dest,state,axis,n,changed,top1_changed,a_fail,b_fail,c_fail,rescued,harmed,a_flagged,extra_walk,extra_fare,changed_rate,top1_changed_rate,a_fail_rate,b_fail_rate,c_fail_rate,harmed_rate,rescue_rate,ai_gain_pp
1,15,범계역,operating|wd,fare,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1,15,범계역,operating|wd,walk,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1,15,석수역,operating|wd,fare,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1,15,석수역,operating|wd,walk,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1,15,석수역,outside|wd,fare,5,5,5,5,0,0,5,0,5,21.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1,15,석수역,outside|wd,walk,5,5,5,5,0,0,5,0,5,21.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1,15,안양시청,operating|wd,fare,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1,15,안양시청,operating|wd,walk,3,3,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0
1,15,안양역,operating|wd,fare,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1,15,안양역,operating|wd,walk,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1,15,인덕원역,outside|wd,fare,4,4,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0
1,15,인덕원역,outside|wd,walk,4,4,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0
1,15,평촌역,operating|wd,walk,3,3,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0
1,15,평촌역,outside|wd,fare,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
