fold,horizon,segment,n,ml_mae,persistence_mae
1,15,전체,25365,1.74002676515089,1.7966132267923411
1,15,운영중,11511,2.7768994770789277,2.8188918814696895
1,15,운영외,13854,0.8785108284536446,0.9472231882481693
1,15,평일,25365,1.74002676515089,1.7966132267923411
1,15,운영중·평일,11511,2.7768994770789277,2.8188918814696895
1,15,운영외·평일,13854,0.8785108284536446,0.9472231882481693
1,30,전체,25098,2.6025744287897825,2.9070413564511615
1,30,운영중,11490,3.977843367267284,4.296294872131008
1,30,운영외,13608,1.4413574899959485,1.7340164523387698
1,30,평일,25098,2.6025744287897825,2.9070413564511615
1,30,운영중·평일,11490,3.977843367267284,4.296294872131008
1,30,운영외·평일,13608,1.4413574899959485,1.7340164523387698
1,60,전체,24564,3.7088387075699,4.906753682029804
1,60,운영중,11448,5.4517703339103605,6.605879396370968
1,60,운영외,13116,2.1875607830238817,3.423710743803391
1,60,평일,24564,3.7088387075699,4.906753682029804
1,60,운영중·평일,11448,5.4517703339103605,6.605879396370968
1,60,운영외·평일,13116,2.1875607830238817,3.423710743803391
1,120,전체,23496,5.167557051084317,8.575998710392115
1,120,운영중,11364,7.415789730415974,10.470905531993004
1,120,운영외,12132,3.0616457283077785,6.801046425470216
1,120,평일,23496,5.167557051084317,8.575998710392115
1,120,운영중·평일,11364,7.415789730415974,10.470905531993004
1,120,운영외·평일,12132,3.0616457283077785,6.801046425470216
2,15,전체,25365,1.7219742593731904,1.7422512692249874
2,15,운영중,11511,2.65790706332869,2.673410237033791
2,15,운영외,13854,0.9443271894777272,0.9685706803375077
2,15,평일,25365,1.7219742593731904,1.7422512692249874
2,15,운영중·평일,11511,2.65790706332869,2.673410237033791
2,15,운영외·평일,13854,0.9443271894777272,0.9685706803375077
2,30,전체,25098,2.560821940165538,2.8997015293246795
2,30,운영중,11490,3.825239189089603,4.187206442934429
2,30,운영외,13608,1.4932033194911192,1.8125886944205036
2,30,평일,25098,2.560821940165538,2.8997015293246795
2,30,운영중·평일,11490,3.825239189089603,4.187206442934429
2,30,운영외·평일,13608,1.4932033194911192,1.8125886944205036
2,60,전체,24564,3.8769426952679247,4.911787887500183
2,60,운영중,11448,5.441203023418213,6.4430852373613465
2,60,운영외,13116,2.5116139184560544,3.575230090823559
2,60,평일,24564,3.8769426952679247,4.911787887500183
2,60,운영중·평일,11448,5.441203023418213,6.4430852373613465
2,60,운영외·평일,13116,2.5116139184560544,3.575230090823559
2,120,전체,23496,5.654946549485455,8.479673224326477
2,120,운영중,11364,7.706451458423709,10.124328308750634
2,120,운영외,12132,3.733309409263372,6.939130825761021
2,120,평일,23496,5.654946549485455,8.479673224326477
2,120,운영중·평일,11364,7.706451458423709,10.124328308750634
2,120,운영외·평일,12132,3.733309409263372,6.939130825761021
3,15,전체,25365,1.053079299552258,1.0822778708686278
3,15,운영중,5292,1.1898316962059012,1.2098893278209282
3,15,운영외,20073,1.0170262091775715,1.0486346770166086
3,15,주말,25365,1.053079299552258,1.0822778708686278
3,15,운영중·주말,5292,1.1898316962059012,1.2098893278209282
3,15,운영외·주말,20073,1.0170262091775715,1.0486346770166086
3,30,전체,25098,1.6706297177588298,1.771204918838565
3,30,운영중,5268,1.8891676432612345,1.9843301156992146
3,30,운영외,19830,1.6125733490474499,1.714586485300396
3,30,주말,25098,1.6706297177588298,1.771204918838565
3,30,운영중·주말,5268,1.8891676432612345,1.9843301156992146
3,30,운영외·주말,19830,1.6125733490474499,1.714586485300396
3,60,전체,24564,2.807439878041181,3.019812706153102
3,60,운영중,5220,3.3442280784414216,3.353102381220217
3,60,운영외,19344,2.6625869827718853,2.9298741151765544
3,60,주말,24564,2.807439878041181,3.019812706153102
3,60,운영중·주말,5220,3.3442280784414216,3.353102381220217
3,60,운영외·주말,19344,2.6625869827718853,2.9298741151765544
3,120,전체,23496,5.061475599711121,5.23299005980365
3,120,운영중,5124,5.733827295078847,5.780279037253994
3,120,운영외,18372,4.8739549113231275,5.080349698359302
3,120,주말,23496,5.061475599711121,5.23299005980365
3,120,운영중·주말,5124,5.733827295078847,5.780279037253994
3,120,운영외·주말,18372,4.8739549113231275,5.080349698359302
4,15,전체,25365,0.7948512317274457,0.8330727088396834
4,15,운영중,5292,1.2314376250649333,1.311729699867659
4,15,운영외,20073,0.6797505893948602,0.706880669955608
4,15,주말,25365,0.7948512317274457,0.8330727088396834
4,15,운영중·주말,5292,1.2314376250649333,1.311729699867659
4,15,운영외·주말,20073,0.6797505893948602,0.706880669955608
4,30,전체,25098,1.2956554420998565,1.397613424519249
4,30,운영중,5268,2.036023976308069,2.205866020542256
4,30,운영외,19830,1.098970548594619,1.1828945805530764
4,30,주말,25098,1.2956554420998565,1.397613424519249
4,30,운영중·주말,5268,2.036023976308069,2.205866020542256
4,30,운영외·주말,19830,1.098970548594619,1.1828945805530764
4,60,전체,24564,2.073260542610075,2.424802209884286
4,60,운영중,5220,3.078546037194653,3.835287320126308
4,60,운영외,19344,1.8019831293691992,2.0441812279021034
4,60,주말,24564,2.073260542610075,2.424802209884286
4,60,운영중·주말,5220,3.078546037194653,3.835287320126308
4,60,운영외·주말,19344,1.8019831293691992,2.0441812279021034
4,120,전체,23496,3.166352683362697,4.198777570845649
4,120,운영중,5124,4.550855422111734,6.294276731182026
4,120,운영외,18372,2.7802111618435337,3.614337243305718
4,120,주말,23496,3.166352683362697,4.198777570845649
4,120,운영중·주말,5124,4.550855422111734,6.294276731182026
4,120,운영외·주말,18372,2.7802111618435337,3.614337243305718
5,15,전체,12549,1.2999599848218524,1.3679039180788264
5,15,운영중,3651,3.0683391034399974,3.1256575043138484
5,15,운영외,8898,0.5743641023679473,0.6466678714004642
5,15,평일,12549,1.2999599848218524,1.3679039180788264
5,15,운영중·평일,3651,3.0683391034399974,3.1256575043138484
5,15,운영외·평일,8898,0.5743641023679473,0.6466678714004642
5,30,전체,12282,2.1209792625908515,2.403739117859972
5,30,운영중,3630,5.050822088185328,5.3831863483281
5,30,운영외,8652,0.8917456221715319,1.1536936432183507
5,30,평일,12282,2.1209792625908515,2.403739117859972
5,30,운영중·평일,3630,5.050822088185328,5.3831863483281
5,30,운영외·평일,8652,0.8917456221715319,1.1536936432183507
5,60,전체,11748,3.4811019422409037,4.321073929757591
5,60,운영중,3588,8.288639141865199,9.495306316947337
5,60,운영외,8160,1.3671995559355168,2.0459335124491584
5,60,평일,11748,3.4811019422409037,4.321073929757591
5,60,운영중·평일,3588,8.288639141865199,9.495306316947337
5,60,운영외·평일,8160,1.3671995559355168,2.0459335124491584
5,120,전체,10680,6.268962869574274,8.298811779381566
5,120,운영중,3504,14.785732480168242,18.084706410659702
5,120,운영외,7176,2.110272691826048,3.52041506979425
5,120,평일,10680,6.268962869574274,8.298811779381566
5,120,운영중·평일,3504,14.785732480168242,18.084706410659702
5,120,운영외·평일,7176,2.110272691826048,3.52041506979425
